collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tkn(qual_code),tot_p(mg/l),tot_p(qual_code),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),phenol(qual_code),cn(mg/l),cn_wad(mg/l),fog(mg/l),(),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2009-04-06 00:00:00,ww_23,11.0,6.8,8.0,2.393,0.0,1.92,,0.0,,58.37,,724.0,28.0,11.0,19.1,196.0,238.0,0.23,4.3,0.0,e,0.0,0.0,,,<4.23,<6.21,250.0,,22.1,0.0,0.0,0.0356,0.0311,0.074,0.079,0.0,0.0,65.9,67.84,0.0,0.0,0.0,0.0,0.0,0.9,0.062,0.0,0.0,27.58,29.108,0.0465,0.0138,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,3.85,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_29,11.0,6.8,7.95,2.401,0.0,0.32,,0.0,,57.89,,732.0,26.0,10.0,18.1,197.0,230.0,0.24,4.3,0.0,e,0.0,0.0,,,<2.20,<5.85,140.0,,23.1,0.0,0.0,0.0353,0.0305,0.072,0.076,0.0,0.0,70.55,68.37,0.0,0.0,0.0,0.0,0.0,0.92,0.039,0.0,0.0,29.76,29.024,0.0433,0.0107,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,3.86,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_91,11.3,6.8,8.6,2.217,0.0,0.67,,0.0,,60.18,,720.0,20.0,7.0,14.6,201.0,239.0,0.22,4.8,0.0,e,0.0,0.0,,,<4.43,<5.75,60.0,,25.5,0.0,0.0,0.0343,0.0307,0.075,0.08,0.0,0.0,67.56,65.91,0.0,0.0,0.0,0.0,0.0,0.69,0.035,0.0,0.0,27.99,27.798,0.0419,0.0102,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,3.4,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_79,7.9,6.0,7.9,0.343,0.0,0.6,s,0.0,s,73.33,,1000.0,21.0,9.0,22.8,216.0,387.0,0.0,4.2,0.0,e,0.0,0.0,,,<3.14,<4.65,180.0,,12.8,0.0,0.0,0.0477,0.0421,0.055,0.062,0.0,0.0,77.44,78.06,0.003,0.0,0.0,0.0,0.0,1.52,0.033,0.015,0.0,31.21,32.148,0.0965,0.0445,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,4.54,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_80,8.2,8.9,7.7,4.366,0.0,0.79,,0.58,,71.43,,928.0,18.0,8.0,16.2,177.0,363.0,0.31,4.2,0.0,e,0.0,0.0,,,<2.54,<5.05,560.0,,10.5,0.0,0.0,0.0367,0.0333,0.097,0.102,0.0,0.0,74.84,70.28,0.0,0.0,0.0,0.0,0.0,0.81,0.053,0.0,0.0,29.31,27.233,0.0514,0.0118,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.011,2.36,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_18,8.5,8.5,7.75,4.159,0.0,0.74,,0.54,,69.82,,924.0,30.0,13.0,14.5,176.0,363.0,0.29,4.2,0.0,e,0.0,0.0,,,1.38,<5.69,680.0,,13.3,0.0,0.0,0.0374,0.0338,0.099,0.098,0.0,0.0,71.8,72.7,0.0025,0.0,0.0,0.0,0.0,0.75,0.058,0.0,0.0,27.88,28.284,0.0574,0.0195,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.012,2.87,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_90,9.5,7.7,8.3,0.201,0.0,0.54,s,0.0,s,50.06,,828.0,9.0,6.0,5.92,225.0,306.0,0.0,4.4,0.0,e,0.0,0.0,,,<3.76,<4.78,30.0,40.0,7.7,0.0,0.0,0.0538,0.0518,0.0,0.038,0.0,0.0,72.39,70.91,0.0,0.0,0.0,0.0,0.0,0.5,0.07,0.0,0.0,30.16,30.231,0.0554,0.042,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_110,8.1,5.0,7.6,0.587,0.0,1.23,s,0.0,s,82.09,,1630.0,20.0,10.0,17.2,217.0,779.0,0.2,6.0,0.0,e,0.011,0.0,,,<4.84,7.63,240.0,240.0,30.5,0.0,0.0,0.05,0.0472,0.052,0.059,0.0,0.0,91.35,88.99,0.0025,0.0,0.0,0.0,0.0,0.96,0.085,0.0,0.0,32.72,32.675,0.0801,0.0732,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.013,2.9,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_89,10.9,9.0,7.75,6.914,0.0,1.07,s,1.32,s,na,p,994.0,10.0,6.0,4.07,210.0,413.0,0.43,4.7,0.0,e,0.005,0.0,,,<5.30,6.69,720.0,740.0,19.8,0.0,0.0,0.0384,0.0368,0.149,0.159,0.0,0.0,77.71,78.26,0.0033,0.0,0.0,0.0,0.0,0.25,0.046,0.0,0.0,29.2,30.562,0.0279,0.0197,,0.0,,0.024,0.0216,0.0,0.0,0.0,0.0,0.027,0.021,3.22,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_64,9.2,6.5,7.7,5.472,0.13,1.12,s,0.9,s,69.56,,902.0,15.0,8.0,12.6,203.0,332.0,0.33,5.0,0.0,e,0.0,0.0,,,<3.48,<5.04,660.0,400.0,21.6,0.0,0.0,0.0414,0.038,0.104,0.111,0.0,0.0,77.91,77.12,0.0033,0.0,0.0,0.0,0.0,0.62,0.035,0.0,0.0,29.21,29.538,0.0524,0.0365,,0.0,,0.02,0.018,0.0,0.0,0.0,0.0,0.021,0.018,5.21,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_92,7.9,11.3,7.3,5.019,0.52,1.25,,0.43,,80.18,,714.0,13.0,4.0,8.27,175.0,221.0,0.45,4.8,0.0,e,0.0,0.0,0.0,,,,90.0,,7.9,0.0,0.0,0.0275,0.0252,0.148,0.156,0.0,0.0,67.32,67.76,0.0,0.0,0.0,0.0,0.0,0.44,0.041,0.0,0.0,24.11,24.706,0.0507,0.0478,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.016,,,,,,,
2009-04-13 00:00:00,ww_106,4.0,7.5,7.4,0.925,0.13,1.07,,1.35,,64.8,,1230.0,14.0,5.0,9.93,238.0,507.0,0.52,6.0,5.0,,0.0,0.0,,,<6.39,8.23,6800.0,6700.0,8.5,0.0,0.0,0.0782,0.0709,0.252,0.182,0.0,0.0,94.94,96.56,0.0,0.0,0.0,0.0,0.0,0.77,0.062,0.015,0.0,42.85,45.102,0.0609,0.0538,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.016,2.51,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_31,8.3,6.9,8.2,0.0,0.0,0.73,,0.0,,64.25,,994.0,6.0,0.0,5.83,252.0,388.0,0.2,5.0,0.0,,0.0,0.0,,,2.08,<5.14,320.0,390.0,8.3,0.0,0.0,0.0448,0.0454,0.096,0.063,0.0,0.0,81.82,79.52,0.0,0.0,0.0,0.0,0.0,0.42,0.051,0.0,0.0,37.18,36.673,0.0756,0.0772,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_32,7.9,6.8,8.2,0.109,0.0,0.65,,0.0,,76.79,,944.0,4.0,3.0,5.61,260.0,345.0,0.22,4.2,0.0,,0.0,0.0,,,<3.88,<5.55,510.0,530.0,6.7,0.0,0.0,0.0443,0.0429,0.106,0.109,0.0,0.0,83.73,87.19,0.0,0.0,0.0,0.0,0.0,0.42,0.051,0.0,0.0,36.81,40.163,0.0787,0.0733,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_105,5.9,8.8,8.1,5.981,0.0,0.91,,0.71,,71.56,,812.0,18.0,6.0,9.87,224.0,266.0,0.45,4.2,5.0,,0.0,0.0,,,<4.47,6.97,80.0,100.0,16.3,0.0,0.0,0.0339,0.0311,0.117,0.128,0.0,0.0,74.08,74.3,0.0,0.0,0.0,0.0,0.0,0.41,0.033,0.0,0.0,31.98,33.325,0.043,0.0099,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.022,3.44,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_104,8.7,7.8,8.9,5.028,0.0,0.76,,0.57,,69.22,,844.0,9.0,3.0,5.03,229.0,285.0,0.41,4.2,0.0,,0.0,0.0,,,<2.67,<6.79,190.0,140.0,9.9,0.0,0.0,0.0345,0.0327,0.106,0.119,0.0,0.0,76.82,79.9,0.0,0.0,0.0,0.0,0.0,0.38,0.046,0.0,0.0,33.94,37.129,0.0598,0.054,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.013,2.16,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_103,7.1,9.2,8.01,4.349,0.13,0.85,,0.42,,86.11,,1230.0,16.0,5.0,13.1,263.0,505.0,0.35,4.0,5.0,,0.0,0.0,,,<8.43,8.52,820.0,890.0,21.7,0.0,0.0,0.0664,0.0622,0.155,0.162,0.0,0.0,100.41,100.67,0.0,0.0,0.0,0.0,0.0,0.7,0.027,0.0,0.0,42.81,44.103,0.078,0.0574,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,7.0,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_34,9.0,8.2,8.22,3.673,0.0,0.83,,0.4,,72.07,,912.0,8.0,3.0,4.35,231.0,327.0,0.4,4.2,0.0,,0.0,0.0,,,<5.61,<6.53,250.0,220.0,13.5,0.0,0.0,0.0398,0.0382,0.106,0.111,0.0,0.0,77.84,76.97,0.0,0.0,0.0,0.0,0.0,0.36,0.03,0.0,0.0,33.45,34.579,0.0537,0.0392,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_37,8.9,10.1,7.75,9.387,0.22,1.08,,1.07,,67.05,,724.0,6.0,4.0,1.77,185.0,250.0,0.66,4.4,0.0,,0.0,0.0,0.0,,,,2000.0,,5.7,0.0,0.0,0.0315,0.0303,0.147,0.161,0.0,0.0,72.55,73.39,0.0,0.0,0.0,0.0,0.0,0.15,0.053,0.0,0.0,27.13,29.06,0.0202,0.0174,,0.0,,0.0,0.0081,0.0,0.0,0.0,0.0,0.027,0.023,,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_73,7.9,10.2,7.47,7.48,0.2,1.09,,0.95,,66.8,,742.0,7.0,3.0,2.0,192.0,252.0,0.66,4.4,0.0,,0.0,0.0,0.0,,,,950.0,,3.4,0.0,0.0,0.0313,0.0293,0.149,0.159,0.0,0.0,74.74,71.76,0.0,0.0,0.0,0.0,0.0,0.22,0.047,0.0,0.0,28.06,27.986,0.0212,0.0174,,0.0,,0.01,0.0093,0.0,0.0,0.0,0.0,0.024,0.018,,<2,<2,2.0,<3,<3,<3
2009-04-13 00:00:00,ww_46,6.3,10.1,7.63,7.199,0.41,1.65,,0.97,,70.02,,778.0,20.0,6.0,3.93,199.0,261.0,0.66,4.4,0.0,,0.0,0.0,0.0,,,,430.0,,5.3,0.0,0.0,0.0347,0.0298,0.147,0.161,0.0,0.0,73.62,76.45,0.0034,0.0,0.0,0.0,0.0,0.54,0.053,0.0,0.0,27.42,30.088,0.0295,0.0227,,0.0,,0.019,0.0163,0.0,0.0,0.0,0.0,0.04,0.021,,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_35,18.0,8.5,8.11,0.0,0.0,0.99,,0.31,,54.68,,476.0,18.0,8.0,10.4,148.0,133.0,0.0,3.5,0.0,,0.0,0.0,,,2.07,<4.48,9.0,,74.2,0.0,0.0,0.0246,0.0214,0.052,0.05,0.0,0.0,48.54,46.04,0.0,0.0,0.0,0.0,0.0,0.22,0.027,0.0,0.0,18.88,19.838,0.0213,0.0077,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_102,10.3,9.1,8.11,0.926,0.13,1.76,,0.29,,75.57,,694.0,38.0,12.0,14.6,178.0,236.0,0.3,4.6,0.0,,0.0,0.0,0.0,,<5.59,<5.46,60.0,,71.9,0.0,0.0,0.0304,0.0249,0.081,0.085,0.0,0.0,67.01,66.78,0.0,0.0,0.0,0.0,0.0,0.89,0.035,0.015,0.0,26.29,27.479,0.0489,0.0333,,0.0,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,8.11,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_36,9.4,11.2,7.09,8.621,0.21,1.19,,1.12,,63.45,,672.0,4.0,3.0,1.66,175.0,222.0,0.7,4.7,0.0,,0.0,0.0,0.0,,<4.01,6.53,4000.0,,10.4,0.0,0.0,0.0282,0.0272,0.163,0.169,0.0,0.0,71.41,67.39,0.0,0.0,0.0,0.0,0.018,0.14,0.034,0.0,0.0,26.18,25.605,0.0122,0.007,,0.0,,0.0,0.0082,0.0,0.0,0.0,0.0,0.026,0.025,,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_101,8.6,10.8,7.0,9.913,0.25,1.03,,1.17,,65.33,,672.0,3.0,0.0,1.72,173.0,225.0,0.72,4.9,0.0,,0.0,0.0,0.0,,,,3000.0,,9.0,0.0,0.0,0.0291,0.028,0.156,0.165,0.0,0.0,68.67,71.67,0.0,0.0,0.0,0.0,0.0,0.14,0.042,0.0,0.0,24.69,25.701,0.0799,0.0759,,0.0,,0.012,0.0112,0.0,0.0,0.0,0.0,0.031,0.026,,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_96,10.0,8.5,8.5,3.805,0.0,0.71,,0.36,,76.11,,932.0,4.0,3.0,3.72,244.0,354.0,0.37,4.0,0.0,,0.0,0.0,,,<6.87,9.18,9.0,40.0,15.8,0.0,0.0,0.0427,0.0399,0.119,0.127,0.0,0.0,83.93,85.79,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.0,0.0,36.1,39.156,0.073,0.0542,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,2.14,<2,<2,<2,<3,<3,<3
2009-04-13 00:00:00,ww_92,6.7,11.6,7.8,6.388,0.29,1.24,,0.49,,96.7,,810.0,21.0,5.0,6.89,193.0,234.0,0.55,4.7,0.0,,0.0,0.0,0.0,,,,40.0,,11.9,0.0,0.0,0.03,0.0263,0.165,0.175,0.0,0.0,73.36,76.26,0.0039,0.0,0.0,0.0,0.0,0.6,0.063,0.0,0.0,26.65,29.245,0.0378,0.0293,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.013,,,,,,,
2009-04-20 00:00:00,ww_74,7.3,7.5,7.76,0.63,0.1,0.42,,0.0,,26.5,,280.0,0.0,3.0,4.42,115.0,46.0,0.0,1.8,0.0,,0.0,0.0,,,<1.16,<4.73,350.0,150.0,1.7,0.0,0.0,0.023,0.022,0.071,0.041,0.0,0.0,35.7,37.49,0.0,0.0,0.0,0.0,0.0,0.16,0.023,0.0,0.0,12.03,13.025,0.0131,0.0099,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,2.23,,,,,,
2009-04-20 00:00:00,ww_100,7.2,10.2,7.59,3.199,0.34,0.77,,0.34,,38.26,,432.0,7.0,3.0,5.58,140.0,117.0,0.34,2.8,0.0,,0.0,0.0,,,<2.69,<5.45,90.0,70.0,2.2,0.0,0.0,0.0264,0.0239,0.088,0.076,0.0,0.0,47.81,48.04,0.0,0.0,0.0,0.0,0.0,0.27,0.031,0.0,0.0,16.87,17.339,0.0324,0.0208,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.014,5.26,,,,,,
2009-04-20 00:00:00,ww_39,6.1,11.3,7.37,7.772,0.51,1.41,,1.01,,57.03,,674.0,14.0,4.0,9.64,174.0,224.0,0.68,4.2,0.0,,0.0,0.0,0.0,,,,1100.0,940.0,3.0,0.0,0.0,0.0309,0.0267,0.146,0.148,0.0,0.0,66.2,66.79,0.0031,0.0,0.0,0.0,0.0,0.49,0.053,0.0,0.0,24.96,25.531,0.0327,0.0239,,0.0,,0.0,0.0026,0.0,0.0,0.0,0.0,0.047,0.022,,,,,,,
2009-04-20 00:00:00,ww_108,6.5,15.0,7.42,7.285,0.49,1.53,,0.88,,58.58,,698.0,25.0,7.0,14.2,175.0,231.0,0.66,4.0,0.0,,0.0,0.0,0.0,,,,170.0,130.0,3.4,0.0,0.0,0.0345,0.0267,0.136,0.141,0.0,0.0,67.1,66.65,0.0046,0.0,0.0,0.0,0.0,0.83,0.045,0.015,0.0,25.26,25.522,0.0433,0.0268,,0.0,,0.0,0.0039,0.0,0.0,0.0,0.0,0.053,0.025,,,,,,,
2009-04-20 00:00:00,ww_99,3.5,14.5,7.25,5.669,0.37,1.4,,0.57,,54.93,,714.0,13.0,7.0,8.34,176.0,233.0,0.56,4.4,0.0,,0.0,0.0,0.0,,,,140.0,200.0,17.3,0.0,0.0,0.0318,0.0282,0.121,0.129,0.0,0.0,69.33,65.47,0.0,0.0,0.0,0.0,0.0,0.55,0.074,0.0,0.0,25.98,24.397,0.048,0.0438,,0.0,,0.0,0.0062,0.0,0.0,0.0,0.0,0.033,0.017,,,,,,,
2009-04-20 00:00:00,ww_40,5.6,13.9,7.39,7.303,0.67,1.47,,0.81,,57.39,,662.0,16.0,5.0,12.4,179.0,239.0,0.63,4.1,0.0,,0.0,0.0,0.0,,,,90.0,,3.5,0.0,0.0,0.0319,0.0271,0.127,0.134,0.0,0.0,64.47,66.9,0.003,0.0,0.0,0.0,0.0,0.56,0.046,0.0,0.0,23.95,25.354,0.0324,0.024,,0.0,,0.0,0.004,0.0,0.0,0.0,0.0,0.039,0.019,,,,,,,
2009-04-20 00:00:00,ww_75,6.6,16.3,6.8,6.148,0.62,1.62,,0.67,,54.55,,640.0,24.0,7.0,12.6,168.0,230.0,0.52,4.7,0.0,,0.0,0.0,0.0,,<3.00,8.15,20.0,,5.3,0.0,0.0,0.0312,0.0255,0.115,0.128,0.0,0.0,63.76,62.9,0.0033,0.0,0.0,0.0,0.0,0.63,0.055,0.0,0.0,24.27,23.676,0.0354,na,q,0.0,,0.0,0.0051,0.0,0.0,0.0,0.0,0.033,0.018,,,,,,,
2009-04-20 00:00:00,ww_41,7.3,15.7,7.0,6.786,0.31,1.13,,0.69,,53.61,,544.0,7.0,4.0,4.35,124.0,181.0,0.5,4.4,0.0,,0.0,0.0,0.0,,<3.94,7.47,6400.0,,2.9,0.0,0.0,0.021,0.0181,0.123,0.134,0.0,0.0,48.39,50.08,0.0032,0.0,0.0,0.0,0.0,0.31,0.042,0.0,0.0,17.28,17.892,0.0685,0.0533,,0.0,,0.0,0.0042,0.0,0.0,0.0,0.0,0.028,0.016,,,,,,,
2009-04-20 00:00:00,ww_92,6.7,15.2,7.3,7.965,0.37,1.4,,0.66,,98.99,,774.0,16.0,5.0,9.74,179.0,242.0,0.69,5.0,0.0,,0.0,0.0,0.0,,8.36,8.19,140.0,,8.6,0.0,0.0,0.0272,0.0249,0.172,0.186,0.0,0.0,73.82,74.72,0.003,0.0,0.0,0.0,0.0,0.47,0.049,0.0,0.0,28.35,28.217,0.0487,0.0415,,0.0,,0.0,0.0069,0.0,0.0,0.0,0.0,0.03,0.018,,,,,,,
