collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,so4,tds,ss,vss,turb,alk,cl,f,toc,toc,phenol,phenol,cn,cn,cn_wad,cn_wad,fog,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,as_sol,ba_tot,ba_sol,ba_sol,b_tot,b_sol,b_sol,cd_tot,cd_sol,cd_sol,ca_tot,ca_sol,ca_sol,cr_tot,cr_sol,cr_sol,cr6,cu_tot,cu_sol,cu_sol,fe_tot,fe_sol,fe_sol,pb_tot,pb_sol,pb_sol,mg_tot,mg_sol,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,ni_sol,se_tot,se_sol,se_sol,ag_tot,ag_sol,ag_sol,zn_tot,zn_sol,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2009-10-05 00:00:00,ww_22,9.5,12.7,7.0,5.092,0.0,0.92,0.88,51.07,,510.0,22.0,5.0,15.5,143.0,152.0,0.4,4.8,,0.0,,0.0,,0.0,,,,<2.70,5.9,360.0,,9.6,0.0,0.0,ac,0.0275,0.0238,ac,0.157,0.158,ac,0.0,0.0,ac,52.33,48.36,ac,0.0027,0.0,ac,0.0,0.0,0.0,ac,0.66,0.041,ac,0.0,0.0,ac,20.32,19.556,ac,0.0377,0.0112,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.022,0.013,ac,4.57,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_23,8.8,13.8,7.99,4.693,0.16,0.69,0.82,56.53,,512.0,16.0,4.0,13.2,139.0,156.0,0.37,4.6,,0.0,,0.0,,0.0,,,,<2.93,7.78,200.0,,10.8,0.0,0.0,ac,0.0263,0.0229,ac,0.153,0.151,ac,0.0,0.0,ac,52.53,47.2,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.46,0.039,ac,0.0,0.0,ac,21.33,20.128,ac,0.0271,0.0077,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.018,0.012,ac,3.84,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_29,9.2,15.0,7.81,5.436,0.0,0.64,0.95,53.45,,508.0,20.0,5.0,13.8,129.0,143.0,0.38,4.8,,0.0,,0.0,,0.0,,,,<3.03,6.62,170.0,,14.3,0.0,0.0,ac,0.0254,0.0214,ac,0.149,0.15,ac,0.0,0.0,ac,49.39,45.86,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.63,0.034,ac,0.0,0.0,ac,19.53,18.658,ac,0.0438,0.019,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.022,0.015,ac,4.94,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_91,9.2,15.2,7.52,5.414,0.1,0.67,0.95,49.81,,458.0,32.0,8.0,32.8,121.0,130.0,0.39,4.4,,0.0,,0.0,,0.0,,,,<1.54,5.41,130.0,,10.1,0.0,0.0,ac,0.0254,0.0196,ac,0.148,0.148,ac,0.0,0.0,ac,47.94,43.1,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.95,0.035,ac,0.0,0.0,ac,18.58,17.363,ac,0.0412,0.0125,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.026,0.013,ac,6.37,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_79,6.6,14.3,7.05,0.31,0.22,1.16,0.0,41.86,,496.0,29.0,8.0,31.0,134.0,176.0,0.0,5.8,,0.0,,0.0,,0.0,,,,1.84,<6.03,180.0,,16.7,0.0,0.0,ac,0.0345,0.0283,ac,0.079,0.076,ac,0.0,0.0,ac,46.18,41.65,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,1.29,0.053,ac,0.0,0.0,ac,17.09,16.082,ac,0.0711,0.0198,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,3.37,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_80,8.7,14.5,7.53,6.087,0.0,1.25,1.0,46.14,,526.0,16.0,7.0,12.3,127.0,165.0,0.4,7.3,,0.0,,0.0,,0.0,,,,2.88,5.89,70.0,,18.4,0.0,0.0,ac,0.0305,0.0202,ac,0.14,0.136,ac,0.0,0.0,ac,49.99,44.99,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.55,0.047,ac,0.0,0.0,ac,18.67,17.938,ac,0.061,0.0065,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.0,0.012,ac,1.96,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_18,9.1,16.4,7.42,5.771,0.0,0.89,0.94,52.56,,526.0,20.0,7.0,11.2,127.0,168.0,0.38,5.8,,0.0,,0.0,,0.0,,,,<1.63,<4.73,110.0,,47.2,0.0,0.0,ac,0.0302,0.02,ac,0.134,0.131,ac,0.0,0.0,ac,48.64,44.61,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.56,0.037,ac,0.0,0.0,ac,18.5,17.639,ac,0.061,0.0088,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.015,0.01,ac,1.88,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_90,9.3,14.2,7.14,0.197,0.0,0.73,0.0,29.54,,486.0,10.0,3.0,8.18,181.0,150.0,0.3,5.1,,0.0,,0.0,,0.0,,,,<3.56,<5.35,120.0,130.0,12.1,0.0,0.0,ac,0.0714,0.0677,ac,0.065,0.066,ac,0.0,0.0,ac,53.5,50.61,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.63,0.093,ac,0.0,0.0,ac,21.28,21.13,ac,0.0473,0.0263,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,1.2,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_110,6.7,12.9,6.55,0.399,0.31,2.14,0.28,29.01,,466.0,76.0,18.0,101.0,149.0,150.0,0.2,10.9,,0.0,,0.0,,0.0,,,,<3.12,4.93,4600.0,2900.0,33.9,0.0,0.0,ac,0.0453,0.0316,ac,0.071,0.074,ac,0.0,0.0,ac,50.49,44.62,ac,0.0044,0.0,ac,0.0,0.0,0.0,ac,4.01,0.08,ac,0.0,0.0,ac,17.14,15.248,ac,0.1135,0.0718,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.023,0.0,ac,5.92,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_89,9.2,19.2,6.94,10.773,0.0,1.28,2.64,52.48,,458.0,7.0,3.0,6.36,150.0,101.0,0.69,5.3,,0.0,,0.0,,0.0,,,,1.48,7.18,120.0,110.0,3.1,0.0,0.0,ac,0.0226,0.0219,ac,0.26,0.26,ac,0.0,0.0,ac,55.05,51.75,ac,0.0,0.0,ac,0.0,0.01,0.0,ac,0.18,0.044,ac,0.0,0.0,ac,20.17,19.709,ac,0.0187,0.0118,ac,0.0,,0.0,0.0027,ac,0.0,0.0,ac,0.0,0.0,ac,0.034,0.032,ac,2.65,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_64,9.8,16.6,7.61,6.133,0.0,1.24,1.3,43.68,,436.0,19.0,8.0,11.3,138.0,115.0,0.42,6.0,,0.0,,0.0,,0.0,,,,<2.84,8.66,220.0,220.0,24.9,0.0,0.0,ac,0.0284,0.0244,ac,0.133,0.133,ac,0.0,0.0,ac,50.83,46.21,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.59,0.037,ac,0.0,0.0,ac,18.28,17.45,ac,0.0496,0.0091,ac,0.0,,0.012,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.018,0.014,ac,1.89,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_92,6.4,20.3,7.62,4.366,0.27,0.49,0.68,47.29,,330.0,10.0,3.0,3.04,105.0,72.0,0.43,3.4,,0.0,,0.0,,0.0,,0.0,,,,120.0,,2.1,0.0,0.0,ac,0.0162,0.0139,ac,0.112,0.144,ac,0.0,0.0,ac,40.72,38.05,ac,0.0029,0.0,ac,0.0,0.0,0.0,ac,0.44,0.024,ac,0.0,0.0,ac,13.45,13.16,ac,0.0216,0.014,ac,0.0,,0.016,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.019,0.013,ac,,,,,,,
2009-10-12 00:00:00,ww_106,8.6,11.3,6.85,8.602,0.91,1.3,1.5,45.31,,714.0,22.0,11.0,16.1,170.0,277.0,0.62,4.8,,0.0,,0.0,,0.0,,,,<2.07,8.52,480.0,550.0,10.4,0.0,0.0,,0.0561,0.0483,,0.186,0.179,,0.0,0.0,,61.27,56.42,,0.0,0.0,,0.0,0.01,0.0,,0.71,0.042,,0.0,0.0,,24.9,24.246,,0.0369,0.0234,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.026,0.019,,1.74,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_31,8.7,8.3,7.72,0.132,0.22,0.77,0.0,48.4,,578.0,9.0,6.0,8.68,178.0,178.0,0.28,5.7,,0.0,,0.0,,0.0,,,,<2.86,<4.59,190.0,270.0,1.9,0.0,0.0,,0.0324,0.0309,,0.088,0.089,,0.0,0.0,,55.54,50.85,,0.0,0.0,,0.0,0.0,0.0,,0.4,0.085,,0.0,0.0,,21.95,21.404,,0.0276,0.0231,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.015,,1.47,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_32,9.0,8.7,6.65,0.297,0.14,0.62,0.0,54.56,,532.0,9.0,6.0,6.88,198.0,161.0,0.33,5.0,,0.0,,0.0,,0.0,,,,<2.72,<4.69,190.0,140.0,2.2,0.0,0.0,,0.0352,0.0338,,0.126,0.126,,0.0,0.0,,63.68,58.3,,0.0,0.0,,0.0,0.0,0.0,,0.41,0.094,,0.0,0.0,,24.86,24.407,,0.0387,0.0336,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.26,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_105,8.6,12.1,6.82,5.898,0.25,1.11,0.98,44.51,,472.0,18.0,10.0,10.3,149.0,134.0,0.56,4.1,,0.0,,0.0,,0.0,,,,<2.38,7.89,99.0,120.0,18.2,0.0,0.0,,0.0252,0.0213,,0.141,0.138,,0.0,0.0,,52.05,47.78,,0.0,0.0,,0.0,0.0,0.0,,0.35,0.041,,0.0,0.0,,20.78,20.387,,0.0198,0.0075,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.015,0.011,,2.19,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_104,8.3,11.1,6.78,4.553,0.0,1.01,0.76,44.25,,468.0,15.0,8.0,8.81,146.0,136.0,0.5,4.4,,0.0,,0.0,,0.0,,,,<3.29,<5.68,80.0,140.0,12.8,0.0,0.0,,0.0259,0.0224,,0.128,0.124,,0.0,0.0,,52.14,47.53,,0.0,0.0,,0.0,0.0,0.0,,0.39,0.052,,0.0,0.0,,20.69,20.112,,0.0284,0.0182,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.01,,1.72,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_103,8.5,10.9,6.75,2.493,0.39,1.1,0.46,48.72,,528.0,58.0,15.0,46.8,144.0,181.0,0.38,4.3,,0.0,,0.0,,0.0,,,,2.95,6.05,1200.0,1200.0,5.5,0.0,0.0,,0.0425,0.0321,,0.11,0.111,,0.0,0.0,,54.96,48.61,,0.0026,0.0,,0.0,0.0,0.0,,1.72,0.035,,0.0,0.0,,20.09,18.664,,0.0904,0.0522,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.025,0.0,,44.1,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_34,8.7,10.0,7.92,2.639,0.34,0.96,0.52,42.85,,446.0,10.0,4.0,10.6,146.0,141.0,0.48,4.1,,0.0,,0.0,,0.0,,,,<1.60,<5.06,240.0,350.0,6.6,0.0,0.0,,0.0281,0.0239,,0.115,0.11,,0.0,0.0,,50.24,44.88,,0.0,0.0,,0.0,0.0,0.0,,0.45,0.047,,0.0,0.0,,19.39,18.399,,0.0327,0.0197,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.61,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_37,8.8,14.3,7.71,5.829,0.48,1.11,0.92,34.27,,348.0,9.0,5.0,5.51,131.0,86.0,0.54,3.1,,0.0,,0.0,,0.0,,0.0,,,,4300.0,,1.6,0.0,0.0,,0.0207,0.019,,0.123,0.119,,0.0,0.0,,47.81,42.91,,0.0,0.0,,0.0,0.0,0.0,,0.18,0.034,,0.0,0.0,,16.49,15.832,,0.0136,0.0095,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.019,0.018,,,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_73,8.7,13.9,7.01,5.744,0.27,0.91,0.75,34.62,,364.0,13.0,4.0,7.75,133.0,88.0,0.53,3.0,,0.0,,0.0,,0.0,,0.0,,,,2700.0,,1.3,0.0,0.0,,0.021,0.0194,,0.113,0.119,,0.0,0.0,,47.71,44.6,,0.0,0.0,,0.0,0.0,0.0,,0.32,0.053,,0.0,0.0,,16.38,16.304,,0.0153,0.0179,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.02,0.017,,,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_46,6.9,13.4,7.75,5.287,0.38,0.98,0.59,33.06,,354.0,19.0,5.0,12.6,118.0,85.0,0.48,3.2,,0.0,,0.0,,0.0,,0.0,,,,2900.0,,1.8,0.0,0.0,,0.0222,0.0176,,0.104,0.106,,0.0,0.0,,44.66,41.12,,0.0,0.0,,0.0,0.0,0.0,,0.52,0.035,,0.0,0.0,,15.17,14.6,,0.0176,0.0168,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.027,0.016,,,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_35,8.0,11.3,7.7,0.242,0.0,0.0,0.0,20.42,,178.0,8.0,3.0,5.26,107.0,13.0,0.0,1.7,,0.0,,0.0,,0.0,,,,<2.11,<5.56,<10,,0.6,0.0,0.0,,0.021,0.0198,,0.0,0.029,,0.0,0.0,,36.66,33.12,,0.0,0.0,,0.0,0.0,0.0,,0.2,0.0,,0.0,0.0,,11.97,11.454,,0.0129,0.0046,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.31,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_102,8.2,11.0,8.1,0.243,0.0,0.0,0.0,19.87,,158.0,9.0,3.0,4.22,100.0,12.0,0.0,1.8,,0.0,,0.0,,0.0,,0.0,,<1.71,<4.80,<10,,0.6,0.0,0.0,,0.0209,0.02,,0.0,0.028,,0.0,0.0,,35.41,33.16,,0.0,0.0,,0.0,0.0,0.0,,0.15,0.0,,0.0,0.0,,11.57,11.452,,0.0076,0.0034,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.69,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_101,7.6,14.8,7.46,5.927,0.49,1.06,0.99,33.12,,326.0,9.0,3.0,4.03,134.0,77.0,0.56,3.0,,0.0,,0.0,,0.0,,0.0,,,,3100.0,,1.0,0.0,0.0,,0.0197,0.0185,,0.127,0.123,,0.0,0.0,,46.08,42.59,,0.0,0.0,,0.0,0.0,0.0,,0.17,0.023,,0.0,0.0,,15.65,15.368,,0.0145,0.0094,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.023,0.02,,,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_96,8.5,9.6,7.9,2.864,0.0,0.86,0.56,43.95,,500.0,19.0,10.0,13.6,140.0,148.0,0.42,4.3,,0.0,,0.0,,0.0,,,,<3.70,<5.10,320.0,240.0,9.8,0.0,0.0,,0.0272,0.0236,,0.12,0.119,,0.0,0.0,,48.79,45.35,,0.0,0.0,,0.0,0.0,0.0,,0.48,0.048,,0.0,0.0,,18.75,18.487,,0.0246,0.0135,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.21,<2,<2,<2,<3,<3,<3
2009-10-12 00:00:00,ww_92,5.1,13.0,7.4,5.207,0.74,1.38,1.27,65.37,,440.0,9.0,4.0,5.47,117.0,91.0,0.55,3.9,,0.0,,0.0,,0.0,,0.0,,,,2000.0,,2.6,0.0,0.0,,0.0182,0.0149,,0.162,0.156,,0.0,0.0,,48.06,43.0,,0.0025,0.0,,0.0,0.0,0.0,,0.28,0.033,,0.0,0.0,,16.06,15.264,,0.03,0.021,,0.0,,0.0,0.0023,,0.0,0.0,,0.0,0.0,,0.027,0.019,,,,,,,,
2009-10-19 00:00:00,ww_74,9.7,10.9,7.2,0.265,0.0,0.0,0.0,22.71,,130.0,0.0,0.0,3.33,110.0,14.0,0.0,1.5,g,0.0,,0.0,g,0.0,g,,,0.54,<5.07,<10,9.0,0.5,0.0,0.0,,0.0207,0.0204,,0.0,0.031,,0.0,0.0,,34.68,32.56,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,11.25,11.116,,0.0078,0.004,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.01,,,,,,
2009-10-19 00:00:00,ww_100,9.5,11.9,7.6,0.58,0.0,0.0,0.0,26.02,,156.0,4.0,0.0,3.49,112.0,20.0,0.0,1.8,g,0.0,,0.0,g,0.0,g,,,<1.40,<4.65,40.0,60.0,0.9,0.0,0.0,,0.0218,0.0206,,0.0,0.035,,0.0,0.0,,35.83,33.11,,0.0,0.0,,0.0,0.0,0.0,,0.12,0.0,,0.0,0.0,,11.8,11.407,,0.0092,0.0067,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.15,,,,,,
2009-10-19 00:00:00,ww_39,8.0,12.3,7.4,4.167,0.31,0.75,0.51,34.62,,296.0,15.0,6.0,11.3,114.0,72.0,0.41,3.1,g,0.0,,0.0,g,0.0,g,0.0,g,,,620.0,490.0,1.5,0.0,0.0,,0.024,0.0184,,0.089,0.088,,0.0,0.0,,43.36,39.23,,0.0,0.0,,0.0,0.0,0.0,,0.45,0.031,,0.0,0.0,,14.48,13.879,,0.0197,0.0119,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.028,0.013,,,,,,,,
2009-10-19 00:00:00,ww_108,7.3,18.6,6.9,5.563,0.54,1.14,0.0,37.68,,330.0,10.0,4.0,10.5,120.0,96.0,0.55,3.5,g,0.0,,0.0,g,0.0,g,0.0,g,,,670.0,750.0,0.8,0.0,0.0,,0.0216,0.0177,,0.126,0.116,,0.0,0.0,,44.25,40.82,,0.0,0.0,,0.0,0.0,0.0,,0.37,0.03,,0.0,0.0,,14.88,14.408,,0.0187,0.0137,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.027,0.019,,,,,,,,
2009-10-19 00:00:00,ww_99,6.6,15.4,6.7,4.841,0.6,1.19,0.75,38.01,,336.0,11.0,3.0,10.2,127.0,83.0,0.54,3.3,g,0.0,,0.0,g,0.0,g,0.0,g,,,460.0,550.0,1.7,0.0,0.0,,0.0218,0.0174,,0.107,0.11,,0.0,0.0,,44.16,41.29,,0.0044,0.0,,0.0,0.0,0.0,,0.41,0.029,,0.0,0.0,,14.96,14.702,,0.034,0.0197,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.029,0.016,,,,,,,,
2009-10-19 00:00:00,ww_40,7.3,16.5,6.8,5.215,0.65,1.25,0.84,37.48,,344.0,25.0,6.0,16.1,128.0,88.0,0.56,3.4,g,0.0,,0.0,g,0.0,g,0.0,g,,,600.0,,1.5,0.0,0.0,,0.0234,0.0182,,0.114,0.114,,0.0,0.0,,45.53,42.32,,0.0025,0.0,,0.0,0.0,0.0,,0.51,0.034,,0.0,0.0,,15.48,15.092,,0.0238,0.0149,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.035,0.018,,,,,,,,
