Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Se sol,Ag tot,Ag sol,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
2010-03-01 00:00:00,WW_22,8.2,4.6,7.9,6.304,0.13,0.91,0.85,89.62,1610.0,,8.0,3.0,4.89,215.0,697.0,AH,0.41,3.4,0.0,0.005,0.0,-----,<4.42,11.1,100.0,-----,10.0,0.0,0.0,,0.0587,0.0536,0.119,0.152,0.0,0.0,104.55,111.66,0.0,0.0,0.0,0.0,0.0,0.29,,0.028,0.0,0.02,39.29,42.955,0.0767,0.0698,,0.0,,-----,0.0,0.0022,0.0,0.0,,0.0,0.0,,0.039,0.024,1.68,,,,,,
2010-03-01 00:00:00,WW_23,7.5,3.2,7.82,6.402,0.0,0.79,0.79,87.61,1690.0,,7.0,3.0,4.71,218.0,747.0,AH,0.4,3.4,0.0,0.0,0.0,-----,4.9,9.07,70.0,20.0,7.2,0.0,0.0,,0.0568,0.0508,0.119,0.153,0.0,0.0,103.27,108.21,0.0,0.0,0.0,0.0,0.0,0.29,,0.025,0.0,0.02,38.96,41.747,0.0723,0.0644,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.035,0.021,1.79,,,,,,
2010-03-01 00:00:00,WW_29,8.7,4.3,7.75,5.984,0.0,0.82,0.75,87.49,1808.0,,7.0,3.0,5.2,213.0,813.0,AH,0.42,3.5,0.0,0.0,0.0,-----,<8.66,<7.08,140.0,40.0,10.7,0.0,0.0,,0.0597,0.0517,0.122,0.148,0.0,0.0,110.26,108.76,0.0,0.0,0.0,0.0,0.0,0.27,,0.024,0.0,0.0,41.52,40.536,0.067,0.0599,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.034,0.021,1.61,,,,,,
2010-03-01 00:00:00,WW_91,9.1,4.6,7.81,5.887,0.0,0.67,0.67,90.33,1844.0,,7.0,3.0,3.92,219.0,859.0,AH,0.41,3.4,0.0,0.0,0.0,-----,<6.51,13.7,20.0,50.0,13.5,0.0,0.0,,0.0564,0.0518,0.125,0.158,0.0,0.0,106.44,110.81,0.0,0.0,0.0,0.0,0.0,0.2,,0.023,0.0,0.021,39.99,42.136,0.0599,0.0539,,0.0,,-----,0.0,0.0,0.0,0.1,,0.0,0.0,,0.031,0.019,1.74,,,,,,
2010-03-01 00:00:00,WW_80,10.5,6.5,6.93,4.552,1.2,2.28,1.14,89.46,1584.0,,6.0,4.0,3.05,195.0,706.0,AH,0.43,4.6,0.0,0.005,0.0,-----,<5.79,9.73,3100.0,-----,5.2,0.0,0.0,,0.0492,0.047,0.116,0.149,0.0,0.0,95.66,100.61,0.0,0.0,0.0,0.0,0.0,0.18,,0.059,0.0,0.02,34.46,36.503,0.114,0.1076,,0.0,,-----,0.0,0.0,0.0,0.102,,0.0,0.0,,0.033,0.023,5.04,,,,,,
2010-03-01 00:00:00,WW_18,10.6,6.0,7.54,4.666,1.27,2.32,1.14,90.05,1568.0,,5.0,4.0,2.74,200.0,728.0,AH,0.44,4.5,0.0,0.005,0.0,-----,<6.27,9.77,2100.0,1600.0,8.2,0.0,0.0,,0.0511,0.0466,0.116,0.144,0.0,0.0,99.3,106.62,0.0,0.0,0.0,0.0,0.0,0.19,,0.05,0.0,0.02,35.96,38.997,0.1099,0.0982,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.032,0.021,1.95,,,,,,
2010-03-01 00:00:00,WW_90,9.7,2.9,8.04,0.462,0.12,0.7,0.0,64.73,1688.0,,9.0,3.0,5.91,268.0,761.0,AH,0.0,3.5,0.0,0.005,0.0,-----,<6.52,8.42,40.0,-----,7.2,0.0,0.0,,0.1038,0.0946,0.0,0.058,0.0,0.0,111.75,111.47,0.0,0.0,0.0,0.0,0.0,0.59,,0.04,0.0,0.0,43.95,45.543,0.1802,0.1683,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.017,0.0,1.51,,,,,,
2010-03-01 00:00:00,WW_89,11.1,9.2,7.37,11.616,0.0,1.58,2.18,67.21,1090.0,,14.0,6.0,4.62,176.0,458.0,,0.59,5.2,0.0,0.005,0.0,-----,<5.87,7.79,2000.0,-----,8.2,0.0,0.0,,0.05,0.0411,0.178,0.208,0.0,0.0,91.68,87.74,0.0077,0.0,0.0,0.011,0.0,1.98,AI,0.042,0.0,0.0,33.7,32.067,0.0885,0.0405,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.077,0.038,2.06,,,,,,
2010-03-01 00:00:00,WW_64,9.3,4.7,7.47,6.105,0.35,1.33,1.02,53.54,1714.0,,17.0,5.0,8.85,202.0,790.0,AH,0.34,4.4,0.0,0.005,0.0,-----,<9.16,9.76,580.0,-----,16.2,0.0,0.0,,0.0644,0.0563,0.081,0.106,0.0,0.0,103.95,108.01,0.0,0.0,0.0,0.0,0.0,0.83,,0.042,0.0,0.0,35.07,37.7,0.1255,0.1108,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.037,0.022,2.76,,,,,,
2010-03-01 00:00:00,WW_92,5.5,10.9,7.52,5.791,1.23,2.16,1.39,117.91,1240.0,,19.0,4.0,7.44,176.0,554.0,,0.66,4.5,0.0,0.005,0.0,0.0,-----,-----,9.0,-----,6.6,0.0,0.0,,0.0337,0.0276,0.183,0.228,0.0,0.0,80.01,83.78,0.0028,0.0,0.0,0.0,0.0,0.61,,0.031,0.0,0.0,27.32,28.274,0.0496,0.0428,,0.0,B,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.047,0.028,-----,,,,,,
2010-03-08 00:00:00,WW_106,9.4,6.7,7.1,3.481,0.16,0.81,0.63,72.34,2324.0,,12.0,0.0,10.2,215.0,1038.0,AH,0.33,2.7,0.0,0.006,0.0,-----,<2.79,6.68,590.0,-----,8.1,0.0,0.0,,0.0861,0.0805,0.102,0.106,0.0,0.0,118.72,118.14,0.0,0.0,0.0,0.0,0.0,0.57,,0.032,0.0,0.0,44.89,46.002,0.0969,0.0867,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.027,0.015,9.42,,,,,,
2010-03-08 00:00:00,WW_31,12.6,2.1,7.8,0.48,0.22,0.6,0.0,69.04,1590.0,,10.0,0.0,8.42,230.0,665.0,AH,0.0,3.4,0.0,0.0,0.0,-----,<2.71,8.48,440.0,-----,5.8,0.0,0.0,,0.0578,0.055,0.055,0.062,0.0,0.0,92.25,96.43,0.0,0.0,0.0,0.0,0.0,0.42,,0.041,0.0,0.0,38.18,41.301,0.1679,0.1594,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.82,,,,,,
2010-03-08 00:00:00,WW_32,11.2,4.5,7.7,0.578,0.0,0.52,0.0,73.7,1626.0,,9.0,0.0,6.71,249.0,677.0,AH,0.21,2.9,0.0,0.0,0.0,-----,<4.55,8.0,560.0,-----,15.0,0.0,0.0,,0.063,0.0591,0.079,0.085,0.0,0.0,109.64,107.42,0.0,0.0,0.0,0.0,0.0,0.51,,0.025,0.0,0.0,43.8,45.735,0.154,0.1458,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.016,0.0,15.7,,,,,,
2010-03-08 00:00:00,WW_105,11.2,7.1,7.7,5.267,0.0,0.69,0.6,72.79,1304.0,,8.0,0.0,4.74,217.0,483.0,,0.42,3.5,0.0,0.0,0.0,-----,<5.73,8.29,40.0,-----,18.8,0.0,0.0,,0.0423,0.0405,0.106,0.112,0.0,0.0,92.42,92.77,0.0,0.0,0.0,0.0,0.0,0.25,,0.027,0.0,0.0,37.7,40.34,0.0571,0.0431,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.02,0.016,1.69,,,,,,
2010-03-08 00:00:00,WW_104,7.8,5.4,7.9,3.837,0.12,0.67,0.42,71.61,1398.0,,14.0,3.0,11.5,220.0,529.0,,0.36,3.3,0.0,0.0,0.0,-----,4.72,<6.63,130.0,-----,14.5,0.0,0.0,,0.048,0.0433,0.089,0.099,0.0,0.0,94.88,92.46,0.0,0.0,0.0,0.0,0.0,2.37,,0.04,0.0,0.0,38.73,40.076,0.1156,0.1175,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.106,0.019,1.96,,,,,,
2010-03-08 00:00:00,WW_103,12.4,6.2,7.65,2.39,0.15,0.72,0.39,87.08,2126.0,,13.0,0.0,10.1,217.0,915.0,AH,0.27,2.6,0.0,0.005,0.0,-----,<3.01,5.52,470.0,-----,16.2,0.0,0.0,,0.0801,0.0732,0.088,0.093,0.0,0.0,124.47,117.07,0.0,0.0,0.0,0.0,0.0,0.55,,0.032,0.0,0.0,42.55,42.953,0.09,0.0808,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.016,0.01,4.36,,,,,,
2010-03-08 00:00:00,WW_34,11.6,5.8,7.87,3.43,0.11,0.87,0.43,78.28,1664.0,,11.0,0.0,6.67,221.0,667.0,,0.33,2.9,0.0,0.0,0.0,-----,<3.74,<4.86,670.0,-----,16.2,0.0,0.0,,0.06,0.0556,0.094,0.097,0.0,0.0,105.93,103.05,0.0,0.0,0.0,0.0,0.0,0.44,,0.036,0.0,0.0,40.23,41.688,0.1003,0.0823,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.022,0.013,2.87,,,,,,
2010-03-08 00:00:00,WW_37,9.2,9.8,7.56,7.192,1.15,2.26,1.04,62.13,1004.0,,6.0,0.0,6.71,184.0,360.0,,0.61,4.3,0.0,0.0,0.0,0.0,-----,-----,4200.0,-----,6.5,0.0,0.0,,0.0376,0.0353,0.142,0.147,0.0,0.0,82.56,79.56,0.0,0.0,0.0,0.0,0.0,0.17,,0.059,0.0,0.0,29.4,30.544,0.041,0.025,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.031,0.022,-----,,,,,,
2010-03-08 00:00:00,WW_73,8.1,10.7,7.5,7.726,0.94,1.92,1.21,67.98,1010.0,,7.0,0.0,4.4,182.0,358.0,,0.61,3.9,0.0,0.0,0.0,0.0,-----,-----,3400.0,-----,5.7,0.0,0.0,,0.0368,0.0355,0.124,0.131,0.0,0.0,83.26,82.28,0.0,0.0,0.0,0.0,0.0,0.18,,0.046,0.0,0.0,29.68,31.383,0.0293,0.027,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.024,0.02,-----,,,,,,
2010-03-08 00:00:00,WW_46,7.9,10.0,7.52,8.288,1.1,1.9,1.16,63.38,998.0,,7.0,0.0,5.71,169.0,357.0,,0.67,4.2,0.0,0.0,0.0,0.0,-----,-----,700.0,-----,4.6,0.0,0.0,,0.0338,0.0326,0.134,0.144,0.0,0.0,80.02,76.82,0.0,0.0,0.0,0.0,0.0,0.23,,0.048,0.0,0.0,28.13,29.009,0.0258,0.0245,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.031,0.026,-----,,,,,,
2010-03-08 00:00:00,WW_102,10.0,8.9,7.25,7.885,1.23,2.1,1.05,62.89,828.0,,9.0,3.0,5.32,165.0,279.0,,0.66,4.7,0.0,0.0,0.0,0.0,<4.62,7.12,1400.0,-----,28.5,0.0,0.0,,0.0299,0.0291,0.133,0.139,0.0,0.0,75.49,72.71,0.0,0.0,0.0,0.0,0.0,0.17,,0.039,0.0,0.0,26.25,26.995,0.0173,0.0135,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.029,0.024,2.64,,,,,,
2010-03-08 00:00:00,WW_36,6.9,10.2,7.11,6.833,1.32,2.27,1.14,56.82,778.0,,8.0,4.0,2.94,175.0,250.0,,0.68,5.2,0.0,0.0,0.0,0.0,1.67,<5.84,4900.0,-----,1.2,0.0,0.0,,0.0298,0.029,0.171,0.176,0.0,0.0,73.73,72.74,0.0,0.0,0.0,0.0,0.0,0.1,,0.033,0.0,0.0,25.98,27.37,0.0219,0.0109,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.036,0.029,-----,,,,,,
2010-03-08 00:00:00,WW_101,7.9,10.1,6.87,7.842,1.38,2.36,1.21,58.79,792.0,,8.0,3.0,3.49,171.0,245.0,,0.69,5.1,0.0,0.0,0.0,0.0,-----,-----,2900.0,-----,3.6,0.0,0.0,,0.0297,0.0291,0.159,0.167,0.0,0.0,72.6,72.31,0.0,0.0,0.0,0.0,0.0,0.14,,0.045,0.0,0.0,25.35,27.182,0.0175,0.0151,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.034,0.029,-----,,,,,,
2010-03-08 00:00:00,WW_96,8.3,10.1,8.03,3.544,0.13,0.78,0.45,76.02,1724.0,,6.0,0.0,5.62,223.0,707.0,AH,0.33,3.0,0.0,0.0,0.0,-----,<4.09,5.23,3500.0,-----,40.3,0.0,0.0,,0.0578,0.0563,0.093,0.1,0.0,0.0,102.98,103.46,0.0,0.0,0.0,0.0,0.0,0.23,,0.022,0.0,0.0,38.44,41.56,0.0921,0.0864,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.017,0.012,2.16,,,,,,
2010-03-08 00:00:00,WW_92,6.3,12.0,7.19,6.748,1.73,2.53,1.65,108.33,1142.0,,6.0,0.0,3.99,178.0,414.0,,0.64,4.6,0.0,0.0,0.0,0.0,-----,-----,50.0,-----,4.3,0.0,0.0,,0.03,0.0278,0.241,0.24,0.0,0.0,84.12,81.85,0.0,0.0,0.0,0.0,0.0,0.22,,0.034,0.0,0.0,28.42,29.833,0.0637,0.0578,,0.0,,-----,0.0,0.0027,0.0,0.0,,0.0,0.0,,0.035,0.029,-----,,,,,,
2010-03-15 00:00:00,WW_74,11.1,5.3,7.43,1.639,0.21,0.65,0.0,30.17,436.0,,0.0,0.0,2.96,121.0,146.0,,0.21,2.5,0.0,0.0,0.0,-----,<2.56,5.53,30.0,-----,0.7,0.0,0.0,,0.0243,0.024,0.047,0.046,0.0,0.0,45.46,44.03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,14.86,15.367,0.0088,0.0084,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.66,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_100,10.3,7.39,7.5,2.693,0.4,1.29,0.0,40.93,652.0,,5.0,0.0,5.7,143.0,237.0,,0.28,4.4,0.0,0.0,0.0,-----,<2.70,<6.54,1100.0,-----,3.0,0.0,0.0,,0.0276,0.0288,0.065,0.08,0.0,0.0,57.94,54.57,0.0,0.0,0.0,0.0,0.0,0.19,,0.038,0.0,0.0,20.84,20.066,0.0325,0.0276,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.014,2.24,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_39,9.8,7.7,7.53,2.48,0.32,1.24,0.0,44.41,674.0,,12.0,3.0,13.1,158.0,238.0,,0.28,5.4,0.0,0.005,0.0,0.0,-----,-----,1400.0,-----,5.1,0.0,0.0,,0.0328,0.0294,0.084,0.076,0.0,0.0,62.72,60.43,0.0,0.0,0.0,0.0,0.0,0.58,,0.052,0.0,0.0,23.48,22.821,0.0366,0.0276,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.027,0.013,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_108,9.4,10.4,7.6,3.326,0.52,1.55,0.25,45.3,724.0,,12.0,3.0,11.6,152.0,253.0,,0.3,5.1,0.0,0.006,0.0,0.0,-----,-----,2300.0,-----,4.9,0.0,0.0,,0.0321,0.0286,0.081,0.076,0.0,0.0,61.31,60.01,0.0,0.0,0.0,0.0,0.0,0.45,,0.05,0.0,0.0,22.7,22.641,0.0344,0.0299,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.024,0.014,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_99,8.4,9.8,7.67,3.863,0.72,1.84,0.32,53.82,844.0,,10.0,4.0,9.21,175.0,314.0,,0.41,4.3,0.0,0.005,0.0,0.0,-----,-----,2000.0,-----,17.9,0.0,0.0,,0.0341,0.0308,0.103,**0.101,0.0,0.0,73.96,69.93,0.0,0.0,0.0,0.0,0.0,0.37,,0.048,0.0,0.0,27.07,26.538,0.0362,NA,Q,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.024,0.017,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_40,9.5,9.9,7.62,3.229,0.44,1.29,0.29,46.05,712.0,,11.0,3.0,11.2,156.0,266.0,,0.31,4.2,0.0,0.005,0.0,0.0,-----,-----,2500.0,-----,5.5,0.0,0.0,,0.0323,0.0285,0.081,0.078,0.0,0.0,66.25,61.56,0.0,0.0,0.0,0.0,0.0,0.44,,0.049,0.0,0.0,24.47,23.134,0.034,0.0274,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.024,0.014,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_75,6.7,9.7,7.1,3.684,0.43,1.43,0.25,49.5,812.0,,10.0,3.0,9.4,174.0,298.0,,0.33,4.3,0.0,0.005,0.0,0.0,6.13,<5.84,1000.0,-----,6.9,0.0,0.0,,0.0335,0.0316,0.085,0.083,0.0,0.0,69.43,70.03,0.0,0.0,0.0,0.0,0.0,0.39,,0.043,0.0,0.0,26.4,26.79,0.0426,0.0342,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.033,0.018,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_41,9.2,10.9,7.5,4.556,0.82,2.18,0.32,64.8,812.0,,11.0,5.0,7.06,174.0,284.0,,0.43,4.8,0.0,0.005,0.0,0.0,2.77,7.61,1500.0,-----,2.0,0.0,0.0,,0.0321,0.0284,0.135,0.128,0.0,0.0,75.6,71.53,0.0,0.0,0.0,0.0,0.0,0.35,,0.035,0.0,0.0,28.04,27.171,0.0293,0.0216,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.036,0.023,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_92,7.9,9.1,7.1,4.407,0.61,1.74,0.72,78.23,784.0,,12.0,3.0,9.94,154.0,271.0,,0.43,4.7,0.0,0.005,0.0,0.0,<5.27,6.17,560.0,-----,4.7,0.0,0.0,,0.0277,0.0256,0.13,0.137,0.0,0.0,68.4,67.12,0.0,0.0,0.0,0.0,0.0,0.48,,0.043,0.0,0.0,24.35,24.823,0.0395,NA,Q,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.066,0.021,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_42,7.5,13.1,7.61,4.628,0.46,1.53,0.32,63.29,822.0,,7.0,3.0,5.14,166.0,299.0,,0.42,4.5,0.0,0.005,0.0,0.0,-----,-----,930.0,-----,3.4,0.0,0.0,,0.0284,0.0268,0.132,0.134,0.0,0.0,73.24,69.6,0.0,0.0,0.0,0.0,0.0,0.21,,0.087,0.0,0.0,26.11,26.199,0.0267,0.0248,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.028,0.022,-----,<2,<2,<2,<3,<3,<3
2010-03-15 00:00:00,WW_48,6.9,11.2,7.19,4.133,0.56,1.63,0.44,74.62,784.0,,15.0,3.0,13.9,161.0,269.0,,0.39,4.7,0.0,0.006,0.0,0.0,-----,-----,550.0,-----,4.5,0.0,0.0,,0.0305,0.0263,0.121,0.123,0.0,0.0,74.25,66.53,0.0,0.0,0.0,0.0,0.0,0.63,,0.062,0.0,0.0,26.86,24.917,0.0424,0.0335,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.03,0.017,-----,<2,<2,<2,<3,<3,<3
2010-03-22 00:00:00,WW_50,11.4,6.8,7.48,0.179,0.11,0.52,0.0,44.41,320.0,,4.0,0.0,1.65,126.0,75.0,,0.34,4.4,0.0,0.0,0.0,-----,<1.87,<5.31,9.0,-----,3.1,0.0,0.0,,0.036,0.0338,0.192,0.163,0.0,0.0,45.63,43.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.027,0.0,0.0,12.37,13.099,0.0306,0.0324,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.67,<2,<2,<2,<3,<3,<3
2010-03-22 00:00:00,WW_86,14.3,7.3,7.6,0.804,2.2,3.5,0.5,214.31,820.0,,8.0,3.0,5.68,362.0,81.0,,0.97,11.2,0.0,0.005,0.0,0.0,-----,-----,9.0,-----,17.2,0.0,0.0,,0.036,0.0297,1.962,1.562,0.0,0.0,134.3,122.69,0.0,0.0,0.0,0.0,0.0,0.58,,0.052,0.0,0.0,53.47,54.862,0.1378,0.123,,0.0,,-----,0.0,0.0,0.0,0.0,,0.0,0.0,,0.02,0.0,-----,<2,<2,<2,<3,<3,<3
