Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
2011-06-06 00:00:00,WW_29,6.9,23.4,7.91,3.353,<0.10,1.01,0.38,,54.7,648.0,20.0,4.0,5.83,204.0,174.0,,0.3,6.1,,<5,<0.005,<0.0010,,<1.90,3.0,150.0,140.0,17.4,,<0.05,<0.02,0.0412,0.0371,0.11,0.11,<0.001,<0.001,71.35,66.62,<0.01,<0.003,<10,<0.02,<0.005,0.58,<0.2,<0.03,<0.03,30.22,28.54,0.0774,0.0218,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,5.1,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_91,8.0,24.0,8.12,2.863,<0.10,1.09,0.38,,50.22,632.0,31.0,7.0,7.48,201.0,166.0,,0.26,6.1,,<5,<0.005,<0.0010,,<1.90,3.0,80.0,40.0,20.5,,<0.05,<0.02,0.0428,0.036,0.11,0.11,<0.001,<0.001,70.36,64.01,<0.01,<0.003,<10,<0.02,<0.005,0.87,<0.2,<0.03,<0.03,29.88,27.31,0.071,0.0219,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,5.5,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_79,6.6,23.4,6.98,0.16,<0.10,1.84,0.16,,49.53,748.0,33.0,10.0,19.6,173.0,252.0,,0.19,8.5,,<5,<0.005,<0.0010,,<1.90,2.7,120.0,,52.2,,<0.05,<0.02,0.0426,0.0349,0.081,0.08,<0.001,<0.001,64.86,57.77,<0.01,<0.003,<10,<0.02,<0.005,1.28,<0.2,<0.03,<0.03,26.46,22.67,0.1588,0.0317,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,15.0,"AH, AS",<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_80,7.8,21.0,7.01,6.563,<0.10,1.5,0.9,,54.41,634.0,7.0,3.0,4.09,148.0,185.0,,0.39,9.2,,<5,<0.005,0.0016,,<1.50,3.3,40.0,,5.2,,<0.05,<0.02,0.0272,0.0251,0.123,0.12,<0.001,<0.001,60.6,56.35,<0.01,<0.003,<10,<0.02,<0.005,0.29,<0.2,<0.03,<0.03,23.05,21.64,0.0493,0.0184,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,4.9,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_18,7.5,21.0,7.26,6.811,<0.10,1.39,1.0,,54.95,626.0,8.0,3.0,4.01,153.0,188.0,,0.38,6.9,,<5,<0.005,0.001,,<1.70,3.3,100.0,,5.0,,<0.05,<0.02,0.0283,0.026,0.125,0.12,<0.001,<0.001,62.86,57.9,<0.01,<0.003,<10,<0.02,<0.005,0.28,<0.2,<0.03,<0.03,24.01,22.36,0.0537,0.0209,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,6.5,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_90,7.2,21.6,7.73,0.273,<0.10,1.24,<0.10,,32.43,570.0,31.0,7.0,11.7,201.0,162.0,,0.18,7.9,,<5,<0.005,<0.0010,,<2.00,2.1,90.0,,4.4,,<0.05,<0.02,0.0573,0.0465,<0.06,<0.07,<0.001,<0.001,62.16,56.96,<0.01,<0.003,<10,<0.02,<0.005,1.7,<0.2,<0.03,<0.03,26.81,24.43,0.1104,0.0509,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,2.6,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_110,5.8,22.8,7.55,0.608,0.26,1.92,0.14,,82.67,946.0,12.0,4.0,7.76,307.0,265.0,,0.28,12.6,,<5,<0.005,<0.0010,,<2.70,2.2,2000.0,,16.8,,<0.05,0.025,0.0711,0.0583,0.101,0.09,<0.001,<0.001,125.03,102.82,<0.01,<0.003,<10,<0.02,<0.005,1.14,<0.2,<0.03,<0.03,47.75,39.75,0.1013,0.0695,,<0.2,,<0.008,<0.008,0.008,<0.03,<0.004,0.0022,<0.06,<0.02,1.0,AS,,,,,,
2011-06-06 00:00:00,WW_111,8.0,24.0,7.75,9.06,0.21,2.05,1.54,,54.24,624.0,40.0,11.0,9.92,177.0,155.0,,0.46,7.6,,<5,<0.005,<0.0010,,<1.80,3.8,530.0,,34.6,,<0.05,<0.02,0.0402,0.0339,0.141,0.14,<0.001,<0.001,70.81,64.34,<0.01,<0.003,<10,<0.02,<0.005,0.54,<0.2,<0.03,<0.03,28.04,25.97,0.0744,0.0312,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0014,<0.06,<0.02,4.6,,,,,,,
2011-06-06 00:00:00,WW_89,8.2,21.6,7.44,10.341,0.17,2.14,2.09,,58.97,624.0,11.0,8.0,3.08,178.0,146.0,,0.59,8.9,,<5,<0.005,0.0033,,<1.70,3.5,580.0,,4.3,,<0.05,<0.02,0.0326,0.03,0.189,0.19,<0.001,<0.001,70.33,63.27,<0.01,<0.003,<10,<0.02,0.0084,<0.2,<0.2,<0.03,<0.03,29.4,26.9,0.0278,0.0172,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,0.027,2.6,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-06 00:00:00,WW_92,3.9,23.5,7.36,3.711,0.83,1.81,0.48,,72.73,630.0,6.0,3.0,3.09,190.0,141.0,,0.48,5.5,,<5,<0.005,<0.0010,<5.0,,,220.0,,4.2,,<0.05,<0.02,0.0291,0.0262,0.209,0.2,<0.001,<0.001,69.79,62.81,<0.01,<0.003,<10,<0.02,<0.005,0.24,<0.2,<0.03,<0.03,25.36,23.02,0.044,0.0372,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,,,,,,,,
2011-06-13 00:00:00,WW_106,5.6,18.1,7.26,5.046,1.58,2.87,0.68,,47.01,1106.0,20.0,4.0,20.2,253.0,413.0,,0.42,7.0,,<5,<0.005,0.0014,,<2.80,8.9,46000.0,,5.4,,<0.05,0.027,0.1442,0.1237,0.227,0.23,<0.001,<0.001,74.74,74.13,0.01,<0.003,<10,<0.02,<0.005,1.64,<0.2,<0.03,<0.03,37.76,37.47,0.1155,0.0995,,<0.2,,0.0082,0.01,<0.005,<0.03,<0.004,0.0015,<0.06,0.02,<2.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_31,7.0,17.4,7.89,0.228,0.14,1.38,<0.10,,36.87,752.0,11.0,2.0,10.2,184.0,279.0,,0.21,7.1,,<5,<0.005,0.001,,<2.30,2.6,360.0,,4.6,,<0.05,0.023,0.0352,0.0328,0.069,0.07,<0.001,<0.001,56.99,56.39,<0.01,<0.003,<10,<0.02,<0.005,0.65,<0.2,<0.03,<0.03,23.85,23.68,0.0781,0.0643,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_32,6.4,16.5,7.92,0.378,0.42,1.23,<0.10,,41.67,656.0,11.0,2.0,9.44,206.0,197.0,,0.23,6.1,,<5,<0.005,0.0011,,<2.00,<1.60,460.0,,3.1,,<0.05,0.024,0.0385,0.0348,0.1,0.1,<0.001,<0.001,64.62,61.45,<0.01,<0.003,<10,<0.02,<0.005,0.66,<0.2,<0.03,<0.03,25.7,24.84,0.075,0.0675,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0012,<0.06,<0.02,2.6,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_105,5.1,18.8,7.72,3.636,0.41,1.27,0.48,,52.01,620.0,20.0,3.0,13.3,192.0,167.0,,0.34,5.9,,<5,<0.005,<0.0010,,<2.30,3.9,50.0,,3.3,,<0.05,0.023,0.0349,0.031,0.105,0.11,<0.001,<0.001,61.83,58.88,<0.01,<0.003,<10,<0.02,<0.005,0.94,<0.2,<0.03,<0.03,27.34,26.46,0.0775,0.0539,,<0.2,,0.0379,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_104,5.1,18.5,7.84,2.344,0.31,1.08,0.35,,47.88,652.0,17.0,2.0,10.7,193.0,196.0,,0.3,5.9,,<5,<0.005,0.0011,,<1.90,1.7,90.0,,1.8,,<0.05,0.02,0.035,0.0324,0.096,0.1,<0.001,<0.001,60.01,58.42,<0.01,<0.003,<10,<0.02,<0.005,0.56,<0.2,<0.03,<0.03,26.38,26.05,0.0828,0.0644,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_103,7.0,18.4,7.1,2.56,0.29,2.07,0.35,,49.81,834.0,12.0,2.0,11.4,195.0,291.0,,0.31,5.3,,<5,<0.005,0.0014,,<2.00,2.2,400.0,,3.9,,<0.05,<0.02,0.0509,0.0451,0.105,0.11,<0.001,<0.001,68.57,64.54,<0.01,<0.003,<10,<0.02,<0.005,0.55,<0.2,<0.03,<0.03,27.4,26.07,0.0572,0.0453,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0012,<0.06,<0.02,1.3,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_34,6.5,18.8,7.72,1.025,0.26,1.12,0.24,,43.29,670.0,16.0,2.0,11.1,189.0,209.0,,0.26,6.1,,<5,<0.005,<0.0010,,<1.90,3.1,1600.0,,2.7,,<0.05,0.022,0.0404,0.0346,0.09,0.09,<0.001,<0.001,59.14,57.13,<0.01,<0.003,<10,<0.02,<0.005,0.66,<0.2,<0.03,<0.03,25.53,24.72,0.0812,0.0623,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,<0.5,AS,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_37,8.5,16.2,7.56,3.631,1.23,2.08,0.49,,38.62,476.0,8.0,2.0,6.43,152.0,120.0,,0.4,3.7,,<5,<0.005,<0.0010,<5.0,,,3700.0,,1.9,,<0.05,<0.02,0.0268,0.0233,0.102,0.1,<0.001,<0.001,53.29,49.95,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,19.71,18.55,0.0195,0.0138,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_73,7.6,17.7,7.43,5.026,0.52,1.56,0.45,,41.11,520.0,12.0,3.0,8.2,155.0,141.0,,0.43,4.3,,<5,<0.005,<0.0010,<5.0,,,1700.0,,3.3,,<0.05,<0.02,0.0266,0.0223,0.103,0.1,<0.001,<0.001,57.69,53.11,<0.01,<0.003,<10,<0.02,<0.005,0.34,<0.2,<0.03,<0.03,21.4,19.72,0.066,0.0579,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,<2.0,<2.0,3.1,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_46,6.8,17.4,7.38,4.645,1.14,1.78,0.42,,39.84,514.0,10.0,2.0,6.81,156.0,134.0,,0.41,4.4,,<5,<0.005,0.0013,<5.0,,,2000.0,,1.4,,<0.05,<0.02,0.0267,0.0235,0.108,0.11,<0.001,<0.001,54.78,52.11,<0.01,<0.003,<10,<0.02,<0.005,0.31,<0.2,<0.03,<0.03,20.39,19.24,0.0341,0.0287,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_35,10.0,14.4,8.14,0.299,<0.10,0.0,<0.10,,22.57,198.0,14.0,1.0,10.4,108.0,13.0,,0.12,2.8,,<5,<0.005,<0.0010,,<1.30,<1.50,210.0,,2.2,,<0.05,<0.02,0.0213,0.0194,<0.06,<0.07,<0.001,<0.001,34.16,32.56,<0.01,<0.003,<10,<0.02,<0.005,0.31,<0.2,<0.03,<0.03,11.69,11.14,0.0172,0.0116,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,<0.001,<0.06,<0.02,2.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_102,9.4,14.9,8.05,0.289,<0.10,<0.50,<0.10,,22.49,196.0,15.0,2.0,13.2,110.0,13.0,,0.12,2.6,,<5,<0.005,<0.0010,<5.0,<1.40,<1.60,20.0,,3.5,,<0.05,<0.02,0.0221,0.0196,<0.06,<0.07,<0.001,<0.001,35.18,33.11,<0.01,<0.003,<10,<0.02,<0.005,0.33,<0.2,<0.03,<0.03,11.97,11.19,0.0202,0.0101,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,2.9,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_36,8.7,17.1,7.69,3.911,0.83,1.49,0.45,,34.19,420.0,8.0,2.0,8.38,143.0,97.0,,0.42,3.7,,<5,<0.005,<0.0010,<5.0,<1.70,3.7,1900.0,,2.2,,<0.05,<0.02,0.0229,0.0212,0.097,0.1,<0.001,<0.001,49.3,47.2,<0.01,<0.003,<10,<0.02,<0.005,0.23,<0.2,<0.03,<0.03,17.47,16.66,0.0344,0.0286,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,0.023,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_101,9.0,16.0,7.36,3.696,1.2,1.87,0.5,,36.3,420.0,9.0,2.0,7.99,142.0,93.0,,0.41,4.1,,<5,<0.005,<0.0010,<5.0,,,3500.0,,2.8,,<0.05,<0.02,0.0231,0.0211,0.093,0.1,<0.001,<0.001,49.02,47.54,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,17.39,16.78,0.03,0.0164,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_96,7.6,16.8,7.36,1.018,0.14,1.09,0.23,,43.48,664.0,13.0,1.0,10.1,189.0,216.0,,0.24,6.3,,<5,<0.005,<0.0010,,<2.00,2.3,590.0,,2.3,,<0.05,<0.02,0.0386,0.0352,0.091,0.1,<0.001,<0.001,60.2,59.3,<0.01,<0.003,<10,<0.02,<0.005,0.62,<0.2,<0.03,<0.03,25.77,25.3,0.0754,0.046,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,5.9,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-06-13 00:00:00,WW_92,3.2,21.5,7.12,3.174,0.68,1.57,0.39,,49.96,460.0,14.0,3.0,16.1,138.0,111.0,,0.36,5.7,,<5,<0.005,0.0014,<5.0,,,2700.0,,5.1,,<0.05,<0.02,0.0253,0.0217,0.154,0.16,<0.001,<0.001,49.16,46.81,<0.01,0.0038,<10,<0.02,<0.005,0.77,<0.2,<0.03,<0.03,17.67,16.96,0.0486,NA,Q,<0.2,,<0.008,0.01,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,,,,,,
2011-06-20 00:00:00,WW_74,8.0,21.1,7.23,0.345,<0.10,<0.50,<0.10,,22.49,242.0,4.0,1.0,2.89,107.0,19.0,,0.14,2.0,,6.0,<0.005,<0.0010,,<1.20,1.6,280.0,,1.2,A,<0.05,<0.02,0.0229,0.022,<0.06,<0.07,<0.001,<0.001,34.14,33.12,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,12.2,11.9,0.0205,0.0141,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,<2.5,,,,,,,
2011-06-20 00:00:00,WW_100,7.1,21.6,7.46,1.464,0.27,0.65,<0.10,,27.86,326.0,6.0,2.0,4.55,120.0,50.0,,0.21,3.3,,5.0,<0.005,<0.0010,,<1.70,2.6,310.0,,1.5,A,<0.05,<0.02,0.0239,0.0221,<0.06,<0.07,<0.001,<0.001,40.2,38.64,<0.01,<0.003,<10,<0.02,0.006,0.23,<0.2,<0.03,<0.03,14.43,13.97,0.0796,0.0678,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,3.8,,,,,,,
2011-06-20 00:00:00,WW_39,5.8,21.3,7.34,4.587,1.03,2.25,0.71,A,40.18,606.0,11.0,3.0,9.6,162.0,145.0,,0.54,4.6,,<5,<0.005,<0.0010,<5.0,,,310.0,,2.1,A,<0.05,<0.02,0.0295,0.0241,0.124,0.12,<0.001,<0.001,59.39,55.8,<0.01,<0.003,<10,<0.02,<0.005,0.43,<0.2,<0.03,<0.03,21.92,20.84,0.0918,0.082,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,0.0012,<0.06,<0.02,,,,,,,,
2011-06-20 00:00:00,WW_108,5.2,20.9,7.36,2.796,0.65,1.39,0.29,A,30.71,428.0,12.0,3.0,9.97,135.0,87.0,,0.32,4.3,,<5,<0.005,0.0014,<5.0,,,260.0,,2.7,A,<0.05,<0.02,0.025,0.0223,0.073,0.08,<0.001,<0.001,45.3,44.69,<0.01,<0.003,<10,<0.02,<0.005,0.42,<0.2,<0.03,<0.03,16.42,16.17,0.0722,0.0535,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,,,,,,
2011-06-20 00:00:00,WW_99,4.4,21.7,7.09,0.05,0.32,4.62,0.76,A,31.71,464.0,62.0,35.0,22.8,140.0,111.0,,0.41,8.3,,<5,<0.005,<0.0010,7.3,,,29000.0,,250.2,A,<0.05,<0.02,0.0343,0.0274,0.087,0.09,<0.001,<0.001,46.41,44.42,<0.01,<0.003,<10,<0.02,<0.005,1.26,<0.2,<0.03,<0.03,15.76,14.8,0.0921,0.0798,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,,,,,,
2011-06-20 00:00:00,WW_40,4.4,20.7,7.27,3.042,0.75,2.04,0.31,A,31.34,432.0,15.0,4.0,13.8,132.0,94.0,,0.34,3.8,,<5,<0.005,<0.0010,<5.0,,,1300.0,,5.2,A,<0.05,<0.02,0.0255,0.0218,0.075,0.08,<0.001,<0.001,45.3,43.18,<0.01,<0.003,<10,<0.02,<0.005,0.49,<0.2,<0.03,<0.03,16.38,15.57,0.0383,0.0312,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,,,,,,,,
