collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-01-03 00:00:00,ww_29,12.0,1.4,7.6,4.217,0.32,1.22,0.42,66.73,,1102.0,18.0,6.0,11.9,145.0,487.0,0.33,4.6,<5,0.006,0.0013,,<3.60,8.7,760.0,,4.6,<0.05,<0.02,0.046,0.0408,0.1,0.11,<0.001,<0.001,72.0,73.76,<0.01,<0.003,<10,<0.02,0.0055,0.7,<0.2,<0.03,<0.03,26.0,26.11,0.064,0.0493,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,4.6,,,,,,
2011-01-03 00:00:00,ww_91,11.6,1.3,7.69,4.121,0.34,1.32,0.46,64.57,,1080.0,23.0,6.0,14.5,138.0,479.0,0.3,4.5,<5,0.006,0.0013,,<3.00,6.8,870.0,,6.4,<0.05,<0.02,0.044,0.0375,0.1,0.1,<0.001,<0.001,69.9,68.54,<0.01,<0.003,<10,<0.02,<0.005,1.0,<0.2,<0.03,<0.03,25.2,24.19,0.084,0.0601,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,5.5,,,,,,
2011-01-03 00:00:00,ww_80,10.3,4.9,7.49,3.059,0.29,1.08,0.27,61.22,,1110.0,13.0,5.0,8.62,139.0,535.0,0.3,4.2,<5,0.005,0.0011,,<2.70,2.8,400.0,,4.4,<0.05,<0.02,0.045,0.0399,0.09,0.09,<0.001,<0.001,69.0,67.84,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,23.9,23.2,0.108,0.0933,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,3.1,,,,,,
2011-01-03 00:00:00,ww_18,10.4,5.3,7.83,4.603,0.25,1.25,0.42,62.6,,1098.0,12.0,5.0,8.34,140.0,521.0,0.33,4.2,<5,0.006,0.0014,,<2.10,3.6,590.0,,3.7,<0.05,<0.02,0.043,0.0389,0.11,0.1,<0.001,<0.001,71.6,70.55,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,24.8,24.24,0.099,0.0869,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_90,11.7,1.8,7.64,0.858,0.38,0.91,<0.10,50.49,,1038.0,12.0,5.0,6.79,197.0,452.0,0.15,5.0,<5,<0.005,0.0012,,<2.40,3.1,200.0,230.0,4.7,<0.05,<0.02,0.073,0.0679,<0.06,<0.07,<0.001,<0.001,75.4,75.87,<0.01,<0.003,<10,<0.02,<0.005,0.7,<0.2,<0.03,<0.03,30.4,30.29,0.093,0.0664,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_111,9.0,6.3,7.54,7.705,0.33,1.3,0.74,61.53,,910.0,19.0,6.0,12.2,157.0,395.0,0.35,6.1,<5,0.005,0.0013,,<2.40,4.9,1300.0,1200.0,3.3,<0.05,<0.02,0.046,0.0417,0.09,0.09,<0.001,<0.001,78.9,78.66,<0.01,<0.003,<10,<0.02,<0.005,0.8,<0.2,<0.03,<0.03,27.5,27.03,0.105,0.0888,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_89,8.9,10.0,7.41,11.08,0.1,1.65,1.32,65.25,,798.0,11.0,7.0,6.73,171.0,300.0,0.54,6.4,<5,<0.005,0.0012,,<2.20,6.1,2300.0,1800.0,1.3,<0.05,<0.02,0.042,0.0397,0.17,0.17,<0.001,<0.001,79.3,78.94,<0.01,<0.003,<10,<0.02,<0.005,0.3,<0.2,<0.03,<0.03,28.7,28.45,0.031,0.0257,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_92,7.8,6.5,7.58,4.676,0.34,1.26,0.56,62.51,,858.0,31.0,6.0,24.6,116.0,371.0,0.42,4.0,<5,0.006,0.0013,<5,,,3700.0,,2.1,<0.05,<0.02,0.029,0.0224,0.11,0.1,<0.001,<0.001,56.4,53.89,<0.01,<0.003,<10,<0.02,<0.005,1.2,<0.2,<0.03,<0.03,18.9,17.36,0.073,0.0508,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,,,,,,,
2011-01-10 00:00:00,ww_106,10.5,2.0,6.85,15.788,2.66,3.51,2.4,57.31,,1078.0,80.0,12.0,74.9,156.0,452.0,0.71,4.8,<5,0.005,<0.0010,,<3.00,6.1,6300.0,5600.0,4.3,<0.05,<0.02,0.0797,0.0605,0.166,0.18,<0.001,<0.001,84.35,81.3,<0.01,<0.003,<10,<0.02,0.0125,3.11,<0.2,<0.03,<0.03,33.32,31.6,0.0978,0.0554,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.027,6.1,,,,,,
2011-01-10 00:00:00,ww_105,7.0,5.0,7.05,12.632,0.17,0.75,1.35,56.69,,718.0,24.0,<4,15.5,139.0,269.0,0.64,3.9,<5,0.005,<0.0010,,2.7,4.9,60.0,90.0,2.8,<0.05,<0.02,0.0294,0.0249,0.141,0.16,<0.001,<0.001,65.46,64.52,<0.01,<0.003,<10,<0.02,0.0064,0.86,<0.2,<0.03,<0.03,26.45,25.92,0.0733,0.055,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.026,3.3,,,,,,
2011-01-10 00:00:00,ww_104,8.4,3.7,7.31,7.147,0.51,1.41,0.78,na,l,842.0,16.0,4.0,12.8,200.0,319.0,0.54,4.4,<5,0.005,<0.0010,,<2.50,4.6,29000.0,31000.0,2.3,<0.05,<0.02,0.0404,0.0363,0.11,0.13,<0.001,<0.001,79.82,79.25,<0.01,<0.003,<10,<0.02,<0.005,0.6,<0.2,<0.03,<0.03,31.02,30.83,0.0848,0.0717,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,2.9,,,,,,
2011-01-10 00:00:00,ww_34,11.0,3.1,7.02,9.393,0.2,0.96,0.94,66.73,,990.0,12.0,<4,13.4,173.0,412.0,0.54,4.2,<5,0.005,<0.0010,,<3.20,8.0,21000.0,24000.0,2.0,<0.05,<0.02,0.0439,0.0392,0.127,0.14,<0.001,<0.001,80.34,79.9,<0.01,<0.003,<10,<0.02,<0.005,0.56,<0.2,<0.03,<0.03,31.13,30.75,0.0754,0.0645,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,3.1,,,,,,
2011-01-10 00:00:00,ww_37,8.8,8.1,7.3,10.283,1.5,2.46,1.26,52.68,,562.0,5.0,<4,4.03,140.0,181.0,0.77,4.7,<5,<0.005,<0.0010,<5,,,2600.0,,0.9,<0.05,<0.02,0.0253,0.0241,0.14,0.15,<0.001,<0.001,59.14,60.08,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,21.16,21.37,0.0185,0.0192,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.031,,,,,,,
2011-01-10 00:00:00,ww_73,7.2,8.6,7.11,8.036,1.82,2.88,1.28,51.69,,598.0,6.0,<4,4.37,146.0,188.0,0.76,5.0,<5,<0.005,<0.0010,<5,,,1300.0,,2.4,<0.05,<0.02,0.0257,0.024,0.156,0.17,<0.001,<0.001,58.38,59.72,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,20.83,21.21,0.0293,0.0235,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,,,,,,,
2011-01-10 00:00:00,ww_46,5.8,6.7,7.6,9.441,1.38,2.17,1.17,52.67,,644.0,7.0,<4,3.85,148.0,209.0,0.75,4.6,<5,<0.005,0.0013,<5,,,70.0,,1.1,<0.05,<0.02,0.0271,0.0241,0.142,0.15,<0.001,<0.001,63.11,62.86,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,22.74,22.45,0.0803,0.0314,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.031,,,,,,,
2011-01-10 00:00:00,ww_102,8.8,3.9,7.15,9.116,1.73,2.65,1.21,48.96,,496.0,10.0,<4,10.6,139.0,156.0,0.77,10.2,<5,<0.005,<0.0010,<5,<1.90,8.0,2900.0,,4.6,<0.05,<0.02,0.0247,0.0221,0.144,0.15,<0.001,<0.001,55.99,56.56,<0.01,<0.003,<10,<0.02,<0.005,0.36,<0.2,<0.03,<0.03,19.74,19.59,0.0889,0.0858,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.033,3.7,,,,,,
2011-01-10 00:00:00,ww_36,5.7,5.8,7.11,7.822,2.94,4.29,1.59,48.83,,480.0,7.0,5.0,3.27,146.0,136.0,0.82,11.2,<5,<0.005,0.001,<5,<2.00,9.8,5600.0,,0.8,<0.05,<0.02,0.023,0.0214,0.173,0.18,<0.001,<0.001,53.15,54.66,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,19.0,19.21,0.0204,0.019,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.036,,,,,,,
2011-01-10 00:00:00,ww_101,4.9,6.8,7.12,9.957,2.35,3.6,1.43,48.76,,484.0,<4,<4,2.6,135.0,143.0,0.81,11.0,<5,<0.005,<0.0010,<5,,,3300.0,,0.6,<0.05,<0.02,0.0226,0.0219,0.147,0.16,<0.001,<0.001,54.96,56.58,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,19.52,19.84,0.0156,0.014,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,,,,,,,
2011-01-10 00:00:00,ww_96,11.8,2.1,7.83,9.125,0.63,1.34,0.74,67.69,,1140.0,5.0,<4,7.86,186.0,479.0,0.49,8.0,<5,0.006,<0.0010,,<2.70,3.4,330.0,350.0,2.7,<0.05,<0.02,0.049,0.0434,0.125,0.13,<0.001,<0.001,87.52,87.58,<0.01,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,33.35,33.06,0.0634,0.0552,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-10 00:00:00,ww_92,7.0,6.5,7.21,6.761,0.46,1.45,0.42,86.51,,838.0,9.0,<4,8.06,139.0,315.0,0.5,15.7,<5,0.006,<0.0010,<5,,,50.0,,1.2,<0.05,<0.02,0.0294,0.0251,0.165,0.17,<0.001,<0.001,66.7,65.88,<0.01,<0.003,<10,<0.02,<0.005,0.42,<0.2,<0.03,<0.03,22.91,22.21,0.0364,0.0325,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,,,,,,,
2011-01-18 00:00:00,ww_74,8.7,3.8,7.01,6.655,0.85,1.54,0.9,47.61,,798.0,<4,<4,<1.0,132.0,329.0,0.58,4.6,<5,<0.005,0.001,,<3.40,6.8,50.0,40.0,0.5,<0.05,<0.02,0.0273,0.0264,0.119,0.15,<0.001,<0.001,56.64,56.44,<0.01,<0.003,<10,<0.02,0.0086,<0.2,<0.2,<0.03,<0.03,18.47,18.74,0.0363,0.0279,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.041,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_100,8.6,6.1,7.03,9.009,1.25,2.02,1.27,55.84,,732.0,4.0,<4,2.42,136.0,286.0,0.76,5.9,<5,<0.005,0.0012,,<2.30,8.6,830.0,560.0,2.5,<0.05,<0.02,0.0253,0.0235,0.144,0.15,<0.001,<0.001,58.65,57.79,<0.01,<0.003,<10,<0.02,0.0061,<0.2,<0.2,<0.03,<0.03,19.7,19.76,0.1828,0.1817,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.04,51.0,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_39,6.5,5.8,6.97,9.241,1.3,2.35,1.38,51.37,,684.0,5.0,<4,2.85,137.0,257.0,0.79,4.8,<5,<0.005,0.0011,<5,,,920.0,790.0,2.1,<0.05,<0.02,0.0247,0.0226,0.148,0.16,<0.001,<0.001,57.52,57.02,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,19.65,19.79,0.041,0.0386,,<0.2,,<0.008,<0.008,0.007,<0.03,<0.004,<0.004,<0.06,0.039,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_108,6.4,10.7,7.1,8.425,1.07,1.99,1.31,61.97,,948.0,6.0,<4,3.18,140.0,414.0,0.76,4.0,<5,<0.005,0.0013,<5,,,210.0,110.0,0.7,<0.05,<0.02,0.0285,0.0258,0.149,0.15,<0.001,<0.001,62.25,61.28,<0.01,<0.003,<10,<0.02,0.0068,0.26,<0.2,<0.03,<0.03,20.81,20.81,0.0611,0.0464,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.038,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_99,5.7,6.4,7.13,8.062,1.23,2.21,1.19,55.49,,758.0,6.0,<4,4.7,149.0,294.0,0.73,4.5,<5,<0.005,0.001,<5,,,250.0,150.0,1.9,<0.05,<0.02,0.0265,0.0235,0.151,0.15,<0.001,<0.001,61.87,59.83,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,21.02,20.76,0.0452,0.0381,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_40,6.2,5.9,7.32,8.277,1.19,2.25,1.26,56.68,,774.0,6.0,<4,2.94,148.0,308.0,0.75,4.5,<5,<0.005,<0.0010,<5,,,200.0,,1.5,<0.05,<0.02,0.028,0.0238,0.156,0.15,<0.001,<0.001,63.01,60.38,<0.01,<0.003,<10,<0.02,<0.005,0.29,<0.2,<0.03,<0.03,21.55,20.96,0.0411,0.0356,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.031,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_75,6.4,15.6,7.3,8.87,1.25,2.23,1.11,57.62,,694.0,9.0,<4,5.35,147.0,255.0,0.72,4.4,<5,<0.005,0.0015,<5,<2.30,7.8,50.0,,2.1,<0.05,<0.02,0.0292,0.0234,0.153,0.16,<0.001,<0.001,63.64,62.38,<0.01,<0.003,<10,<0.02,<0.005,0.37,<0.2,<0.03,<0.03,22.08,22.04,0.0531,0.0437,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.027,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_41,8.2,5.8,7.2,11.988,2.52,3.65,0.69,89.25,,656.0,4.0,<4,1.91,126.0,191.0,0.84,5.5,<5,<0.005,0.0014,<5,<2.30,8.0,2500.0,,0.8,<0.05,<0.02,0.0205,0.0182,0.19,0.19,<0.001,<0.001,58.53,57.48,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,19.88,20.01,0.0308,0.0127,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.028,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_92,7.5,8.2,7.17,6.972,0.88,1.69,0.95,111.04,,1020.0,5.0,<4,4.04,157.0,389.0,0.7,4.8,<5,0.005,<0.0010,<5,<2.40,7.2,90.0,,0.4,<0.05,<0.02,0.0258,0.0231,0.243,0.24,<0.001,<0.001,73.23,70.85,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,24.49,24.16,0.1509,0.1382,,<0.2,,0.0093,0.01,<0.005,<0.03,<0.004,<0.004,<0.06,0.028,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_42,6.7,12.2,6.19,6.204,0.67,1.73,0.53,91.31,,836.0,5.0,<4,2.59,163.0,291.0,0.77,5.4,<5,<0.005,<0.0010,<5,,,70.0,,0.9,<0.05,<0.02,0.0245,0.0211,0.338,0.33,<0.001,<0.001,68.8,67.97,<0.01,<0.003,<10,<0.02,<0.005,0.26,<0.2,<0.03,<0.03,22.66,22.92,0.0728,0.0229,,<0.2,,0.0086,0.009,<0.005,<0.03,<0.004,<0.004,<0.06,0.026,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-18 00:00:00,ww_48,5.9,7.3,6.69,5.841,1.49,2.62,1.35,94.24,,950.0,5.0,<4,3.56,170.0,352.0,0.7,5.1,<5,0.006,<0.0010,<5,,,320.0,,1.8,<0.05,<0.02,0.0232,0.0214,0.291,0.29,<0.001,<0.001,70.13,67.63,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,23.49,23.17,0.0663,0.0654,,<0.2,,<0.008,0.009,<0.005,<0.03,<0.004,<0.004,<0.06,0.025,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-24 00:00:00,ww_50,10.1,3.3,7.04,0.133,0.2,0.67,<0.10,49.4,,398.0,7.0,4.0,2.53,142.0,109.0,0.39,6.4,<5,<0.005,<0.0010,,<2.20,7.1,920.0,940.0,19.8,<0.05,<0.02,0.0434,0.0412,0.296,0.28,<0.001,<0.001,48.86,46.0,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,15.67,14.91,0.031,0.0106,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-24 00:00:00,ww_76,9.3,4.6,6.14,10.408,0.6,1.62,3.5,154.2,,894.0,7.0,4.0,4.66,178.0,282.0,0.65,5.8,<5,<0.005,0.0011,<5,<2.80,9.2,1000.0,1100.0,0.8,<0.05,<0.02,0.0231,0.0206,0.235,0.23,<0.001,<0.001,82.7,77.2,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,29.57,28.15,0.0637,na,q,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-01-24 00:00:00,ww_58,10.0,3.2,7.26,9.834,0.65,1.82,3.36,169.79,,938.0,24.0,5.0,16.0,178.0,304.0,0.67,5.7,<5,<0.005,<0.0010,<5,,,900.0,,1.4,<0.05,<0.02,0.028,0.0219,0.234,0.23,<0.001,<0.001,86.64,78.3,<0.01,<0.003,<10,<0.02,<0.005,0.89,<0.2,<0.03,<0.03,31.47,29.09,0.0679,0.0532,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.029,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
