collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,ss,vss,vss,turb,alk,cl,f,toc,phenol,cn,cn,cn_wad,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2011-10-03 00:00:00,ww_22,9.0,14.2,8.09,3.611,0.18,0.84,0.56,60.1,518.0,4.0,,3.0,,12.1,165.0,137.0,0.31,5.4,<5,na,ab,na,ab,,<1.60,2.1,310.0,8.8,<0.05,<0.02,0.0326,0.028,0.128,0.12,<0.001,<0.001,57.47,53.78,<0.01,<0.003,<10,<0.02,<0.005,0.61,<0.2,<0.03,<0.03,24.75,23.43,0.0526,0.0177,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_23,9.2,14.4,8.1,3.21,0.17,0.78,0.54,60.06,484.0,5.0,,3.0,,11.6,162.0,140.0,0.3,5.4,<5,0.005,,<0.0010,,,<1.60,2.2,290.0,9.9,<0.05,<0.02,0.0327,0.0274,0.122,0.11,<0.001,<0.001,56.75,52.88,<0.01,<0.003,<10,<0.02,<0.005,0.58,<0.2,<0.03,<0.03,24.45,23.06,0.0728,0.0278,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_29,8.2,19.1,7.51,3.236,0.17,0.83,0.74,59.92,510.0,5.0,,3.0,,9.63,161.0,136.0,0.29,5.2,<5,<0.005,,<0.0010,,,<1.50,<1.60,70.0,14.3,<0.05,<0.02,0.0309,0.0273,0.115,0.11,<0.001,<0.001,55.93,52.72,<0.01,<0.003,<10,<0.02,<0.005,0.46,<0.2,<0.03,<0.03,23.65,22.86,0.0404,0.0298,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_91,6.7,18.7,8.01,2.863,0.1,0.66,0.64,58.4,500.0,6.0,,3.0,,15.7,159.0,137.0,0.29,5.1,<5,<0.005,,<0.0010,,,<1.90,3.0,200.0,12.7,<0.05,<0.02,0.0313,0.026,0.12,0.11,<0.001,<0.001,56.38,51.69,<0.01,<0.003,<10,<0.02,<0.005,0.67,<0.2,<0.03,<0.03,24.25,22.63,0.0467,0.0121,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_79,8.0,16.9,8.19,0.258,<0.10,1.03,<0.10,54.9,552.0,9.0,,4.0,,15.0,167.0,200.0,0.21,6.0,<5,0.005,,<0.0010,,,2.0,<1.80,60.0,14.4,<0.05,<0.02,0.0368,0.0323,0.087,0.08,<0.001,<0.001,54.96,53.62,<0.01,<0.003,<10,<0.02,<0.005,0.93,<0.2,<0.03,<0.03,21.89,21.45,0.0757,0.0167,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,0.0012,<0.06,<0.02,3.6,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_80,7.6,18.2,7.7,9.41,0.1,1.27,1.83,58.79,486.0,5.0,,4.0,,6.77,129.0,148.0,0.56,5.3,<5,0.005,,0.0029,,,<1.80,3.0,40.0,26.1,<0.05,<0.02,0.0236,0.0201,0.196,0.18,<0.001,<0.001,53.19,49.82,<0.01,<0.003,<10,<0.02,<0.005,0.37,<0.2,<0.03,<0.03,19.93,18.9,0.056,0.0138,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_18,7.5,17.6,7.84,8.317,0.34,1.08,1.64,60.81,480.0,7.0,,4.0,,6.8,130.0,151.0,0.52,5.4,<5,0.006,,0.0023,,,<1.70,2.8,90.0,18.1,<0.05,<0.02,0.0244,0.0206,0.183,0.17,<0.001,<0.001,50.12,49.26,<0.01,<0.003,<10,<0.02,<0.005,0.33,<0.2,<0.03,<0.03,19.1,18.78,0.0523,0.0198,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_90,9.5,13.6,8.15,0.319,0.74,0.8,<0.10,42.76,516.0,4.0,,3.0,,7.97,205.0,144.0,0.2,5.7,<5,0.005,,0.0011,,,<2.00,<1.70,7500.0,6.4,<0.05,<0.02,0.0685,0.0625,0.062,<0.07,<0.001,<0.001,60.17,59.08,<0.01,<0.003,<10,<0.02,<0.005,0.66,<0.2,<0.03,<0.03,25.99,25.43,0.0741,0.0335,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_110,7.1,21.3,7.88,0.657,0.16,1.45,<0.10,77.72,636.0,<4,,2.0,,9.14,245.0,166.0,0.24,13.3,<5,0.006,,0.0011,,,2.7,<2.00,2100.0,5.6,<0.05,<0.02,0.0443,0.0425,0.093,0.09,<0.001,<0.001,79.1,79.46,<0.01,<0.003,<10,<0.02,<0.005,0.66,0.21,<0.03,<0.03,28.39,28.86,0.0324,na,q,<0.2,,<0.008,0.014,<0.005,<0.03,<0.004,0.0019,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_111,8.2,18.3,8.13,9.326,0.1,1.27,1.5,56.25,512.0,7.0,,3.0,,12.2,165.0,121.0,0.47,6.3,<5,0.005,,0.0023,,,<1.60,2.8,180.0,10.4,<0.05,<0.02,0.0307,0.0265,0.145,0.14,<0.001,<0.001,59.89,56.7,<0.01,<0.003,<10,<0.02,<0.005,0.64,<0.2,<0.03,<0.03,23.21,22.29,0.0428,0.0231,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_89,7.8,19.8,7.73,10.996,<0.10,1.58,2.0,55.68,502.0,<4,,3.0,,2.51,165.0,114.0,0.62,6.8,<5,0.007,,0.0039,,,<1.70,4.9,50.0,3.0,<0.05,<0.02,0.0274,0.0259,0.22,0.22,<0.001,<0.001,58.0,57.51,<0.01,<0.003,<10,<0.02,0.0061,0.21,<0.2,<0.03,<0.03,23.13,23.34,0.0181,0.0102,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,0.027,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_92,5.9,17.2,7.39,5.825,0.3,1.06,1.28,65.56,456.0,na,l,na,l,53.1,126.0,108.0,0.51,4.1,<5,<0.005,,0.0015,,<5,,,230.0,3.4,<0.05,<0.02,0.0221,0.0152,0.164,0.15,<0.001,<0.001,48.56,44.83,<0.01,<0.003,<10,<0.02,<0.005,0.61,<0.2,<0.03,<0.03,17.0,15.75,0.0349,0.0322,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,,,,,,,
2011-10-10 00:00:00,ww_31,2.7,16.7,7.34,0.057,<0.10,0.64,0.18,49.01,604.0,7.0,,2.0,,4.59,197.0,199.0,0.26,7.2,<5,<0.005,,0.0011,,,<1.60,2.2,50.0,2.8,<0.05,<0.02,0.0358,0.0336,0.095,0.09,<0.001,<0.001,57.73,56.75,<0.01,<0.003,<10,<0.02,<0.005,0.51,<0.2,<0.03,<0.03,23.96,23.96,0.1342,0.107,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_32,4.5,19.7,7.58,0.333,0.3,0.96,0.25,56.11,648.0,10.0,,3.0,,6.64,219.0,170.0,0.28,6.3,<5,0.007,,0.0011,,,<2.20,2.7,12000.0,5.1,<0.05,<0.02,0.0449,0.0412,0.119,0.12,<0.001,<0.001,71.03,70.06,<0.01,<0.003,<10,<0.02,<0.005,0.82,<0.2,<0.03,<0.03,27.81,27.74,0.1163,0.0752,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0017,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_105,6.6,18.0,7.86,8.407,0.11,0.88,1.34,47.2,534.0,18.0,,4.0,,10.3,148.0,132.0,0.64,4.3,<5,0.006,,0.0013,,,<1.50,3.4,40.0,5.9,<0.05,<0.02,0.025,0.0228,0.147,0.14,<0.001,<0.001,51.37,51.38,<0.01,<0.003,<10,<0.02,<0.005,0.33,<0.2,<0.03,<0.03,21.98,22.18,0.0306,0.0191,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_104,6.9,17.8,7.75,6.347,0.09,0.75,1.05,51.39,502.0,10.0,,2.0,,7.12,158.0,144.0,0.57,5.0,<5,0.005,,0.0012,,,<1.60,3.0,230.0,0.8,<0.05,<0.02,0.0274,0.025,0.148,0.14,<0.001,<0.001,52.49,51.53,<0.01,<0.003,<10,<0.02,<0.005,0.44,<0.2,<0.03,<0.03,22.61,22.4,0.0443,0.0277,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,3.6,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_103,4.6,17.1,7.7,5.222,0.11,1.01,0.58,67.48,716.0,9.0,,4.0,,11.6,199.0,256.0,0.5,4.8,<5,<0.005,,0.0013,,,<2.10,5.9,300.0,13.4,<0.05,<0.02,0.053,0.049,0.173,0.17,<0.001,<0.001,73.81,72.15,<0.01,<0.003,<10,<0.02,<0.005,0.42,<0.2,<0.03,<0.03,29.77,29.43,0.0535,0.0343,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0017,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_34,5.2,17.1,7.5,5.902,0.12,0.99,0.92,56.35,604.0,8.0,,2.0,,9.83,169.0,172.0,0.55,4.6,<5,<0.005,,0.0012,,,<1.60,1.8,200.0,2.5,<0.05,<0.02,0.0348,0.032,0.154,0.15,<0.001,<0.001,58.16,57.46,<0.01,<0.003,<10,<0.02,<0.005,0.47,<0.2,<0.03,<0.03,24.88,24.7,0.2876,0.0601,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_37,7.7,18.5,7.44,5.497,0.61,0.98,0.94,35.13,356.0,10.0,,2.0,,6.0,126.0,77.0,0.49,3.1,<5,0.006,,0.0013,,<5,,,8100.0,0.9,<0.05,<0.02,0.0228,0.0211,0.109,0.1,<0.001,<0.001,45.81,44.1,<0.01,<0.003,<10,<0.02,<0.005,0.24,<0.2,<0.03,<0.03,16.53,15.91,0.0293,0.0206,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_73,6.8,18.6,7.15,5.024,0.43,1.1,0.92,36.44,352.0,9.0,,4.0,,11.2,129.0,79.0,0.5,3.5,<5,0.005,,0.0013,,<5,,,5000.0,2.9,<0.05,<0.02,0.0247,0.0198,0.118,0.1,<0.001,<0.001,50.82,44.93,<0.01,<0.003,<10,<0.02,<0.005,0.43,<0.2,<0.03,<0.03,18.1,16.04,0.047,0.0321,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0012,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_46,6.5,19.7,7.5,5.464,0.39,1.04,0.88,36.94,334.0,20.0,,5.0,,13.2,129.0,85.0,0.51,3.2,<5,<0.005,,0.0014,,<5,,,1200.0,2.2,<0.05,<0.02,0.024,0.0197,0.109,0.1,<0.001,<0.001,47.17,45.42,<0.01,<0.003,<10,<0.02,<0.005,0.47,<0.2,<0.03,<0.03,16.84,16.19,0.0315,0.0237,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_35,9.5,17.9,7.18,0.303,<0.10,<0.50,<0.10,22.19,204.0,6.0,,1.0,,4.03,108.0,13.0,0.13,1.6,<5,<0.005,,0.001,,,<1.10,<1.60,50.0,1.1,<0.05,<0.02,0.0221,0.0209,<0.06,<0.07,<0.001,<0.001,34.85,33.54,<0.01,0.0046,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,11.97,11.52,0.0117,0.0048,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_102,9.2,17.8,7.79,0.3,<0.10,<0.50,<0.10,22.66,240.0,4.0,,1.0,,5.65,108.0,13.0,0.13,1.5,<5,<0.005,,<0.0010,,<5,<1.30,<1.70,40.0,0.6,<0.05,<0.02,0.0224,0.021,<0.06,<0.07,<0.001,<0.001,34.38,33.63,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,11.81,11.54,0.0081,0.0067,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_36,8.2,17.9,7.28,5.433,0.6,0.78,1.11,36.45,310.0,7.0,,3.0,,4.6,128.0,74.0,0.54,3.5,<5,<0.005,,0.0017,,<5,<1.70,4.4,9700.0,0.9,<0.05,<0.02,0.022,0.0201,0.124,0.12,<0.001,<0.001,45.64,43.93,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,16.17,15.65,0.0183,0.0091,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_101,7.9,18.1,7.2,5.369,0.6,0.96,1.05,34.13,352.0,<4,,1.0,,6.15,125.0,69.0,0.49,3.2,<5,0.005,,0.0015,,<5,,,6300.0,0.8,<0.05,<0.02,0.0226,0.02,0.111,0.11,<0.001,<0.001,46.58,43.59,<0.01,0.0057,<10,<0.02,<0.005,0.28,<0.2,<0.03,<0.03,16.28,15.34,0.021,0.0099,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_96,7.6,17.7,7.87,5.58,<0.10,0.64,0.71,57.59,576.0,5.0,,2.0,,4.6,176.0,191.0,0.5,4.6,<5,0.005,,0.0013,,,<2.30,8.8,180.0,1.6,<0.05,<0.02,0.0375,0.0345,0.152,0.15,<0.001,<0.001,61.27,59.63,<0.01,<0.003,<10,<0.02,<0.005,0.26,<0.2,<0.03,<0.03,25.78,25.21,0.0396,na,q,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,0.024,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-10 00:00:00,ww_92,6.1,27.3,7.31,6.728,0.27,1.0,1.08,73.13,558.0,9.0,,3.0,,6.41,145.0,127.0,0.58,4.2,<5,0.005,,0.002,,<5,,,40.0,7.2,<0.05,<0.02,0.0206,0.0175,0.198,0.19,<0.001,<0.001,56.05,54.17,<0.01,<0.003,<10,<0.02,<0.005,0.24,<0.2,<0.03,<0.03,19.95,19.33,0.0297,0.0181,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_74,7.7,14.9,7.1,0.419,0.1,<0.50,0.11,24.9,190.0,<4,,1.0,,2.21,105.0,18.0,0.14,1.7,<5,<0.005,,<0.0010,,,<1.50,<3.10,20.0,1.8,<0.05,<0.02,0.0231,0.0228,<0.06,<0.07,<0.001,<0.001,34.96,35.07,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,11.67,11.72,0.0122,0.0078,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,,,,,,
2011-10-17 00:00:00,ww_100,5.7,15.8,6.77,3.2,0.5,0.91,0.55,33.08,322.0,9.0,,2.0,,6.73,112.0,61.0,0.37,3.7,<5,<0.005,,<0.0010,,,<1.20,1.6,230.0,1.7,<0.05,<0.02,0.0233,0.0214,0.078,0.08,<0.001,<0.001,42.05,41.34,<0.01,<0.003,<10,<0.02,<0.005,0.28,<0.2,<0.03,<0.03,14.45,14.18,0.0693,0.0466,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,6.6,,,,,,
2011-10-17 00:00:00,ww_108,7.1,19.6,7.4,7.427,0.55,1.32,1.02,42.6,376.0,16.0,,3.0,,10.5,124.0,101.0,0.66,3.9,<5,0.005,,0.0011,,<5,,,260.0,1.2,<0.05,<0.02,0.0237,0.0212,0.131,0.14,<0.001,<0.001,49.64,50.38,<0.01,0.0122,<10,<0.02,<0.005,0.42,<0.2,<0.03,<0.03,17.34,17.58,0.0355,0.0289,,<0.2,,<0.008,0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_99,5.6,11.8,7.25,5.673,0.8,1.37,0.77,41.19,394.0,13.0,,5.0,,9.5,134.0,92.0,0.57,3.8,<5,0.005,,<0.0010,,<5,,,50.0,7.6,<0.05,<0.02,0.0241,0.0208,0.127,0.13,<0.001,<0.001,49.96,50.49,<0.01,<0.003,<10,<0.02,<0.005,0.4,<0.2,<0.03,<0.03,17.47,17.41,0.0297,0.0264,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_40,6.4,18.9,7.61,6.996,0.57,1.39,0.91,42.94,414.0,14.0,,4.0,,10.5,131.0,103.0,0.63,3.7,<5,<0.005,,0.0011,,<5,,,90.0,1.7,<0.05,<0.02,0.0247,0.0212,0.134,0.14,<0.001,<0.001,50.77,50.7,<0.01,<0.003,<10,<0.02,<0.005,0.41,<0.2,<0.03,<0.03,17.78,17.57,0.033,0.0236,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_75,5.5,19.8,7.6,3.908,0.44,0.81,0.57,35.93,304.0,21.0,,5.0,,12.8,124.0,68.0,0.41,3.2,<5,<0.005,,<0.0010,,<5,<1.40,2.2,650.0,3.8,<0.05,<0.02,0.0232,0.0178,0.091,0.09,<0.001,<0.001,45.0,44.68,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,15.68,15.42,0.0269,0.0175,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,0.022,,,,,,,
2011-10-17 00:00:00,ww_41,6.7,17.4,7.4,7.444,0.33,0.87,0.58,58.62,422.0,13.0,,4.0,,7.45,120.0,100.0,0.59,4.4,<5,0.005,,<0.0010,,<5,<1.20,2.4,5500.0,1.8,<0.05,<0.02,0.0179,0.0149,0.156,0.16,<0.001,<0.001,48.54,48.38,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,16.4,16.35,0.018,0.014,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0012,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_92,5.0,20.5,7.41,7.157,0.29,1.2,1.1,83.65,510.0,7.0,,2.0,,4.37,139.0,124.0,0.68,4.4,<5,0.005,,0.0015,,<5,<1.60,3.4,280.0,2.5,<0.05,<0.02,0.0186,0.0169,0.233,0.23,<0.001,<0.001,56.92,55.69,<0.01,<0.003,<10,<0.02,<0.005,0.21,<0.2,<0.03,<0.03,19.69,19.4,0.0284,0.0201,,<0.2,,0.0126,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,,,,
