collect,sampling,do,temp,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2011-11-07 00:00:00,ww_79,6.5,10.2,,7.43,0.133,<0.10,1.21,<0.10,56.36,650.0,13.0,4.0,11.5,184.0,233.0,0.25,6.5,<5,<0.005,<0.0010,,<2.30,2.6,20.0,27.3,<0.05,<0.02,0.0378,0.0335,0.091,0.1,<0.001,<0.001,63.17,62.09,<0.01,<0.003,<10,<0.02,<0.005,0.68,<0.2,<0.03,<0.03,25.26,25.01,0.0639,0.0143,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_80,7.9,14.7,,7.78,11.878,<0.10,1.37,2.19,65.91,562.0,<4,0.0,3.07,131.0,162.0,0.74,5.8,<5,<0.005,<0.0010,,<1.80,4.1,4600.0,7.1,<0.05,<0.02,0.0226,0.0211,0.24,0.24,<0.001,<0.001,56.53,55.81,<0.01,<0.003,<10,<0.02,<0.005,0.2,<0.2,<0.03,<0.03,20.75,20.73,0.0292,0.0205,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_18,5.6,14.6,,7.61,12.054,<0.10,1.37,2.31,66.54,588.0,5.0,3.0,3.21,133.0,167.0,0.74,5.5,<5,<0.005,<0.0010,,<1.60,4.9,3900.0,7.4,<0.05,<0.02,0.0222,0.0207,0.245,0.25,<0.001,<0.001,58.51,57.18,<0.01,<0.003,<10,<0.02,<0.005,0.22,<0.2,<0.03,<0.03,21.5,21.22,0.024,0.0241,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_90,7.6,10.0,,8.01,0.214,<0.10,0.68,<0.10,44.16,600.0,<4,0.0,3.99,260.0,192.0,0.21,5.4,<5,<0.005,<0.0010,,<1.70,1.5,40.0,4.5,<0.05,<0.02,0.0691,0.0654,<0.06,<0.07,<0.001,<0.001,76.2,74.99,<0.01,<0.003,<10,<0.02,<0.005,0.42,<0.2,<0.03,<0.03,33.41,33.36,0.0286,0.0206,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0017,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_110,1.3,10.2,,7.58,0.136,0.19,1.67,0.19,45.41,746.0,5.0,3.0,5.67,249.0,249.0,0.29,13.4,<5,<0.005,<0.0010,,<1.80,2.4,4800.0,7.0,<0.05,<0.02,0.0454,0.0418,0.081,0.09,<0.001,<0.001,84.16,81.45,<0.01,<0.003,<10,<0.02,<0.005,0.91,0.54,<0.03,<0.03,30.84,30.28,0.287,0.2707,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0019,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_111,6.9,13.1,,7.93,13.174,0.14,1.5,2.66,59.42,492.0,28.0,4.0,14.6,147.0,130.0,0.79,5.3,<5,<0.005,<0.0010,,<1.60,5.0,560.0,9.2,<0.05,<0.02,0.0296,0.0241,0.199,0.2,<0.001,<0.001,61.29,58.26,<0.01,<0.003,<10,<0.02,<0.005,0.88,<0.2,<0.03,<0.03,23.22,22.18,0.0509,0.033,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,0.027,<2.5,,,,,,
2011-11-07 00:00:00,ww_89,6.2,13.6,,7.74,15.093,<0.10,1.69,3.04,57.09,510.0,15.0,4.0,6.09,137.0,120.0,0.87,6.1,<5,<0.005,<0.0010,,<1.80,6.1,1300.0,3.2,<0.05,<0.02,0.0258,0.0228,0.235,0.25,<0.001,<0.001,57.2,56.35,0.027,0.0108,<10,<0.02,0.0058,0.59,<0.2,<0.03,<0.03,21.52,21.45,0.0665,0.0528,,<0.2,,0.0213,0.022,<0.005,<0.03,<0.004,0.0013,<0.06,0.036,<2.5,,,,,,
2011-11-07 00:00:00,ww_92,6.3,11.4,,7.7,7.496,0.48,1.62,1.42,98.42,600.0,17.0,3.0,10.8,155.0,150.0,0.71,5.0,<5,<0.005,<0.0010,<5,,,90.0,2.4,<0.05,<0.02,0.021,0.0171,0.277,0.29,<0.001,<0.001,62.14,60.67,<0.01,<0.003,<10,<0.02,0.0054,0.39,<0.2,<0.03,<0.03,21.78,21.38,0.065,0.0558,,<0.2,,<0.008,0.01,<0.005,<0.03,<0.004,0.0014,<0.06,0.022,,,,,,,
2011-11-14 00:00:00,ww_106,6.7,10.9,,7.17,6.244,0.29,1.48,1.09,50.59,700.0,30.0,6.0,12.2,200.0,226.0,0.45,5.4,<5,<0.005,<0.0010,,<1.90,5.0,6400.0,15.4,<0.05,<0.02,0.0588,0.0523,0.151,0.16,<0.001,<0.001,69.69,68.05,<0.01,<0.003,<10,<0.02,0.0063,0.86,<0.2,<0.03,<0.03,29.78,29.22,0.0555,0.0341,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_31,8.5,8.9,,7.65,0.206,<0.10,0.98,0.13,46.52,562.0,7.0,3.0,7.27,193.0,162.0,0.21,6.2,<5,<0.005,<0.0010,,3.1,5.4,680.0,11.0,<0.05,<0.02,0.0325,0.0303,0.075,0.08,<0.001,<0.001,58.54,56.5,<0.01,<0.003,<10,<0.02,<0.005,0.41,<0.2,<0.03,<0.03,23.64,23.18,0.0487,0.0366,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_32,8.7,8.6,,7.9,0.299,0.16,<0.50,0.21,48.82,552.0,10.0,3.0,8.89,217.0,131.0,0.21,4.9,<5,<0.005,<0.0010,,<2.10,3.3,5100.0,7.5,<0.05,<0.02,0.0367,0.0337,0.094,0.09,<0.001,<0.001,67.92,65.67,<0.01,<0.003,<10,<0.02,<0.005,0.54,<0.2,<0.03,<0.03,27.21,26.69,0.0905,0.0793,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,0.0015,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_105,7.0,10.8,,7.92,4.418,0.14,<0.50,0.58,49.09,510.0,13.0,4.0,8.8,179.0,118.0,0.4,4.6,<5,<0.005,<0.0010,,<3.30,7.5,80.0,14.6,<0.05,<0.02,0.0281,0.0254,0.11,0.11,<0.001,<0.001,60.35,58.02,<0.01,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,25.18,24.33,0.0295,0.0176,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_104,8.7,9.6,,7.93,3.028,0.12,0.96,0.5,49.55,548.0,13.0,4.0,9.72,189.0,134.0,0.33,5.1,<5,<0.005,<0.0010,,<2.50,5.9,190.0,11.1,<0.05,<0.02,0.0295,0.0271,0.098,0.1,<0.001,<0.001,59.27,58.37,<0.01,<0.003,<10,<0.02,<0.005,0.48,<0.2,<0.03,<0.03,24.79,24.53,0.0454,0.0318,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_103,6.3,12.7,,7.73,2.545,0.28,1.13,0.45,62.72,676.0,16.0,4.0,12.3,221.0,192.0,0.33,4.6,<5,<0.005,<0.0010,,<1.70,2.4,940.0,26.4,<0.05,<0.02,0.0452,0.0419,0.126,0.13,<0.001,<0.001,75.55,73.77,<0.01,<0.003,<10,<0.02,<0.005,0.56,<0.2,<0.03,<0.03,29.61,28.98,0.0494,0.0284,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_34,4.5,8.8,,7.58,2.716,0.11,1.01,0.46,49.83,508.0,12.0,3.0,8.43,196.0,148.0,0.32,5.2,<5,<0.005,<0.0010,,<1.60,2.8,360.0,13.4,<0.05,<0.02,0.0327,0.0301,0.109,0.1,<0.001,<0.001,61.07,61.08,<0.01,<0.003,<10,<0.02,<0.005,0.46,<0.2,<0.03,<0.03,25.11,25.24,0.0444,0.0324,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_37,4.5,10.8,,7.28,6.863,0.66,1.72,1.16,50.69,560.0,6.0,2.0,4.56,183.0,139.0,0.58,4.4,<5,<0.005,<0.0010,<5,,,5300.0,3.8,<0.05,<0.02,0.0288,0.0268,0.173,0.14,<0.001,<0.001,64.55,63.03,<0.01,<0.003,<10,<0.02,<0.005,0.2,<0.2,<0.03,<0.03,24.42,23.92,0.022,0.0195,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,,,,
2011-11-14 00:00:00,ww_73,4.7,13.7,,7.58,5.826,0.63,1.9,1.46,50.16,540.0,8.0,2.0,5.81,182.0,130.0,0.61,4.7,<5,<0.005,0.0011,<5,,,3200.0,7.1,<0.05,<0.02,0.0275,0.0256,0.161,0.16,<0.001,<0.001,63.13,62.26,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,23.49,23.2,0.0327,0.026,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,0.022,,,,,,,
2011-11-14 00:00:00,ww_46,5.0,11.8,,7.37,5.001,0.67,1.29,0.8,51.34,562.0,12.0,4.0,6.6,191.0,137.0,0.31,10.3,<5,<0.005,0.0012,<5,,,2000.0,11.5,<0.05,<0.02,0.029,0.026,0.146,0.14,<0.001,<0.001,64.62,63.2,<0.01,<0.003,<10,<0.02,<0.005,0.35,<0.2,<0.03,<0.03,24.36,23.83,0.0385,0.0339,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,,,,
2011-11-14 00:00:00,ww_35,2.0,9.5,,7.0,0.239,0.27,<0.50,0.33,24.47,270.0,4.0,2.0,1.68,126.0,33.0,0.16,4.9,<5,<0.005,<0.0010,,<1.10,2.2,660.0,4.1,<0.05,<0.02,0.0232,0.0227,<0.06,<0.07,<0.001,<0.001,39.35,39.33,<0.01,<0.003,<10,<0.02,<0.005,0.23,<0.2,<0.03,<0.03,12.22,12.24,0.0548,0.0528,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,<0.001,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_102,6.5,15.2,,7.15,8.456,0.76,1.56,1.83,49.17,524.0,6.0,3.0,3.6,168.0,123.0,0.73,5.2,<5,<0.005,<0.0010,<5,<1.80,4.8,8800.0,3.6,<0.05,<0.02,0.0246,0.0237,0.189,0.19,<0.001,<0.001,61.23,60.56,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,22.33,22.15,0.0134,0.0105,,<0.2,,<0.008,0.013,0.005,<0.03,<0.004,0.0013,<0.06,0.025,<2.5,,,,,,
2011-11-14 00:00:00,ww_36,8.0,11.5,,7.3,8.492,0.59,1.82,2.04,48.86,504.0,7.0,3.0,3.04,166.0,123.0,0.75,4.7,<5,<0.005,0.0011,<5,<2.00,3.5,7800.0,0.9,<0.05,<0.02,0.0242,0.0235,0.198,0.2,<0.001,<0.001,60.33,60.37,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,22.07,22.17,0.017,0.0113,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,0.027,,,,,,,
2011-11-14 00:00:00,ww_101,6.6,15.3,,6.97,9.207,1.07,2.4,1.48,50.31,510.0,6.0,2.0,3.33,173.0,137.0,0.72,6.4,<5,<0.005,<0.0010,<5,,,8100.0,0.6,<0.05,<0.02,0.0251,0.0247,0.165,0.17,<0.001,<0.001,62.81,62.8,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,22.74,22.96,0.0165,0.0137,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0014,<0.06,0.022,,,,,,,
2011-11-14 00:00:00,ww_96,9.0,9.6,,8.0,2.356,<0.10,0.61,0.38,51.97,554.0,8.0,3.0,7.39,205.0,165.0,0.31,5.7,<5,<0.005,<0.0010,,<2.00,2.9,270.0,12.8,<0.05,<0.02,0.0333,0.0314,0.103,0.11,<0.001,<0.001,62.31,62.92,<0.01,<0.003,<10,<0.02,<0.005,0.36,<0.2,<0.03,<0.03,25.6,25.83,0.0458,0.031,,<0.2,,<0.008,<0.008,0.007,<0.03,<0.004,0.0014,<0.06,<0.02,<2.5,,,,,,
2011-11-14 00:00:00,ww_92,6.0,15.8,,7.35,5.717,0.33,1.46,0.74,72.55,258.0,6.0,3.0,3.28,152.0,118.0,0.6,5.5,<5,<0.005,0.0013,<5,,,360.0,0.7,<0.05,<0.02,0.0194,0.0176,0.214,0.21,<0.001,<0.001,54.69,55.28,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,19.73,19.84,0.0333,0.0279,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,0.02,,,,,,,
2011-11-21 00:00:00,ww_74,9.5,7.5,,6.95,1.849,0.24,0.52,0.31,31.89,374.0,<4,0.0,2.78,127.0,56.0,0.29,3.2,<5,<0.005,<0.0010,,<1.60,3.4,<10,0.7,<0.05,<0.02,0.026,0.0237,0.069,<0.07,<0.001,<0.001,44.75,42.3,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,15.73,14.87,0.0203,na,q,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.001,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_100,7.4,9.2,,7.01,7.549,0.49,0.94,0.92,45.83,430.0,8.0,2.0,4.18,153.0,125.0,0.65,5.1,<5,<0.005,0.0011,,<3.00,5.4,540.0,1.6,<0.05,<0.02,0.026,0.0226,0.141,0.14,<0.001,<0.001,60.23,57.03,<0.01,<0.003,<10,<0.02,0.005,0.22,<0.2,<0.03,<0.03,22.14,20.95,0.0816,0.0594,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0012,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_108,8.3,14.3,,7.5,7.024,0.57,1.05,0.99,51.53,524.0,13.0,3.0,8.7,168.0,138.0,0.64,5.1,<5,<0.005,<0.0010,<5,,,320.0,2.3,<0.05,<0.02,0.0281,0.023,0.156,0.15,<0.001,<0.001,63.33,60.29,<0.01,<0.003,<10,<0.02,0.0051,0.36,<0.2,<0.03,<0.03,23.62,22.46,0.0533,0.0409,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,0.022,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_99,6.6,13.5,,7.4,6.355,0.67,1.16,1.13,50.75,556.0,10.0,2.0,7.72,173.0,138.0,0.59,5.0,<5,<0.005,<0.0010,<5,,,360.0,3.6,<0.05,<0.02,0.0275,0.0235,0.155,0.15,<0.001,<0.001,64.58,61.17,<0.01,<0.003,<10,<0.02,<0.005,0.32,<0.2,<0.03,<0.03,23.95,22.63,0.0453,0.0358,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_40,7.6,13.2,,7.5,6.569,0.63,1.45,0.98,51.62,498.0,23.0,5.0,13.9,174.0,139.0,0.62,5.5,<5,<0.005,0.0011,<5,,,200.0,2.8,<0.05,<0.02,0.0288,0.0229,0.154,0.15,<0.001,<0.001,63.39,61.8,<0.01,<0.003,<10,<0.02,<0.005,0.53,<0.2,<0.03,<0.03,23.66,22.89,0.0446,0.0326,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_75,5.4,14.8,,7.48,5.209,0.47,1.23,0.67,51.59,530.0,25.0,5.0,15.2,183.0,137.0,0.53,5.2,6.0,<0.005,<0.0010,<5,<2.80,7.9,99.0,3.0,<0.05,<0.02,0.0303,0.0224,0.136,0.14,<0.001,<0.001,63.74,61.72,<0.01,<0.003,<10,<0.02,<0.005,0.57,<0.2,<0.03,<0.03,24.04,23.0,0.0439,0.0172,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_41,6.8,na,c,7.4,5.482,0.2,1.46,0.29,83.86,596.0,13.0,4.0,7.59,167.0,154.0,0.79,8.4,<5,<0.005,0.001,<5,<1.80,8.1,14000.0,2.2,<0.05,<0.02,0.021,0.0166,0.244,0.24,<0.001,<0.001,66.56,63.23,0.014,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,23.3,21.96,0.0699,0.0316,,<0.2,,0.0125,0.009,0.005,<0.03,<0.004,0.0015,<0.06,0.023,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-11-21 00:00:00,ww_92,6.2,16.1,,7.64,6.34,0.26,1.16,1.09,90.21,560.0,11.0,2.0,7.3,165.0,126.0,0.57,8.4,<5,<0.005,0.001,<5,<2.00,1.9,80.0,1.0,<0.05,<0.02,0.0219,0.0172,0.214,0.21,<0.001,<0.001,65.14,62.21,<0.01,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,23.17,21.9,0.042,0.0307,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
