collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),tds(qual_code),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-02-14 00:00:00,ww_102,8.9,7.0,6.94,6.947,1.32,2.3,1.27,47.21,,818.0,,5.0,2.0,4.86,128.0,374.0,,0.81,4.8,<5,<0.005,0.0014,<5,<2.40,6.9,2700.0,2000.0,3.0,<0.05,<0.02,0.0238,0.0221,0.131,0.15,<0.001,<0.001,53.75,52.54,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,17.2,17.34,0.025,0.0202,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.036,3.1,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_36,9.2,7.1,7.01,5.623,1.19,2.5,0.98,56.62,,2094.0,,10.0,7.0,2.9,113.0,1134.0,,0.63,3.1,<5,0.006,0.0014,<5,<6.20,6.8,8300.0,7000.0,0.1,<0.05,<0.02,0.0381,0.0363,0.12,0.14,<0.001,<0.001,69.8,68.83,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,17.52,17.97,0.0431,0.0392,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.033,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_101,9.0,9.2,7.14,5.066,2.22,3.29,1.12,55.69,,1920.0,,12.0,7.0,4.58,118.0,1058.0,x,0.66,3.5,<5,0.005,0.0014,<5,,,12000.0,11000.0,24.7,<0.05,<0.02,0.0349,0.0328,0.126,0.14,<0.001,<0.001,65.92,64.92,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,16.91,17.25,0.0468,0.0396,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.033,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_92,5.4,9.6,6.79,11.098,0.96,1.71,1.89,129.08,,1306.0,,9.0,2.0,4.94,123.0,566.0,,0.81,4.8,<5,0.005,0.0018,<5,,,50.0,,1.9,<0.05,<0.02,0.0243,0.0209,0.227,0.23,<0.001,<0.001,71.09,68.19,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,22.79,22.76,0.0435,0.0387,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.03,,,,,,,,
2011-02-22 00:00:00,ww_74,9.5,5.1,7.09,6.942,1.26,2.48,1.0,49.99,,1170.0,,2.0,1.0,2.32,140.0,599.0,,0.66,3.7,<5,<0.005,<0.0010,,<3.10,7.0,20.0,,0.6,<0.05,<0.02,0.0299,0.0293,0.12,0.12,<0.001,<0.001,60.5,59.54,<0.01,<0.003,<10,<0.02,0.0057,<0.2,<0.2,<0.03,<0.03,18.39,18.26,0.0976,0.0943,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.037,1.2,as,,,,,,
2011-02-22 00:00:00,ww_100,9.6,4.3,6.6,2.735,0.39,1.59,0.28,40.37,,810.0,,20.0,5.0,20.9,127.0,392.0,,0.28,4.8,<5,0.008,<0.0010,,<2.80,4.8,11000.0,,1.4,<0.05,<0.02,0.0314,0.0279,<0.06,<0.07,<0.001,<0.001,54.31,53.25,<0.01,<0.003,<10,<0.02,<0.005,0.79,<0.2,<0.03,<0.03,17.99,17.58,0.0455,0.0356,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,6.4,as,,,,,,
2011-02-22 00:00:00,ww_39,10.3,3.0,6.2,3.114,0.41,1.24,0.26,43.3,,856.0,,22.0,5.0,23.8,135.0,395.0,,0.29,4.6,<5,0.006,<0.0010,<5,,,7600.0,,2.2,<0.05,<0.02,0.0352,0.0305,<0.06,<0.07,<0.001,<0.001,61.04,58.4,<0.01,<0.003,<10,<0.02,<0.005,0.93,<0.2,<0.03,<0.03,20.72,19.68,0.0491,0.0371,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,,,,,,,,
2011-02-22 00:00:00,ww_108,9.5,6.5,7.34,2.752,0.39,1.29,0.32,36.19,,826.0,,22.0,5.0,22.3,121.0,404.0,,0.28,4.4,<5,0.007,<0.0010,<5,,,8500.0,,1.9,<0.05,<0.02,0.0331,0.028,<0.06,<0.07,<0.001,<0.001,54.93,52.69,<0.01,<0.003,<10,<0.02,<0.005,0.83,<0.2,<0.03,<0.03,18.06,17.23,0.0488,0.0393,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,,,,,,,,
2011-02-22 00:00:00,ww_99,5.3,6.1,7.21,1.612,2.5,4.65,0.53,45.41,d,786.0,,21.0,12.0,22.4,168.0,347.0,,0.46,8.4,12.0,0.008,0.0011,<5,,,220000.0,,5.3,<0.05,<0.02,0.0357,0.0285,0.098,0.09,<0.001,<0.001,59.02,55.2,<0.01,<0.003,<10,<0.02,<0.005,0.6,<0.2,<0.03,<0.03,19.64,18.43,0.0534,0.045,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.022,,,,,,,,
2011-02-22 00:00:00,ww_40,8.9,7.1,6.53,2.979,0.66,1.52,0.35,46.78,,882.0,,18.0,5.0,17.5,129.0,440.0,,0.32,4.6,<5,0.007,<0.0010,<5,,,36000.0,18000.0,2.5,<0.05,<0.02,0.0329,0.0297,0.065,<0.07,<0.001,<0.001,56.21,55.16,<0.01,<0.003,<10,<0.02,<0.005,0.62,<0.2,<0.03,<0.03,18.6,18.07,0.0475,0.0397,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.023,,,,,,,,
2011-02-22 00:00:00,ww_75,8.3,6.9,7.03,4.132,0.77,1.74,0.25,71.81,,1040.0,,10.0,4.0,7.8,180.0,479.0,,0.48,4.6,<5,0.006,0.0011,<5,<3.10,6.6,11000.0,7300.0,1.1,<0.05,<0.02,0.0402,0.0371,0.14,0.13,<0.001,<0.001,79.04,76.3,<0.01,<0.003,<10,<0.02,<0.005,0.33,<0.2,<0.03,<0.03,27.41,26.36,0.0464,na,q,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.028,,,,,,,,
2011-02-22 00:00:00,ww_41,9.0,7.1,6.97,4.139,0.76,1.64,0.26,71.24,,1046.0,,11.0,5.0,9.5,180.0,479.0,,0.48,4.5,<5,0.006,0.0013,<5,<2.40,4.3,12000.0,7000.0,0.9,<0.05,<0.02,0.0423,0.0371,0.145,0.13,<0.001,<0.001,81.13,76.46,<0.01,<0.003,<10,<0.02,<0.005,0.44,<0.2,<0.03,<0.03,28.12,26.38,0.045,0.0364,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,<0.004,<0.06,0.028,,,,,,,,
2011-02-22 00:00:00,ww_92,8.7,7.5,7.14,3.826,0.61,1.51,0.45,67.64,,900.0,,21.0,4.0,18.9,147.0,450.0,,0.37,4.4,<5,0.007,<0.0010,<5,<2.40,3.3,2000.0,1800.0,1.8,<0.05,<0.02,0.0318,0.0277,0.087,0.09,<0.001,<0.001,62.6,60.78,<0.01,<0.003,<10,<0.02,<0.005,0.75,<0.2,<0.03,<0.03,20.87,20.12,0.0509,0.0415,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,<0.004,<0.06,0.02,,,,,,,,
2011-02-22 00:00:00,ww_42,8.8,2.1,7.11,3.646,0.68,1.72,0.29,55.84,,982.0,,11.0,5.0,9.74,156.0,478.0,,0.41,4.4,<5,0.005,<0.0010,<5,,,31000.0,31000.0,1.8,<0.05,<0.02,0.035,0.0326,0.092,0.09,<0.001,<0.001,67.86,66.08,<0.01,<0.003,<10,<0.02,<0.005,0.27,<0.2,<0.03,<0.03,22.5,21.91,0.0569,0.0417,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.02,,,,,,,,
2011-02-22 00:00:00,ww_48,8.4,1.6,7.27,3.226,0.55,1.7,0.4,65.23,,898.0,,33.0,7.0,27.4,140.0,413.0,,0.34,4.8,9.0,0.008,0.001,<5,,,20000.0,16000.0,3.4,<0.05,<0.02,0.0376,0.0287,0.086,0.08,<0.001,<0.001,63.86,60.39,<0.01,<0.003,<10,<0.02,<0.005,1.3,<0.2,<0.03,<0.03,21.82,20.31,0.0661,0.0465,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.027,,,,,,,,
2011-02-28 00:00:00,ww_49,11.9,2.8,6.39,0.441,0.2,0.34,<0.10,24.92,d,322.0,,11.0,4.0,10.2,122.0,99.0,,0.15,3.2,<5,<0.005,0.0015,,<2.00,2.4,<10,,2.2,<0.05,<0.02,0.0263,0.0239,<0.06,<0.07,<0.001,<0.001,41.96,39.2,<0.01,<0.003,<10,<0.02,<0.005,0.43,<0.2,<0.03,<0.03,13.6,12.93,0.0599,0.0309,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,2.1,as,,,,,,
2011-02-28 00:00:00,ww_50,12.2,2.1,7.14,0.171,0.22,0.77,<0.10,39.79,,324.0,,7.0,3.0,4.84,124.0,90.0,,0.33,6.8,<5,<0.005,<0.0010,,<1.20,3.8,9.0,,10.8,<0.05,<0.02,0.0391,0.0357,0.173,0.18,<0.001,<0.001,43.12,41.13,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,12.9,12.4,0.0498,0.0282,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,2.1,as,,,,,,
2011-02-28 00:00:00,ww_86,6.7,1.8,7.18,0.945,1.36,2.4,0.24,115.85,,556.0,,12.0,4.0,8.85,275.0,62.0,,0.67,9.3,8.0,0.005,0.0012,<5,,,190.0,,9.0,<0.05,<0.02,0.0399,0.0341,0.65,0.63,<0.001,<0.001,96.88,93.5,<0.01,<0.003,<10,<0.02,<0.005,0.82,<0.2,<0.03,<0.03,32.99,32.19,0.1818,0.17,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,<0.004,<0.06,<0.02,,,,,,,,
2011-02-28 00:00:00,ww_55,11.7,1.2,7.43,0.585,0.55,1.08,<0.10,71.32,,486.0,,6.0,2.0,5.34,125.0,162.0,,0.26,3.8,<5,<0.005,<0.0010,,<1.50,2.5,<10,,1.9,<0.05,<0.02,0.0336,0.0311,0.113,0.12,<0.001,<0.001,50.52,48.41,<0.01,<0.003,<10,<0.02,<0.005,0.41,<0.2,<0.03,<0.03,17.26,16.67,0.0804,0.0579,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,3.0,as,,,,,,
2011-02-28 00:00:00,ww_56,11.0,3.3,7.33,2.218,0.89,1.37,0.38,83.78,,616.0,,24.0,3.0,26.2,146.0,214.0,,0.34,4.0,<5,<0.005,0.0016,<5,<1.60,2.9,30.0,,0.7,<0.05,<0.02,0.0346,0.0309,0.132,0.13,<0.001,<0.001,61.52,58.89,<0.01,<0.003,<10,<0.02,<0.005,0.73,<0.2,<0.03,<0.03,21.25,20.3,0.0604,0.0448,,<0.2,,<0.008,0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.027,,,,,,,,
2011-02-28 00:00:00,ww_76,8.5,7.0,7.3,7.299,1.19,1.81,0.94,89.59,,936.0,,4.0,2.0,4.15,189.0,366.0,,0.57,4.9,<5,0.005,<0.0010,<5,<2.30,3.2,1300.0,,0.4,<0.05,<0.02,0.0308,0.0292,0.164,0.17,<0.001,<0.001,85.54,83.54,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,28.58,27.8,0.0649,0.0594,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.02,,,,,,,,
2011-02-28 00:00:00,ww_57,10.2,3.3,7.21,1.974,0.37,1.15,0.29,129.19,,1070.0,,152.0,26.0,89.1,142.0,441.0,,0.25,4.5,<5,0.008,<0.0010,,<2.80,3.5,3700.0,2100.0,7.4,<0.05,<0.02,0.0533,0.0348,0.082,0.08,<0.001,<0.001,72.39,65.72,<0.01,<0.003,<10,<0.02,<0.005,4.31,<0.2,<0.03,<0.03,26.99,23.37,0.1544,0.0747,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,25.0,"l,_as",,,,,,
2011-02-28 00:00:00,ww_58,10.4,3.5,7.09,3.182,0.56,1.37,0.44,95.72,,956.0,,95.0,18.0,80.6,147.0,415.0,,0.32,4.4,<5,0.009,<0.0010,<5,,,2400.0,1400.0,4.8,<0.05,<0.02,0.0469,0.0306,0.099,0.1,<0.001,<0.001,71.93,65.46,<0.01,<0.003,<10,<0.02,<0.005,3.27,<0.2,<0.03,<0.03,25.46,22.44,0.1474,0.0921,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,0.081,0.023,,,,,,,,
2011-02-28 00:00:00,ww_54,10.5,4.8,6.5,1.925,0.51,1.5,0.29,114.27,,668.0,,140.0,20.0,126.0,111.0,234.0,,0.2,6.4,<5,0.006,0.0019,,<1.70,2.2,20000.0,7800.0,3.3,<0.05,<0.02,0.0433,0.0257,<0.06,<0.07,<0.001,<0.001,49.5,45.02,<0.01,<0.003,<10,<0.02,<0.005,5.33,<0.2,<0.03,<0.03,18.83,16.12,0.1476,0.0631,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,13.0,"l,_as",,,,,,
2011-02-28 00:00:00,ww_97,10.0,5.0,6.36,1.446,0.41,1.13,0.38,58.6,,640.0,,320.0,51.0,231.0,105.0,280.0,,0.2,5.2,<5,0.008,0.0019,,<1.90,2.9,40000.0,30000.0,6.7,<0.05,<0.02,0.0626,0.024,0.064,<0.07,<0.001,<0.001,51.59,43.32,0.011,<0.003,<10,<0.02,<0.005,9.45,<0.2,<0.03,<0.03,20.59,15.47,0.189,0.0542,,<0.2,,0.0115,<0.008,<0.005,<0.03,<0.004,<0.004,0.076,<0.02,31.0,"l,_at",,,,,,
2011-02-28 00:00:00,ww_52,9.5,3.0,6.56,1.606,0.47,1.39,0.27,47.91,,450.0,,177.0,26.0,134.0,123.0,149.0,,0.22,6.1,<5,<0.005,0.0011,,<2.00,4.9,11000.0,11000.0,5.8,<0.05,<0.02,0.0422,0.0218,<0.06,<0.07,<0.001,<0.001,53.95,45.41,<0.01,<0.003,<10,<0.02,<0.005,6.23,<0.2,<0.03,<0.03,21.46,17.39,0.1552,0.0563,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,17.0,"l,_as",,,,,,
2011-02-28 00:00:00,ww_59,9.1,9.1,6.81,4.978,0.86,1.56,0.62,109.49,,1110.0,,29.0,6.0,21.7,185.0,474.0,,0.45,4.9,<5,0.007,0.0022,<5,,,940.0,1000.0,3.0,<0.05,<0.02,0.0404,0.0346,0.135,0.14,<0.001,<0.001,87.03,83.42,<0.01,<0.003,<10,<0.02,<0.005,0.87,<0.2,<0.03,<0.03,29.47,28.46,0.0929,0.0884,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,0.068,0.027,,,,,,,,
2011-02-28 00:00:00,ww_43,8.7,6.1,6.85,4.308,0.87,1.68,0.98,109.61,,1020.0,,34.0,8.0,30.2,183.0,425.0,,0.41,4.6,<5,0.007,0.0015,<5,,,850.0,400.0,3.8,<0.05,<0.02,0.0379,0.0307,0.122,0.13,<0.001,<0.001,83.97,79.31,<0.01,<0.003,<10,<0.02,<0.005,1.08,<0.2,<0.03,<0.03,29.47,27.9,0.092,0.0755,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.025,,,,,,,,
2011-02-28 00:00:00,ww_92,7.7,7.7,7.35,3.307,1.59,2.38,0.57,94.44,,1100.0,,9.0,2.0,8.92,193.0,489.0,,0.5,4.5,<5,0.006,0.0013,<5,,,470.0,,1.8,<0.05,<0.02,0.0356,0.0338,0.168,0.18,<0.001,<0.001,82.41,79.16,<0.01,<0.003,<10,<0.02,<0.005,0.28,<0.2,<0.03,<0.03,28.08,27.45,0.0632,0.0492,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.023,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_=__sample/aliquot_holding_time_exceeded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l_=__unable_to_confirm_result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as_=__reporting_limit_=_0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
