Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,TURB,ALK,CL   ,CL,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr tot,Cr sol,Cr sol ,Cr6   ,Cr6,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn Sol ,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
2010-06-07 00:00:00,WW_23,6.4,21.0,7.77,3.394,0.14,0.87,0.47,53.27,650.0,25.0,5.0,17.9,AK,172.0,179.0,,0.3,5.1,0.0,0.0,0.0018,-----,<3.14,<6.21,640.0,610.0,9.0,0.0,0.0,0.0401,0.0361,0.142,0.146,0.0,0.0,63.11,60.68,0.1474,AM,0.1399,AM,139.0,AM,0.0,0.0,0.72,0.046,0.0,0.0,26.34,26.2,0.0648,0.0321,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,3.5,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_29,6.7,22.2,7.78,2.69,0.1,0.9,0.43,45.47,540.0,37.0,6.0,28.6,AK,150.0,152.0,,0.26,4.9,0.0,0.0,0.0022,-----,<1.86,<5.64,400.0,400.0,16.6,0.0,0.0,0.0366,0.0298,0.113,0.114,0.0,0.0,53.16,50.22,0.0031,,0.0,,0.0,,0.0,0.0,1.27,0.053,0.0,0.0,21.94,21.322,0.082,0.0304,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,5.2,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_91,7.0,22.3,7.89,2.218,0.0,0.87,0.42,41.31,524.0,39.0,8.0,26.3,AK,134.0,145.0,,0.23,4.4,0.0,0.0,0.0,-----,<3.42,<5.73,340.0,200.0,17.9,0.0,0.0,0.0337,0.0272,0.108,0.109,0.0,0.0,48.06,46.25,0.0,,0.0,,0.0,,0.0,0.0,1.25,0.055,0.0,0.0,19.84,19.354,0.0656,0.0271,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,5.5,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_79,9.7,23.1,7.95,0.0,0.0,1.07,0.11,48.58,894.0,23.0,7.0,17.0,AK,159.0,333.0,,0.18,6.4,0.0,0.0,0.0016,-----,<2.42,<5.94,20.0,-----,25.4,0.0,0.0,0.0344,0.0305,0.085,0.088,0.0,0.0,58.94,56.97,0.0,,0.0,,0.0,,0.0,0.0,0.93,0.052,0.0,0.0,25.64,25.388,0.1253,0.0058,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_80,8.1,22.4,7.63,6.586,0.34,1.14,1.25,60.55,694.0,7.0,0.0,3.8,AK,145.0,204.0,,0.46,5.8,0.0,0.0,0.0029,-----,<2.13,<5.45,40.0,-----,7.2,0.0,0.0,0.0261,0.0254,0.21,0.216,0.0,0.0,57.75,57.76,0.0,,0.0,,0.0,,0.0,0.0,0.23,0.073,0.0,0.0,22.72,23.34,0.0628,0.0487,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_90,8.3,20.5,7.6,0.377,0.36,0.89,0.11,27.1,658.0,22.0,5.0,15.9,AK,203.0,192.0,,0.19,6.1,0.0,0.0,0.0,-----,<3.03,<5.07,70.0,-----,4.9,0.0,0.0,0.0652,0.0582,0.0,0.058,0.0,0.0,60.65,58.29,0.0,,0.0,,0.0,,0.0,0.0,1.37,0.111,0.0,0.0,25.86,25.961,0.0833,0.0411,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_110,6.2,22.6,7.67,0.29,0.54,1.89,0.15,31.53,768.0,7.0,0.0,12.4,AK,193.0,258.0,,0.19,10.1,0.0,0.0,0.0018,-----,<2.15,<5.23,340.0,-----,14.7,0.0,0.0,0.0437,0.0404,0.0,0.072,0.0,0.0,62.75,61.97,0.0,,0.0,,0.0,AN,0.0,0.0,1.37,0.467,0.0,0.0,21.9,22.574,0.0728,0.065,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,
2010-06-07 00:00:00,WW_89,8.4,20.3,7.58,11.639,0.27,1.39,2.22,51.67,600.0,5.0,0.0,4.8,AK,154.0,137.0,,0.64,5.9,0.0,0.0,0.0039,-----,<1.46,<5.08,190.0,-----,1.7,0.0,0.0,0.0289,0.0269,0.215,0.217,0.0,0.0,61.96,59.69,0.0,,0.0,,0.0,,0.0,0.0,0.28,0.067,0.0,0.0,23.42,23.304,0.0243,0.0181,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.028,2.1,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_64,6.9,22.9,7.57,6.162,0.51,1.8,1.14,43.22,560.0,31.0,8.0,18.2,AK,148.0,144.0,,0.39,6.2,0.0,0.0,0.0025,-----,<3.50,<7.36,220.0,-----,11.5,0.0,0.0,0.0368,0.0305,0.128,0.13,0.0,0.0,57.38,54.24,0.0,,0.0,,0.0,,0.0,0.0,1.02,0.061,0.0,0.0,20.96,20.496,0.0815,0.0429,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.1,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_92,5.2,24.2,7.34,3.389,0.69,1.33,0.75,59.88,530.0,8.0,0.0,6.1,AK,138.0,123.0,,0.41,4.5,0.0,0.0,0.0013,0.0,-----,-----,160.0,-----,4.2,0.0,0.0,0.0215,0.019,0.18,0.18,0.0,0.0,52.72,49.53,0.0,,0.0,,0.0,,0.0,0.0,0.28,0.047,0.0,0.0,18.38,18.087,0.111,0.1026,,0.0,-----,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-14 00:00:00,WW_31,5.9,19.4,7.32,0.314,0.18,0.99,0.14,42.98,870.0,17.0,0.0,16.5,AK,188.0,320.0,,0.21,5.8,0.0,0.0,0.0,-----,<2.54,<3.06,1400.0,-----,2.5,0.0,0.0,0.0375,0.0375,0.083,0.097,0.0,0.0,54.05,58.39,0.0,,0.0,,0.0,,0.0,0.0,0.79,0.097,0.0,0.0,26.54,26.186,0.0587,0.0482,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_32,6.8,19.1,7.31,0.452,0.2,0.72,0.12,51.07,868.0,7.0,0.0,8.3,AK,228.0,288.0,,0.25,4.7,0.0,0.0,0.0,-----,<4.63,5.34,320.0,-----,1.7,0.0,0.0,0.0448,0.0454,0.118,0.13,0.0,0.0,72.78,76.77,0.0,,0.0,,0.0,,0.0,0.0,0.43,0.069,0.0,0.0,30.19,32.858,0.065,0.0594,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_105,6.3,19.2,7.34,7.26,0.23,0.89,1.24,50.38,634.0,13.0,0.0,10.7,AK,173.0,177.0,,0.52,4.3,0.0,0.0,0.0,-----,<3.41,8.8,180.0,-----,3.2,0.0,0.0,0.0269,0.0267,0.136,0.154,0.0,0.0,57.42,60.98,0.0,,0.0,,0.0,,0.0,0.0,0.48,0.063,0.0,0.0,27.08,27.794,0.0352,0.0307,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,1.3,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_103,6.6,21.0,7.67,1.866,0.23,1.01,0.33,49.64,772.0,10.0,0.0,6.5,AK,163.0,257.0,,0.27,4.6,0.0,0.0,0.001,-----,<3.74,5.27,1100.0,-----,3.0,0.0,0.0,0.0441,0.0435,0.104,0.118,0.0,0.0,56.33,59.36,0.0,,0.0,,0.0,,0.0,0.0,0.35,0.058,0.0,0.0,22.12,24.276,0.0505,0.0447,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_34,6.5,19.8,7.73,2.615,0.14,0.89,0.49,42.68,620.0,22.0,4.0,15.4,AK,156.0,192.0,,0.33,4.9,0.0,0.0,0.0,-----,<2.52,3.54,51000.0,-----,2.9,0.0,0.0,0.032,0.0307,0.093,0.106,0.0,0.0,49.38,52.53,0.0,,0.0,,0.0,,0.0,0.0,0.71,0.066,0.0,0.0,20.64,22.624,0.0545,0.0399,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,3.8,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_37,5.7,19.7,6.69,6.055,1.32,2.07,1.34,44.94,562.0,11.0,0.0,4.9,AK,151.0,149.0,,0.64,4.5,0.0,0.0,0.0,0.0,-----,-----,9400.0,-----,1.2,0.0,0.0,0.0221,0.0223,0.158,0.179,0.0,0.0,51.05,55.3,0.0,,0.0,,0.0,,0.0,0.0,0.25,0.038,0.0,0.0,20.74,21.12,0.0492,0.0409,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.021,-----,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_73,6.6,19.7,7.08,8.051,0.95,1.8,1.19,46.46,578.0,10.0,0.0,6.8,AK,152.0,150.0,,0.62,4.1,0.0,0.0,0.0,0.0,-----,-----,5700.0,-----,1.9,0.0,0.0,0.0242,0.0227,0.134,0.15,0.0,0.0,55.05,58.07,0.0,,0.0,,0.0,,0.0,0.0,0.37,0.043,0.0,0.0,20.21,21.795,0.0432,0.0338,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.019,-----,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_46,5.3,20.0,6.77,5.566,0.76,1.7,0.93,36.88,476.0,16.0,0.0,10.3,AK,122.0,124.0,,0.5,4.4,0.0,0.0,0.0,0.0,-----,-----,1100.0,-----,1.1,0.0,0.0,0.0198,0.0189,0.104,0.124,0.0,0.0,47.53,46.19,0.0,,0.0,,0.0,,0.0,0.0,0.39,0.045,0.0,0.0,16.83,16.999,0.0369,0.0371,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,-----,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_35,7.0,19.7,8.18,0.246,0.1,0.0,0.0,22.24,192.0,5.0,0.0,4.0,AK,103.0,14.0,AL,0.11,1.6,0.0,0.0,0.0,-----,<2.57,<9.18,50.0,-----,1.0,0.0,0.0,0.0198,0.0194,0.0,0.0,0.0,0.0,32.7,32.82,0.0,,0.0,,0.0,,0.0,0.0,0.13,0.0,0.0,0.0,10.82,11.206,0.008,0.0053,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,
2010-06-14 00:00:00,WW_102,3.7,20.0,7.87,0.208,0.37,0.54,0.11,23.54,192.0,13.0,0.0,12.2,AK,106.0,16.0,AL,0.1,2.0,0.0,0.0,0.0,0.0,<0.91,<2.68,140.0,-----,2.3,0.0,0.0,0.0217,0.02,0.0,0.0,0.0,0.0,33.22,33.25,0.0,,0.0,,0.0,,0.0,0.0,0.35,0.028,0.0,0.0,11.07,11.354,0.0215,0.0151,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_36,5.5,19.8,7.4,5.013,0.28,1.11,0.77,36.57,428.0,7.0,0.0,4.5,AK,121.0,104.0,,0.55,4.5,0.0,0.0,0.0,0.0,<3.62,5.58,6500.0,-----,1.2,0.0,0.0,0.0204,0.0174,0.148,0.147,0.0,0.0,47.95,44.82,0.0031,,0.0,,0.0,,0.0,0.0,0.2,0.036,0.0,0.0,16.49,16.091,0.0267,0.0163,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.021,-----,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_101,5.4,19.8,7.3,6.244,0.95,1.72,1.33,42.79,510.0,6.0,0.0,4.2,AK,137.0,122.0,,0.65,4.4,0.0,0.0,0.0013,0.0,-----,-----,13000.0,-----,1.1,0.0,0.0,0.0188,0.0185,0.162,0.174,0.0,0.0,48.49,50.24,0.0,,0.0,,0.0,,0.0,0.0,0.13,0.038,0.0,0.0,17.1,18.349,0.0214,0.0183,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.022,-----,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_96,6.0,19.5,7.89,3.093,0.12,0.93,0.52,43.72,690.0,7.0,0.0,20.1,AK,165.0,222.0,,0.32,4.9,0.0,0.0,0.0,-----,<3.27,8.43,680.0,-----,2.5,0.0,0.0,0.0379,0.0332,0.114,0.12,0.0,0.0,57.32,57.4,0.0,,0.0,,0.0,,0.0,0.0,0.89,0.051,0.0,0.0,23.64,24.6,0.0615,0.0324,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,7.2,<2,<2,<2,<3,<3,<3
2010-06-14 00:00:00,WW_92,3.2,27.0,7.35,4.913,0.54,1.25,1.21,74.22,590.0,7.0,0.0,4.4,AK,146.0,139.0,,0.52,6.1,0.0,0.0,0.0011,0.0,-----,-----,40.0,-----,2.6,0.0,0.0,0.0204,0.0198,0.201,0.221,0.0,0.0,52.29,55.43,0.0,,0.0,,0.0,,0.0,0.0,0.2,0.025,0.0,0.0,20.36,20.477,0.0289,0.0238,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,-----, ,,,,,
2010-06-17 00:00:00,WW_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0331,0.028,0.117,0.126,0.0,0.0,49.57,48.91,0.0034,,0.0,,0.0,,0.0,0.0,0.99,0.042,0.0,0.0,20.31,20.346,0.0743,NA,Q/K,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-21 00:00:00,WW_74,7.6,22.0,7.65,0.247,0.0,0.0,0.0,22.45,192.0,0.0,0.0,3.1,AK,103.0,15.0,AL,0.13,1.8,0.0,0.0,0.0,-----,<1.05,<2.59,20.0,-----,2.3,0.0,0.0,0.0235,0.0212,0.0,0.0,0.0,0.0,33.97,32.93,0.0,,0.0,,0.0,,0.0,0.0,0.13,0.0,0.0,0.0,11.47,11.166,0.0569,0.0493,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
2010-06-21 00:00:00,WW_100,7.1,23.8,7.79,0.587,0.18,0.0,0.0,23.67,210.0,4.0,0.0,5.8,AK,105.0,23.0,,0.15,2.2,0.0,0.0,0.0,-----,<1.13,<2.53,260.0,-----,1.0,0.0,0.0,0.0229,0.0211,0.0,0.036,0.0,0.0,34.99,33.24,0.0,,0.0,,0.0,,0.0,0.0,0.18,0.0,0.0,0.0,11.9,11.411,0.0108,0.0075,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,,,,,
2010-06-21 00:00:00,WW_39,6.2,23.0,7.55,2.649,0.3,0.88,0.37,29.67,338.0,5.0,0.0,8.9,AK,120.0,80.0,,0.27,3.3,0.0,0.0,0.0,0.0,-----,-----,590.0,-----,2.0,0.0,0.0,0.0243,0.0211,0.07,0.076,0.0,0.0,41.88,40.42,0.0,,0.0,,0.0,,0.0,0.0,0.25,0.029,0.0,0.0,14.64,14.517,0.0179,0.011,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-21 00:00:00,WW_108,5.9,26.9,7.22,3.415,0.84,1.51,0.6,37.61,428.0,4.0,0.0,6.8,AK,128.0,101.0,,0.42,3.7,0.0,0.0,0.0,0.0,-----,-----,2000.0,-----,1.3,0.0,0.0,0.0244,0.0216,0.105,0.11,0.0,0.0,46.95,44.65,0.0108,,0.0,,0.0,,0.0,0.0,0.27,0.034,0.0,0.0,16.45,16.193,0.0272,0.0224,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,-----,,,,,,
2010-06-21 00:00:00,WW_40,4.7,25.5,7.2,3.605,1.05,1.77,0.6,36.65,428.0,10.0,0.0,9.0,AK,134.0,103.0,,0.4,3.6,0.0,0.0,0.0,0.0,-----,-----,2100.0,-----,1.7,0.0,0.0,0.0248,0.0218,0.101,0.113,0.0,0.0,46.8,47.69,0.0,,0.0,,0.0,,0.0,0.0,0.38,0.053,0.0,0.0,16.52,17.379,0.03,0.0242,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-21 00:00:00,WW_75,5.3,30.6,6.93,3.652,0.55,1.12,0.5,39.62,434.0,7.0,0.0,7.3,AK,145.0,101.0,,0.4,3.4,0.0,0.0,0.0,0.0,<3.88,2.95,270.0,-----,4.8,0.0,0.0,0.0266,0.0223,0.109,0.116,0.0,0.0,53.14,49.06,0.0,,0.0,,0.0,,0.0,0.0,0.34,0.032,0.0,0.0,18.8,18.098,0.0325,0.0228,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-21 00:00:00,WW_41,6.2,23.9,7.33,7.284,0.38,1.22,0.75,53.84,498.0,5.0,0.0,4.9,AK,131.0,124.0,,0.5,3.9,0.0,0.0,0.0,0.0,<4.35,6.42,4700.0,-----,1.6,0.0,0.0,0.0187,0.0165,0.14,0.151,0.0,0.0,53.5,51.55,0.0,,0.0,,0.0,,0.0,0.0,0.2,0.051,0.0,0.0,18.66,18.796,0.0227,NA,Q/K,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,-----,,,,,,
2010-06-21 00:00:00,WW_92,3.1,27.9,7.19,3.387,0.58,1.24,0.91,65.23,530.0,6.0,0.0,4.9,AK,137.0,113.0,,0.44,4.5,0.0,0.0,0.0,0.0,<2.85,6.99,540.0,-----,2.4,0.0,0.0,0.0223,0.0199,0.149,0.157,0.0,0.0,53.02,50.19,0.0,,0.0,,0.0,,0.0,0.0,0.24,0.041,0.0,0.0,18.1,18.15,0.0416,NA,Q/K,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,-----,,,,,,
2010-06-21 00:00:00,WW_42,5.4,21.0,7.02,4.569,0.38,1.05,0.49,45.82,440.0,4.0,0.0,3.5,AK,123.0,103.0,,0.44,3.9,0.0,0.0,0.0011,0.0,-----,-----,810.0,-----,2.0,0.0,0.0,0.0171,0.0154,0.13,0.137,0.0,0.0,46.64,47.16,0.0,,0.0,,0.0,,0.0,0.0,0.18,0.029,0.0,0.0,15.69,16.565,0.0193,0.0152,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-21 00:00:00,WW_48,6.2,27.5,7.21,4.135,0.36,1.11,0.77,62.11,508.0,9.0,0.0,10.2,AK,137.0,120.0,,0.42,4.5,0.0,0.005,0.001,0.0,-----,-----,770.0,-----,2.4,0.0,0.0,0.0231,0.0184,0.148,0.154,0.0,0.0,55.09,52.03,0.0032,,0.0,,0.0,,0.0,0.0,0.46,0.041,0.0,0.0,18.73,18.51,0.0356,0.0255,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-----,,,,,,
2010-06-28 00:00:00,WW_49,8.8,20.2,6.61,0.225,0.0,0.0,0.0,23.1,230.0,5.0,0.0,1.8,AK,102.0,20.0,,0.1,1.8,0.0,0.0,0.0,-----,<1.11,2.28,9.0,-----,0.7,0.0,0.0,0.0199,0.0196,0.0,0.034,0.0,0.0,33.41,31.51,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.25,10.627,0.0093,0.0049,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-06-28 00:00:00,WW_50,7.1,26.5,7.68,0.0,0.0,0.0,0.0,41.83,302.0,0.0,0.0,3.0,AK,89.0,80.0,,0.34,4.3,0.0,0.0,0.0,-----,<1.97,4.4,30.0,-----,3.4,0.0,0.0,0.0311,0.031,0.26,0.263,0.0,0.0,29.75,28.63,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.027,0.0,0.0,11.46,11.416,0.079,0.02,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
