collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(qual_code),radiochem(beta),radiochem(qual_code),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2010-04-05 00:00:00,ww_23,8.3,15.1,8.13,4.036,0.0,1.17,0.5,68.26,,800.0,25.0,6.0,18.5,168.0,266.0,0.31,5.0,0.0,0.0,0.0,_____,<4.78,,<5.33,,2600.0,_____,45.4,0.0,0.0,0.0423,0.0277,0.127,0.131,0.0,0.0,71.51,56.86,0.0036,0.0,0.0,0.0,0.0,0.75,0.056,0.0,0.0,29.48,24.165,0.0722,0.0093,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,6.15,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_29,8.3,15.0,7.91,3.472,0.0,1.59,0.65,60.67,,750.0,56.0,15.0,33.0,161.0,255.0,0.28,5.6,0.0,0.0,0.0012,_____,<3.56,,7.55,,2900.0,_____,47.2,0.0,0.0,0.0471,0.0252,0.109,0.108,0.0,0.0,73.74,50.93,0.0035,0.0,0.0,0.0073,0.0,1.68,0.054,0.0,0.0,30.16,21.823,0.0916,0.0095,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,na,y,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_91,10.3,16.4,8.6,4.127,0.0,1.19,0.54,76.87,,832.0,41.0,11.0,17.5,204.0,264.0,0.32,5.4,0.0,0.0,0.0,_____,<4.38,,6.52,,70.0,_____,85.4,0.0,0.0,0.0453,0.0351,0.135,0.153,0.0,0.0,87.65,76.47,0.0045,0.0,0.0,0.0,0.0,1.08,0.026,0.0,0.0,37.41,33.687,0.154,0.0536,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,7.84,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_79,7.0,14.8,7.69,0.409,0.25,1.21,0.13,51.62,,930.0,39.0,8.0,42.5,115.0,394.0,0.13,5.5,0.0,0.006,0.0011,_____,<4.97,,<6.24,,990.0,_____,20.9,0.0,0.0,0.0472,0.0332,0.0,0.05,0.0,0.0,58.3,51.78,0.0048,0.0,0.0,0.0,0.0,2.22,0.068,0.0,0.0,22.17,19.868,0.138,0.0801,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,9.43,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_80,7.9,15.5,8.07,2.883,0.0,0.9,0.48,77.53,,1178.0,13.0,5.0,9.58,177.0,499.0,0.25,4.1,0.0,0.0,0.0,_____,<3.31,,<5.36,,930.0,_____,37.1,0.0,0.0,0.0514,0.0365,0.087,0.094,0.0,0.0,86.13,70.01,0.0,0.0,0.0,0.0,0.0,0.4,0.029,0.0,0.0,32.83,28.179,0.0841,0.0102,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_18,8.2,15.6,8.2,3.121,0.0,1.06,0.54,78.76,,1176.0,21.0,7.0,12.4,174.0,500.0,0.26,4.3,0.0,0.0,0.0,_____,<4.40,,7.42,,930.0,_____,54.5,0.0,0.0,0.063,0.0338,0.0,0.099,0.0,0.0,62.56,63.5,0.0034,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,25.2,25.937,0.1826,0.0114,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_90,7.5,14.9,7.98,0.493,0.12,1.01,0.13,35.78,,792.0,48.0,9.0,31.7,158.0,303.0,0.13,6.7,0.0,0.0,0.001,_____,<4.23,,8.56,,870.0,940.0,19.0,0.0,0.0,0.0508,0.04,0.093,0.041,0.0,0.0,89.61,47.45,0.0,0.0,0.0,0.0,0.0,0.45,0.075,0.0,0.0,33.93,20.204,0.1275,0.0598,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_110,6.1,15.7,7.69,0.486,0.11,1.51,0.12,65.02,,984.0,25.0,9.0,18.2,160.0,395.0,0.16,9.0,0.0,0.0,0.0,_____,_____,,_____,,2200.0,1700.0,39.7,0.0,0.0,0.0509,0.0384,0.0,0.061,0.0,0.0,75.37,61.87,0.0,0.0,0.0,0.0,0.0,1.39,0.117,0.0,0.0,25.65,22.527,0.1168,0.0644,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,,,,,,,
2010-04-05 00:00:00,ww_89,8.8,15.6,7.57,5.97,0.0,1.44,1.12,51.25,,710.0,14.0,6.0,8.22,163.0,229.0,0.34,6.6,0.0,0.0,0.0013,_____,<4.18,,7.19,,1800.0,1700.0,18.0,0.0,0.0,0.0382,0.0307,0.105,0.115,0.0,0.0,71.42,63.34,0.0,0.0,0.0,0.0,0.0,0.51,0.063,0.0,0.0,25.47,24.148,0.0454,0.0273,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,3.24,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_64,7.0,16.3,8.12,3.428,0.15,1.32,0.57,60.67,,932.0,35.0,9.0,23.5,138.0,371.0,0.23,5.4,0.0,0.0,0.001,_____,<2.63,,<5.39,,800.0,990.0,37.0,0.0,0.0,0.0558,0.0367,0.0,0.069,0.0,0.0,77.44,57.03,0.0036,0.0,0.0,0.0,0.0,1.26,0.036,0.0,0.0,26.55,21.026,0.1832,0.073,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,5.49,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_92,6.7,17.6,7.49,6.55,0.55,1.31,1.23,108.26,,860.0,10.0,0.0,4.57,182.0,269.0,0.69,5.2,0.0,0.0,0.0013,0.0,_____,,_____,,140.0,_____,7.4,0.0,0.0,0.0294,0.0193,0.282,0.284,0.0,0.0,86.44,65.22,0.0041,0.0,0.0,0.0,0.0,0.42,0.028,0.0,0.0,30.34,24.964,0.0387,0.0242,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.018,_____,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_106,7.5,11.1,7.52,5.551,0.18,1.29,0.9,56.25,,1220.0,42.0,6.0,20.8,228.0,442.0,0.39,4.5,0.0,0.0,0.0,_____,<2.32,,8.46,,3600.0,2500.0,27.6,0.0,0.0,0.0671,0.0622,0.123,0.139,0.0,0.0,93.4,91.99,0.0032,0.0,0.0,0.009,0.0,1.38,0.05,0.0,0.0,40.2,40.914,0.062,0.0427,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,8.43,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_31,6.7,11.3,8.18,0.0,0.0,0.75,0.0,54.89,,1088.0,7.0,0.0,3.88,216.0,415.0,0.2,5.5,0.0,0.0,0.0,_____,<3.64,,<5.48,,130.0,140.0,16.8,0.0,0.0,0.0402,0.0404,0.0,0.066,0.0,0.0,77.65,76.48,0.0,0.0,0.0,0.0,0.0,0.37,0.066,0.0,0.0,35.12,36.002,0.0726,0.0579,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_32,8.2,11.5,8.05,0.215,0.1,0.72,0.1,67.08,,974.0,12.0,0.0,6.51,258.0,319.0,0.22,4.2,5.0,0.0,0.0,_____,<3.90,,<5.28,,310.0,260.0,13.1,0.0,0.0,0.0466,0.0466,0.086,0.101,0.0,0.0,92.79,94.52,0.0,0.0,0.0,0.0,0.0,0.54,0.044,0.0,0.0,40.66,43.061,0.101,0.0895,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_105,5.5,12.7,7.91,5.599,0.0,0.99,0.48,61.72,,800.0,18.0,4.0,10.2,209.0,236.0,0.35,4.5,0.0,0.0,0.0,_____,<4.25,,6.91,,90.0,30.0,20.6,0.0,0.0,0.0347,0.0337,0.09,0.104,0.0,0.0,76.3,76.67,0.0,0.0,0.0,0.0,0.0,0.39,0.038,0.0,0.0,35.09,35.724,0.047,0.0211,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,2.51,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_104,9.3,13.2,8.12,3.508,0.0,0.82,0.3,65.12,,870.0,12.0,0.0,6.86,219.0,282.0,0.29,4.5,0.0,0.0,0.0,_____,<3.22,,6.29,,180.0,160.0,13.0,0.0,0.0,0.0365,0.0372,0.082,0.096,0.0,0.0,77.94,78.18,0.0,0.0,0.0,0.0,0.0,0.39,0.049,0.0,0.0,35.13,36.285,0.0648,0.0491,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,2.28,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_103,10.3,13.6,7.93,2.128,0.1,0.88,0.26,63.77,,1188.0,19.0,4.0,10.4,244.0,440.0,0.28,4.7,0.0,0.0,0.0,_____,<4.29,,8.11,,200.0,290.0,28.6,0.0,0.0,0.0594,0.0593,0.087,0.105,0.0,0.0,98.82,98.66,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,40.1,40.88,0.0991,0.0962,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,na,y,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_34,9.6,12.2,8.02,2.867,0.0,0.9,0.28,59.4,,922.0,9.0,0.0,6.99,229.0,310.0,0.32,4.5,0.0,0.0,0.0,_____,<2.55,,7.26,,750.0,760.0,14.6,0.0,0.0,0.0419,0.0425,0.079,0.095,0.0,0.0,82.93,83.13,0.0,0.0,0.0,0.0,0.0,0.37,0.037,0.0,0.0,35.86,36.727,0.0721,0.0552,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_37,8.4,13.7,7.35,7.586,0.98,1.94,0.85,55.86,,796.0,6.0,0.0,3.9,196.0,231.0,0.61,4.6,0.0,0.0,0.001,0.0,_____,,_____,,2700.0,_____,4.9,0.0,0.0,0.032,0.0333,0.134,0.151,0.0,0.0,77.91,78.72,0.0,0.0,0.0,0.0,0.0,0.19,0.036,0.0,0.0,30.2,31.001,0.0283,0.0238,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.025,_____,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_73,7.8,13.5,7.46,7.577,0.3,1.17,0.69,61.14,,786.0,8.0,0.0,6.7,201.0,232.0,0.61,6.3,0.0,0.0,0.0011,0.0,_____,,_____,,1300.0,_____,4.8,0.0,0.0,0.0335,0.0329,0.126,0.139,0.0,0.0,81.9,80.76,0.0033,0.0,0.0,0.0,0.0,0.24,0.039,0.0,0.0,31.14,31.396,0.0854,0.079,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.025,_____,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_46,7.3,13.9,7.43,6.111,0.52,1.41,0.52,56.37,,820.0,8.0,0.0,6.09,212.0,241.0,0.56,6.6,0.0,0.0,0.0,0.0,_____,,_____,,460.0,_____,5.1,0.0,0.0,0.034,0.0336,0.123,0.138,0.0,0.0,81.57,80.86,0.0,0.0,0.0,0.0,0.0,0.22,0.036,0.0,0.0,31.36,31.782,0.0343,0.0316,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.022,_____,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_35,6.0,12.1,5.11,0.965,0.71,1.37,0.17,35.19,,388.0,12.0,0.0,12.8,145.0,82.0,0.19,4.8,0.0,0.0,0.0,_____,<3.43,,<5.48,,30.0,_____,7.8,0.0,0.0,0.0263,0.0253,0.0,0.045,0.0,0.0,48.51,48.64,0.0035,0.0,0.0,0.0,0.0,0.4,0.065,0.0,0.0,17.2,17.246,0.0504,0.0424,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,5.75,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_102,4.7,12.6,6.34,0.697,1.09,2.11,0.36,49.42,,530.0,24.0,4.0,22.1,167.0,139.0,0.22,4.3,0.0,0.0,0.0011,0.0,<2.33,,4.48,,210.0,_____,20.2,0.0,0.0,0.0291,0.0267,0.0,0.06,0.0,0.0,60.15,59.5,0.0,0.0,0.0,0.0,0.0,0.67,0.026,0.0,0.0,21.2,21.232,0.1062,0.0898,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_101,7.2,13.1,6.33,8.841,1.34,2.27,1.1,53.15,,704.0,8.0,0.0,3.18,184.0,193.0,0.74,4.7,0.0,0.0,0.0013,0.0,_____,,_____,,3500.0,_____,1.1,0.0,0.0,0.0284,0.029,0.163,0.176,0.0,0.0,73.78,73.92,0.0,0.0,0.0,0.0,0.0,0.11,0.033,0.0,0.0,27.21,27.686,0.0165,0.0119,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.033,_____,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_96,10.8,13.2,7.84,2.297,0.0,0.87,0.22,64.28,,990.0,14.0,6.0,6.03,236.0,335.0,0.28,4.5,0.0,0.0,0.0,_____,<3.54,,<5.37,,270.0,220.0,19.6,0.0,0.0,0.0443,0.0444,0.081,0.098,0.0,0.0,87.01,87.2,0.0,0.0,0.0,0.0,0.0,0.28,0.031,0.0,0.0,37.24,38.194,0.0596,0.0449,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,,<2,<2,<2,<3,<3,<3
2010-04-12 00:00:00,ww_92,5.6,16.1,7.12,4.837,0.42,1.29,0.61,69.44,,628.0,10.0,0.0,7.35,141.0,174.0,0.42,5.1,0.0,0.0,0.0,0.0,_____,,_____,,160.0,_____,2.6,0.0,0.0,0.0218,0.0211,0.127,0.143,0.0,0.0,59.17,58.98,0.0156,0.0078,0.0,0.0,0.0,0.45,0.08,0.0,0.0,21.14,21.261,0.0505,0.0477,,0.0,_____,0.011,0.0106,0.0,0.0,0.0,0.0,0.026,0.024,_____,,,,,,,
2010-04-19 00:00:00,ww_74,9.9,12.4,7.5,0.564,0.0,0.0,0.0,21.22,,222.0,4.0,0.0,1.57,113.0,30.0,0.14,1.9,0.0,0.0,0.0,_____,<1.85,,<5.00,,20.0,<10,3.0,0.0,0.0,0.0215,0.0222,0.0,0.033,0.0,0.0,36.94,35.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04,11.948,0.0084,0.0066,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,,,,,,,
2010-04-19 00:00:00,ww_100,8.8,14.2,7.55,2.554,0.21,0.0,0.21,29.56,,352.0,4.0,0.0,2.09,130.0,76.0,0.28,2.6,0.0,0.0,0.0,_____,<2.16,,<5.03,,<10,<10,4.5,0.0,0.0,0.0225,0.0239,0.0,0.065,0.0,0.0,45.38,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.88,16.126,0.0271,0.026,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,,,,,,,
2010-04-19 00:00:00,ww_39,7.3,13.7,7.33,5.855,0.61,1.55,0.61,43.14,,558.0,8.0,0.0,4.77,157.0,154.0,0.52,3.9,0.0,0.0,0.0,0.0,_____,,_____,,9.0,30.0,17.8,0.0,0.0,0.0256,0.0256,0.117,0.119,0.0,0.0,59.99,59.03,0.0,0.0,0.0,0.0,0.0,0.21,0.038,0.0,0.0,21.99,22.238,0.0331,0.0337,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.019,_____,,,,,,,
2010-04-19 00:00:00,ww_108,7.2,14.7,7.42,6.809,0.7,1.64,0.69,50.4,,652.0,8.0,0.0,4.31,171.0,192.0,0.58,4.6,0.0,0.0,0.0012,0.0,_____,,_____,,9.0,9.0,4.2,0.0,0.0,0.0283,0.0283,0.132,0.14,0.0,0.0,66.73,62.94,0.0,0.0,0.0,0.0,0.0,0.21,0.045,0.0,0.0,24.86,24.171,0.0688,na,k,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.028,_____,,,,,,,
2010-04-19 00:00:00,ww_99,4.5,14.4,7.27,3.295,0.51,1.75,0.39,49.45,,654.0,11.0,6.0,6.01,194.0,201.0,0.49,4.8,0.0,0.0,0.0011,0.0,_____,,_____,,80.0,90.0,28.2,0.0,0.0,0.0322,0.0319,0.124,0.13,0.0,0.0,68.92,67.59,0.0,0.0,0.0,0.0,0.0,0.45,0.073,0.0,0.0,25.27,25.125,0.0427,0.04,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,_____,,,,,,,
2010-04-19 00:00:00,ww_40,7.2,15.2,7.41,6.112,0.62,1.45,0.62,49.11,,644.0,12.0,0.0,5.89,172.0,187.0,0.55,4.2,0.0,0.0,0.0,0.0,_____,,_____,,40.0,_____,4.5,0.0,0.0,0.0292,0.028,0.13,0.132,0.0,0.0,67.26,65.27,0.0,0.0,0.0,0.0,0.0,0.32,0.058,0.0,0.0,24.97,24.911,0.044,0.0362,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.018,_____,,,,,,,
2010-04-19 00:00:00,ww_75,5.8,20.8,7.27,5.492,0.46,1.25,0.47,55.08,,688.0,13.0,4.0,7.76,183.0,199.0,0.53,4.4,0.0,0.0,0.0,0.0,na,y,na,y,140.0,_____,9.2,0.0,0.0,0.0301,0.029,0.14,0.143,0.0,0.0,71.24,66.72,0.0,0.0,0.0,0.0,0.0,0.34,0.034,0.0,0.0,26.66,25.478,0.0548,0.0281,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.02,_____,,,,,,,
2010-04-19 00:00:00,ww_41,7.3,16.9,7.38,10.923,0.32,1.31,0.63,75.98,,730.0,7.0,0.0,3.53,161.0,203.0,0.72,5.3,0.0,0.0,0.0,0.0,<3.17,,<5.68,,410.0,_____,6.1,0.0,0.0,0.0234,0.0239,0.184,0.187,0.0,0.0,70.63,70.34,0.0,0.0,0.0,0.0,0.0,0.15,0.035,0.0,0.0,25.06,25.119,0.1633,0.1612,,0.0,_____,0.0,0.0039,0.0,0.0,0.0,0.0,0.029,0.023,_____,,,,,,,
2010-04-19 00:00:00,ww_92,4.7,16.1,7.42,5.687,0.67,1.79,0.66,105.24,,736.0,7.0,0.0,3.29,188.0,209.0,0.57,5.1,0.0,0.0,0.001,0.0,<3.60,,<5.83,,9.0,_____,2.8,0.0,0.0,0.0259,0.0265,0.228,0.231,0.0,0.0,75.13,72.47,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.0,0.0,27.47,27.123,0.0362,0.032,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.017,_____,,,,,,,
