collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tkn,tot_p,tot_p,so4,tds,tds,ss,vss,turb,turb,alk,cl,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,chlorophyll_a,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_tot,cr_sol,cr6,cr6,cu_tot,cu_sol,fe_tot,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2010-07-06 00:00:00,ww_29,8.6,27.2,8.3,4.822,0.0,1.16,,0.65,,67.52,702.0,,39.0,9.0,17.44,ak,201.0,165.0,,0.39,6.2,0.0,0.0,0.0,_____,<2.00,7.4,60.0,_____,48.8,,0.0,0.0,0.045,0.037,0.181,0.181,0.0,0.0,70.14,67.14,0.0,,0.0,0.0,,0.0,0.0,na,l,0.0,0.0,0.0,30.72,30.06,0.0947,0.0045,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,7.6,,,,,,
2010-07-06 00:00:00,ww_91,10.3,27.6,8.64,3.897,0.0,1.07,,0.51,,65.82,704.0,,19.0,7.0,18.65,ak,205.0,174.0,,0.37,6.1,0.0,0.0,0.0,_____,2.34,7.19,<10,_____,43.5,,0.0,0.0,0.0415,0.0369,0.181,0.177,0.0,0.0,67.76,67.9,0.0,,0.0,0.0,,0.0,0.0,0.4,,0.0,0.0,0.0,30.0,30.252,0.0649,0.0029,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,,,,,
2010-07-06 00:00:00,ww_79,5.9,28.4,7.42,0.042,0.27,1.46,,0.13,,44.89,834.0,,23.0,7.0,19.86,ak,161.0,289.0,,0.19,7.5,0.0,0.0,0.0,_____,<4.87,<4.68,240.0,_____,27.6,,0.0,0.0,0.0455,0.036,0.093,0.09,0.0,0.0,55.55,49.75,0.0,,0.0,0.0,,0.0,0.0,0.99,,0.069,0.0,0.0,25.1,22.808,0.1325,0.0204,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,
2010-07-06 00:00:00,ww_80,7.7,22.4,7.41,14.759,0.23,1.27,,2.9,,67.82,710.0,,11.0,4.0,21.07,ak,125.0,170.0,,0.79,6.1,0.0,0.01,0.003,_____,2.3,10.7,160.0,_____,49.8,,0.0,0.0,0.0197,0.0182,0.227,0.231,0.0,0.0,61.21,57.71,0.0,,0.0,0.0,,0.0,0.0,0.15,,0.056,0.0,0.0,22.46,22.35,0.031,0.0173,,0.0,_____,0.0,0.0042,0.0,0.0,0.0,0.0,0.025,0.02,0.92,,,,,,
2010-07-06 00:00:00,ww_18,8.0,23.6,7.51,13.72,0.11,1.21,,2.86,,67.39,830.0,,5.0,0.0,22.28,ak,130.0,167.0,,0.79,5.6,0.0,0.007,0.0025,_____,<1.75,7.77,410.0,_____,5.7,,0.0,0.0,0.0211,0.0191,0.245,0.237,0.0,0.0,62.93,60.32,0.0,,0.0,0.0,,0.0,0.0,0.19,,0.047,0.0,0.0,23.47,22.689,0.0359,0.0267,,0.0,_____,0.0,0.0052,0.0,0.0,0.0,0.0,0.025,0.02,0.89,,,,,,
2010-07-06 00:00:00,ww_90,8.6,26.4,8.0,0.192,0.0,0.73,,0.13,,37.99,712.0,,8.0,0.0,23.49,ak,247.0,184.0,,0.18,5.7,0.0,0.0,0.0,_____,<2.72,6.01,140.0,80.0,6.3,,0.0,0.0,0.0739,0.0665,0.0,0.061,0.0,0.0,72.56,69.72,0.0,,0.0,0.0,,0.0,0.0,0.45,,0.07,0.0,0.0,33.71,33.098,0.0884,0.0517,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,,,,,,
2010-07-06 00:00:00,ww_110,5.8,24.1,7.57,0.776,1.03,2.44,,0.25,,60.21,960.0,,15.0,4.0,24.7,ak,297.0,251.0,,0.35,13.2,0.0,0.0,0.0015,_____,3.7,<5.18,4200.0,4200.0,1.5,,0.0,0.0,0.0615,0.0565,0.087,0.09,0.0,0.0,94.2,91.92,0.0,,0.0,0.0,,0.0,0.0,0.86,,0.154,0.0,0.0,36.07,36.613,0.2637,0.2461,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,,,,,,
2010-07-06 00:00:00,ww_89,8.6,24.1,7.63,15.026,0.13,1.71,,3.09,,61.4,582.0,,13.0,4.0,25.91,ak,127.0,120.0,,0.8,6.6,0.0,0.007,0.0021,_____,<4.49,6.54,580.0,520.0,3.9,,0.0,0.0,0.0306,0.0244,0.255,0.257,0.0,0.0,59.03,55.41,0.0066,,0.0,0.0,,0.0085,0.0,0.82,,0.033,0.0,0.0,22.3,21.235,0.3769,0.3112,,0.0,_____,0.011,0.0047,0.0,0.0,0.0,0.0,0.071,0.043,1.6,,,,,,
2010-07-06 00:00:00,ww_92,6.7,31.4,7.59,4.772,0.23,1.21,,1.24,,77.25,624.0,x,12.0,4.0,27.12,ak,155.0,131.0,,0.51,4.6,0.0,0.005,0.0,0.0,_____,_____,40.0,_____,32.5,,0.0,0.0,0.0252,0.0213,0.204,0.202,0.0,0.0,59.8,56.85,0.0,,0.0,0.0,,0.0,0.0,0.28,,0.0,0.0,0.0,21.1,20.742,0.0315,0.0098,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,_____,,,,,,
2010-07-12 00:00:00,ww_106,5.0,23.5,7.33,5.287,0.2,1.13,,0.93,,30.26,616.0,,9.0,0.0,28.33,ak,112.0,230.0,,0.4,6.2,0.0,0.0,0.0,_____,<3.84,<6.86,3600.0,2200.0,5.3,,0.0,0.0,0.0441,0.0418,0.114,0.119,0.0,0.0,49.44,43.96,0.0,,0.0,0.0,,0.0,0.0,0.36,,0.059,0.0,0.0,18.42,16.831,0.0341,0.0262,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
2010-07-12 00:00:00,ww_31,3.2,22.8,7.51,0.056,0.0,0.82,,0.16,,25.03,550.0,,10.0,4.0,29.54,ak,151.0,184.0,,0.23,8.2,0.0,0.0,0.0,_____,<4.35,<6.07,20000.0,10000.0,1.0,,0.0,0.0,0.0265,0.0252,0.078,0.077,0.0,0.0,42.02,41.5,0.0,,0.0,0.0,,0.0,0.0,0.52,,0.117,0.0,0.0,18.41,18.596,0.0943,0.0836,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,,,,,
2010-07-12 00:00:00,ww_32,3.5,22.8,7.56,0.126,0.0,0.9,,0.17,,25.31,468.0,,9.0,4.0,30.75,ak,131.0,141.0,,0.21,7.1,0.0,0.0,0.0,_____,<1.61,<4.91,21000.0,13000.0,4.9,,0.0,0.0,0.0289,0.0276,0.08,0.079,0.0,0.0,41.7,40.78,0.0,,0.0,0.0,,0.0,0.0,0.34,,0.068,0.0,0.0,16.49,16.7,0.0601,0.0475,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,,,,,,
2010-07-12 00:00:00,ww_105,4.8,22.5,7.77,7.106,0.0,0.9,,1.3,,42.31,546.0,,16.0,4.0,31.96,ak,139.0,153.0,,0.57,5.0,0.0,0.0,0.0,_____,<1.79,6.73,2000.0,2300.0,8.2,,0.0,0.0,0.0242,0.0221,0.148,0.146,0.0,0.0,51.85,50.49,0.0,,0.0,0.0,,0.0,0.0,0.42,,0.049,0.0,0.0,21.22,21.347,0.0304,0.0127,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,2.2,,,,,,
2010-07-12 00:00:00,ww_103,5.5,25.3,7.58,2.244,0.21,1.24,,0.45,,42.93,574.0,,34.0,8.0,33.17,ak,128.0,203.0,,0.34,5.7,0.0,0.0,0.0,_____,<3.72,7.33,3800.0,3000.0,18.3,,0.0,0.0,0.0425,0.0372,0.117,0.117,0.0,0.0,50.19,46.89,0.0,,0.0,0.0,,0.0,0.0,0.81,,0.038,0.0,0.0,18.84,18.154,0.0755,0.0328,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,,,,
2010-07-12 00:00:00,ww_34,4.7,23.4,7.53,1.906,0.13,0.97,,0.41,,36.27,516.0,,22.0,4.0,34.38,ak,115.0,166.0,,0.3,5.1,0.0,0.0,0.0,_____,<4.34,<5.87,4500.0,4200.0,9.7,,0.0,0.0,0.0307,0.028,0.09,0.092,0.0,0.0,40.13,38.13,0.0,,0.0,0.0,,0.0,0.0,0.63,,0.048,0.0,0.0,14.81,14.607,0.0788,0.0564,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,,,,,,
2010-07-12 00:00:00,ww_37,6.5,23.2,7.68,4.01,0.62,1.26,,0.77,,29.82,360.0,,28.0,5.0,35.59,ak,93.0,92.0,,0.43,4.5,0.0,0.0,0.0,0.0,_____,_____,10000.0,_____,1.7,,0.0,0.0,0.0216,0.0175,0.107,0.108,0.0,0.0,35.3,33.55,0.0,,0.0,0.0,,0.0,0.0,0.94,,0.037,0.0,0.0,12.84,12.277,0.0472,0.019,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,_____,,,,,,
2010-07-12 00:00:00,ww_73,3.9,23.0,7.22,5.485,3.21,3.85,,1.53,,42.56,494.0,,15.0,0.0,36.8,ak,136.0,132.0,,0.68,5.0,0.0,0.0,0.0,0.0,_____,_____,23000.0,_____,0.7,,0.0,0.0,0.0235,0.0214,0.156,0.155,0.0,0.0,50.62,47.0,0.0,,0.0,0.0,,0.0,0.0,0.46,,0.044,0.0,0.0,18.49,17.665,0.0314,0.023,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.019,_____,,,,,,
2010-07-12 00:00:00,ww_46,4.8,25.2,7.51,6.641,0.84,1.65,,0.99,,41.86,440.0,,8.0,0.0,38.01,ak,127.0,106.0,,0.6,4.0,0.0,0.0,0.0,0.0,_____,_____,880.0,_____,2.0,,0.0,0.0,0.0224,0.0203,0.131,0.131,0.0,0.0,49.6,48.25,0.0,,0.0,0.0,,0.0,0.0,0.31,,0.035,0.0,0.0,17.42,17.353,0.028,0.0227,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,_____,,,,,,
2010-07-12 00:00:00,ww_35,9.3,20.3,7.85,0.271,0.0,0.0,,0.14,,21.73,192.0,,10.0,0.0,39.22,ak,97.0,13.0,al,0.1,2.4,0.0,0.0,0.0,_____,<2.69,<5.04,2700.0,_____,2.2,,0.0,0.0,0.0193,0.0184,0.0,0.0,0.0,0.0,31.25,30.26,0.0,,0.0,0.0,,0.0,0.0,0.2,,0.0,0.0,0.0,10.45,10.212,0.0127,0.0042,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,,,,,
2010-07-12 00:00:00,ww_102,6.7,24.1,7.73,0.346,0.17,0.0,,0.0,,22.39,166.0,,12.0,0.0,40.43,ak,95.0,15.0,,0.12,2.7,0.0,0.0,0.0,0.0,2.35,<5.14,3600.0,_____,1.4,,0.0,0.0,0.0203,0.0183,0.0,0.0,0.0,0.0,30.88,29.56,0.0,,0.0,0.0,,0.0,0.0,0.36,,0.0,0.0,0.0,10.18,9.86,0.0194,0.0089,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,,,,,
2010-07-12 00:00:00,ww_36,5.2,24.3,7.23,4.509,0.13,0.71,,0.65,,30.13,296.0,,5.0,0.0,41.64,ak,88.0,61.0,,0.42,6.4,0.0,0.0,0.0,0.0,<2.11,8.59,4500.0,_____,1.4,,0.0,0.0,0.0146,0.0133,0.097,0.095,0.0,0.0,33.21,31.95,0.0,,0.0,0.0,,0.0,0.0,0.14,,0.028,0.0,0.0,10.63,10.449,0.0196,0.0142,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,_____,,,,,,
2010-07-12 00:00:00,ww_101,5.5,23.3,7.09,4.736,0.57,1.1,,0.79,,29.46,274.0,,10.0,0.0,42.85,ak,87.0,66.0,,0.48,8.8,0.0,0.0,0.0,0.0,_____,_____,7800.0,_____,1.3,,0.0,0.0,0.0151,0.0139,0.11,0.107,0.0,0.0,34.17,33.4,0.0,,0.0,0.0,,0.0,0.0,0.2,,0.034,0.0,0.0,11.33,11.136,0.0176,0.0143,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,_____,,,,,,
2010-07-12 00:00:00,ww_96,4.3,25.6,7.53,2.047,0.0,1.16,,0.63,,32.25,418.0,,67.0,10.0,44.06,ak,101.0,132.0,,0.28,9.6,0.0,0.0,0.0,_____,<2.61,<5.10,20000.0,25000.0,4.3,,0.0,0.0,0.0315,0.0232,0.092,0.093,0.0,0.0,37.26,34.19,0.0,,0.0,0.0,,0.0073,0.0,2.33,,0.052,0.0,0.0,15.28,14.3,0.109,0.0269,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,15.0,,,,,,
2010-07-12 00:00:00,ww_92,3.2,29.3,7.21,4.988,0.4,1.09,,1.06,,69.82,552.0,,44.0,7.0,45.27,ak,135.0,117.0,,0.54,5.0,0.0,0.0,0.0,0.0,_____,_____,90.0,_____,9.8,,0.0,0.0,0.0271,0.019,0.198,0.196,0.0,0.0,54.01,52.15,0.0044,,0.0,0.0,d,0.0,0.0,0.89,,0.025,0.0,0.0,18.99,18.675,0.0633,0.0276,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,_____,,,,,,
2010-07-19 00:00:00,ww_74,8.8,22.6,8.06,0.219,0.0,0.0,,0.0,,24.94,158.0,,0.0,0.0,46.48,ak,104.0,15.0,,0.16,2.1,0.0,0.0,0.0,_____,<2.28,<4.91,140.0,50.0,1.2,z,0.0,0.0,0.0221,0.0215,0.0,0.039,0.0,0.0,32.12,32.63,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,10.78,11.15,0.0058,0.0015,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_100,7.2,24.9,8.03,0.906,0.12,0.0,x,0.0,x,24.58,172.0,,0.0,0.0,47.69,ak,108.0,25.0,,0.18,2.2,0.0,0.0,0.0,_____,<2.01,<3.92,40.0,20.0,1.6,z,0.0,0.0,0.0213,0.0197,0.0,0.04,0.0,0.0,33.79,34.13,0.0,,0.0,0.0,,0.0095,0.0,0.0,,0.0,0.0,0.0,11.58,12.071,0.0095,0.0066,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_39,6.5,23.6,7.52,4.494,0.64,1.28,,0.62,,37.84,358.0,,9.0,4.0,48.9,ak,126.0,82.0,,0.49,3.4,0.0,0.0,0.0,0.0,_____,_____,330.0,300.0,2.9,z,0.0,0.0,0.0247,0.0197,0.106,0.102,0.0,0.0,43.88,43.81,0.0,,0.0,0.0,,0.0,0.0,0.29,,0.025,0.0,0.0,15.22,15.464,0.047,0.033,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_40,5.9,26.2,7.58,4.557,0.51,1.3,,0.53,,38.24,360.0,,9.0,5.0,50.11,ak,125.0,87.0,,0.48,3.3,0.0,0.0,0.0,0.0,_____,_____,570.0,_____,27.9,z,0.0,0.0,0.0249,0.0199,0.109,0.103,0.0,0.0,45.83,44.66,0.0,,0.0,0.0,,0.0,0.0,0.22,,0.032,0.0,0.0,15.79,15.863,0.0199,0.0108,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_75,5.3,31.2,7.4,3.723,0.36,0.87,,0.5,,38.45,334.0,,8.0,0.0,51.32,ak/d,123.0,81.0,,0.41,3.3,0.0,0.0,0.0,0.0,<3.47,<4.38,230.0,_____,10.9,z,0.0,0.0,0.0229,0.0189,0.095,0.096,0.0,0.0,42.31,43.56,0.0,,0.0,0.0,,0.0,0.0,0.24,,0.0,0.0,0.0,14.59,15.514,0.0426,0.0252,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_41,5.8,29.3,7.34,5.182,0.38,1.21,,0.77,,47.99,364.0,,5.0,0.0,52.53,ak/d,123.0,92.0,,0.5,4.0,0.0,0.006,0.0,0.0,<2.04,5.38,2100.0,_____,8.0,z,0.0,0.0,0.0194,0.0172,0.116,0.116,0.0,0.0,45.63,45.09,0.0,,0.0,0.0,,0.0,0.0,0.19,,0.0,0.0,0.0,15.51,15.918,0.0336,na,q/k,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_92,5.2,26.5,7.36,4.866,0.31,1.18,,1.01,,69.69,448.0,,5.0,0.0,53.74,ak,130.0,112.0,,0.54,4.3,0.0,0.0,0.0,0.0,<4.38,6.16,30.0,_____,9.3,z,0.0,0.0,0.0207,0.0177,0.156,0.149,0.0,0.0,51.58,49.2,0.0,,0.0,0.0,,0.0,0.0,0.15,,0.0,0.0,0.0,17.69,17.572,0.0258,0.0116,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_42,6.0,26.8,6.99,6.126,0.28,1.68,,0.76,,60.64,426.0,,8.0,5.0,54.95,ak,132.0,115.0,,0.63,4.4,0.0,0.0,0.0,0.0,_____,_____,400.0,_____,23.3,z,0.0,0.0,0.0168,0.015,0.167,0.17,0.0,0.0,48.74,50.93,0.0,,0.0,0.0,,0.0,0.0,0.17,,0.054,0.0,0.0,16.41,17.624,0.0159,0.0143,,0.0,_____,0.0,0.0037,0.0,0.0,0.0,0.0,0.023,0.015,_____,<2,<2,<2,<3,<3,<3
2010-07-19 00:00:00,ww_48,6.1,29.1,7.11,5.057,0.33,1.44,,1.32,,70.43,494.0,,8.0,4.0,56.16,ak,137.0,141.0,,0.59,4.3,0.0,0.006,0.0,0.0,_____,_____,80.0,_____,16.1,z,0.0,0.0,0.0201,0.0168,0.173,0.167,0.0,0.0,52.81,52.28,0.0,,0.0,0.0,,0.0,0.0,0.26,,0.0,0.0,0.0,18.27,18.467,0.4316,0.0376,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-26 00:00:00,ww_49,9.1,23.6,7.67,0.324,0.13,0.0,,0.0,,25.43,278.0,,7.0,0.0,57.37,ak,102.0,53.0,,0.13,2.0,0.0,0.0,0.0028,_____,1.25,6.23,130.0,60.0,0.6,,0.0,0.0,0.0229,0.0205,0.0,0.04,0.0,0.0,33.65,32.74,0.0038,,0.0028,0.0,,0.0,0.0,0.15,,0.0,0.0,0.0,11.23,11.228,0.0193,0.0101,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,<2,<2,<2,<3,<3,<3
2010-07-26 00:00:00,ww_50,7.2,28.7,8.54,0.0,0.1,0.56,,0.0,,37.48,296.0,,8.0,5.0,58.58,ak,77.0,78.0,,0.35,4.7,0.0,0.0,0.0,_____,<1.83,7.78,70.0,60.0,6.0,,0.0,0.0,0.0293,0.0263,0.257,0.252,0.0,0.0,23.86,23.44,na,l,0.0,0.0,,0.0,0.0,0.65,,0.026,0.0,0.0,10.78,10.905,0.1168,0.0076,,0.0,_____,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,<2,<2,<2,<3,<3,<3
2010-07-26 00:00:00,ww_86,0.0,24.6,7.23,0.052,1.87,3.29,,0.89,,104.06,608.0,,14.0,8.0,59.79,ak,245.0,66.0,,0.57,12.6,0.0,0.005,0.0,0.0,_____,_____,360000.0,190000.0,4.8,,0.0,0.0,0.0584,0.0391,0.521,0.479,0.0,0.0,92.23,87.91,0.003,,0.0,0.0,,0.0077,0.0,2.4,,0.073,0.0,0.0,26.34,25.843,0.391,0.3491,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,_____,<2,<2,<2,<3,<3,<3
2010-07-26 00:00:00,ww_55,8.2,26.0,8.27,0.246,0.0,0.0,,0.0,,32.42,288.0,,6.0,0.0,61.0,ak,99.0,47.0,,0.16,2.8,0.0,0.0,0.0,_____,<2.79,<5.26,170.0,40.0,5.6,,0.0,0.0,0.0218,0.0207,0.0,0.063,0.0,0.0,32.3,32.67,0.0,,0.0,0.0,,0.0,0.0,0.11,,0.0,0.0,0.0,12.04,12.517,0.0203,0.006,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,<2,<2,<2,<3,<3,<3
