Location,TARP Connection,Owner,NPDES Permit #,Outfall #,Size,Waterway,Monitored or Unmonitored,PIPE_DESC,PIPE_INACT,PIPE_INA_1,COUNTY_NAM,NAME_1,LAT_DEC,LON_CONV
Paulina St (N),DS-M25,Chicago,IL0045012,168,9',SBCR,M,PAULINA STREET NORTH,A,,COOK,CHICAGO CSOS,41.845,-87.668611
Iron St (50' Wof NW RAPS) (S)  corner of,DS-M26,Chicago,IL0045012,198,12' x 12',SFSBCR,M,IRON STREET,A,,COOK,CHICAGO CSOS,41.820833,-87.665278
35th St. (W),DS-M30,Chicago,IL0045012,194,6.5',SFSBCR,M,35TH STREET WEST,A,,COOK,CHICAGO CSOS,41.830278,-87.657778
31st St (E),DS-M31,Chicago,IL0045012,193,5',SFSBCR,U,31ST STREET EAST,A,,COOK,CHICAGO CSOS,41.837778,-87.663333
Archer Ave (E),DS-M31,Chicago,IL0045012,192,3',SFSBCR,U,ARCHER AVENUE EAST,A,,COOK,CHICAGO CSOS,41.838889,-87.663889
Archer Ave (W),DS-M32,Chicago,IL0045012,191,3',SFSBCR,U,ARCHER AVENUE WEST,A,,COOK,CHICAGO CSOS,41.838333,-87.664444
Ashland Ave (W),DS-M33,Chicago,IL0045012,190,4',SFSBCR,U,ASHLAND AVENUE WEST,A,,COOK,CHICAGO CSOS,41.841389,-87.665833
Ashland Ave (N),DS-M34,Chicago,IL0045012,167,5.5',SBCR,U,ASHLAND AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.845278,-87.665833
Laflin St (N),DS-M35,Chicago,IL0045012,166,2 Barrel (15' x 12'),SBCR,M,LAFLIN STREET NORTH,A,,COOK,CHICAGO CSOS,41.845,-87.663333
Loomis St (S),DS-M36,Chicago,IL0045012,165,3',SBCR,U,LOOMIS STREET SOUTH,A,,COOK,CHICAGO CSOS,41.845278,-87.660833
Halsted St (N),DS-M37,Chicago,IL0045012,157,4',SBCR,U,HALSTED STREET NORTH,A,,COOK,CHICAGO CSOS,41.849444,-87.646389
Union Ave (N),DS-M38,Chicago,IL0045012,156,11.42' x 9.17',SBCR,M,UNION AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.849722,-87.644167
Wallace St (S),DS-M39,Chicago,IL0045012,155,6',SBCR,U,WALLACE STREET SOUTH,A,,COOK,CHICAGO CSOS,41.849722,-87.641944
Normal Ave (S),DS-M40,Chicago,IL0045012,154,16' x 12.83',SBCR,M,NORMAL AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.851111,-87.640833
Canal St & Grove St (S),DS-M41,Chicago,IL0045012,151,8',SBCR,M,CANAL STREET SOUTH,A,,COOK,CHICAGO CSOS,41.854167,-87.638611
18th St (W),DS-M42,Chicago,IL0045012,147,4',SBCR,U,18TH STREET WEST,A,,COOK,CHICAGO CSOS,41.8575,-87.635833
16th St (W),DS-M43,Chicago,IL0045012,145,4',SBCR,U,16TH STREET WEST,A,,COOK,CHICAGO CSOS,41.86,-87.634444
15th St (E),DS-M44,Chicago,IL0045012,144,3',SBCR,U,15TH STREET EAST,A,,COOK,CHICAGO CSOS,41.861667,-87.631111
14th St (E),DS-M45,Chicago,IL0045012,143,8' x 6.75',SBCR,M,14TH STREET EAST,A,,COOK,CHICAGO CSOS,41.863611,-87.631111
14th St (W),DS-M46,Chicago,IL0045012,141,4',SBCR,U,14TH STREET WEST,A,,COOK,CHICAGO CSOS,41.863611,-87.632222
Maxwell St (Maxwell & Lumber) (W),DS-M47,Chicago,IL0045012,140,5',SBCR,M,MAXWELL STREET WEST,A,,COOK,CHICAGO CSOS,41.864722,-87.6325
Roosevelt Rd (E),DS-M48,Chicago,IL0045012,139,3',SBCR,U,ROOSEVELT ROAD EAST,A,,COOK,CHICAGO CSOS,41.867222,-87.633333
Roosevelt Rd (Roosevelt & Lumber) (W),DS-M49,Chicago,IL0045012,138,4.33' x 5.5',SBCR,M,ROOSEVELT ROAD WEST,A,,COOK,CHICAGO CSOS,41.867222,-87.634722
Taylor St (E),DS-M50,Chicago,IL0045012,137,8',SBCR,U,TAYLOR STREET EAST,A,,COOK,CHICAGO CSOS,41.869722,-87.634167
Harrison St (W),DS-M51,Chicago,IL0045012,132,5',SBCR,M,HARRISON STREET WEST,A,,COOK,CHICAGO CSOS,41.874444,-87.636389
Quincy St & Lower Wacker Dr (E),DS-M52,Chicago,IL0045012,129,9' x 7.17',SBCR,M,QUINCY STREET EAST,A,,COOK,CHICAGO CSOS,41.878611,-87.6375
Franklin St (S),DS-M54,Chicago,IL0045012,121,3',CR,M,FRANKLIN STREET SOUTH,A,,COOK,CHICAGO CSOS,41.886944,-87.635556
Michigan Ave (S),DS-M55,Chicago,IL0045012,107,7',CR,M,MICHIGAN AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.889167,-87.624444
Lake Shore Dr (N),DS-M59,Chicago,IL0045012,104,3',CR,U,LAKE SHORE DRIVE NORTH,A,,COOK,CHICAGO CSOS,41.888889,-87.614167
Fairbanks Ct. (St. Clair) (N),DS-M60,Chicago,IL0045012,105,5.5',CR,U,FAIRBANKS CT. NORTH,A,,COOK,CHICAGO CSOS,41.888889,-87.620556
Fulton St & Canal St (W),DS-M61A,Chicago,IL0045012,103,2 ( 7' x 9.5'),NBCR,M,FULTON STREET WEST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
Halsted St (N),DS-M63,Chicago,IL0045012,95,2',NBCR,U,HALSTED STREET NORTH,A,,COOK,CHICAGO CSOS,41.657778,-87.641389
Cortez St (W),DS-M64,Chicago,IL0045012,93,3.5',NBCR,U,CORTEZ STREET EAST,A,,COOK,CHICAGO CSOS,41.900556,-87.655833
Cortez St & Elston (1030 N. Elston) (W),DS-M64,Chicago,IL0045012,92,11' x 9',NBCR,M,CORTEZ STREET WEST,A,,COOK,CHICAGO CSOS,41.901111,-87.656667
Division St (E),DS-M65,Chicago,IL0045012,88,3',NBCR,U,DIVISION STREET EAST,A,,COOK,CHICAGO CSOS,41.903611,-87.6575
Division St (W),DS-M65,Chicago,IL0045012,89,1.25',NBCR,U,DIVISION STREET WEST,A,,COOK,CHICAGO CSOS,41.903611,-87.650556
Blackhawk St (W),DS-M66,Chicago,IL0045012,84,16.5' x 11',NBCR,M,BLACKHAWK STREET WEST,A,,COOK,CHICAGO CSOS,41.907222,-87.658889
Halsted St (E),DS-M67R,Chicago,IL0045012,90,3',NBCR,U,HALSTED STREET EAST,A,,COOK,CHICAGO CSOS,41.902778,-87.648333
Hobbie St (E),DS-M67R,Chicago,IL0045012,230,13' x 9.25',NBCR,U,HOBBIE STREET EAST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
Blackhawk St (E),DS-M69,Chicago,IL0045012,85,3.5',NBCR,U,BLACKHAWK STREET EAST,A,,COOK,CHICAGO CSOS,41.908056,-87.653056
North Ave (E),DS-M70,Chicago,IL0045012,83,4.5',NBCR,M,NORTH AVENUE EAST,A,,COOK,CHICAGO CSOS,41.910833,-87.656667
Clifton Ave (E),DS-M72,Chicago,IL0045012,81,2.5',NBCR,U,CLIFTON AVENUE EAST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
McLean Ave (W),DS-M73,Chicago,IL0045012,77,9',NBCR,M,MCLEAN AVENUE WEST,A,,COOK,CHICAGO CSOS,41.918333,-87.663611
Fullerton Ave (E),DS-M75,Chicago,IL0045012,-74 Storm,12',NBCR,M,FULLERTON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.925556,-87.673611
Fullerton Ave (W),DS-M76,Chicago,IL0045012,73,6',NBCR,M,FULLERTON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.925556,-87.674444
Damen Ave West Bank (S),DS-M77,Chicago,IL0045012,72,1',NBCR,U,DAMEN AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.840278,-87.675833
Diversey Ave (E),DS-M78,Chicago,IL0045012,69,5.5',NBCR,U,DIVERSEY AVENUE EAST,A,,COOK,CHICAGO CSOS,41.932778,-87.681111
Diversey Ave (W),DS-M79,Chicago,IL0045012,68,7.5',NBCR,M,DIVERSEY AVENUE WEST,A,,COOK,CHICAGO CSOS,41.932778,-87.682222
Logan Blvd (W),DS-M79,Chicago,IL0045012,70,2 (14' x 8'),NBCR,M,LOGAN BOULEVARD WEST,A,,COOK,CHICAGO CSOS,41.932222,-87.681667
"Leavitt St East Bank (N), Southwest of DS-M80",DS-M80,Chicago,IL0045012,67,12' x 12',NBCR,M,LEAVITT STREET EAST,A,,COOK,CHICAGO CSOS,41.933889,-87.681944
Oakley Ave East Bank (E),DS-M80,Chicago,IL0045012,66,2',NBCR,U,OAKLEY AVENUE EAST,A,,COOK,CHICAGO CSOS,41.933889,-87.685278
Belmont Ave (W),DS-M82,Chicago,IL0045012,64,7',NBCR,M,BELMONT AVENUE WEST,A,,COOK,CHICAGO CSOS,41.939444,-87.692778
Melrose St & North Rockwell St (W),DS-M83,Chicago,IL0045012,238,4.5',NBCR,M,,,,,,,
Roscoe St (W),DS-M84,Chicago,IL0045012,63,4 (8' x 8'),NBCR,M,ROSCOE STREET WEST,A,,COOK,CHICAGO CSOS,41.942778,-87.695556
Addison St (Inside ComEd's property) (E),DS-M85,Chicago,IL0045012,61,12' x 9.58',NBCR,M,ADDISON STREET EAST,A,,COOK,CHICAGO CSOS,41.947222,-87.695556
"Grace St (W), North of DS-M86",DS-M86,Chicago,IL0045012,231,12' x 12',NBCR,M,GRACE STREET WEST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
Irving Park Rd (E),DS-M87,Chicago,IL0045012,58,6',NBCR,U,IRVING PARK ROAD EAST,A,,COOK,CHICAGO CSOS,41.953889,-87.694167
Berteau Ave (W),DS-M88,Chicago,IL0045012,57,14.5' x 10.5',NBCR,M,BERTEAU AVENUE WEST,A,,COOK,CHICAGO CSOS,41.9575,-87.694722
Montrose Ave (E),DS-M89,Chicago,IL0045012,51,6',NBCR,U,MONTROSE AVENUE EAST,A,,COOK,CHICAGO CSOS,41.961111,-87.694444
Balmoral Ave (E),DS-M92,Chicago,IL0045012,13,3',NSC,U,BALMORAL AVENUE EAST,A,,COOK,CHICAGO CSOS,41.978333,-87.705556
Berwyn Ave (E),DS-M92,Chicago,IL0045012,233,5.5',NSC,U,,,,,,,
Foster Ave (E),DS-M92,Chicago,IL0045012,15,1.25',NSC,U,FOSTER AVENUE EAST,A,,COOK,CHICAGO CSOS,41.975556,-87.704444
Bryn Mawr Ave (E),DS-M93,Chicago,IL0045012,11,4.75',NSC,U,BRYN MAWR AVENUE EAST,A,,COOK,CHICAGO CSOS,41.982778,-87.706389
Peterson Ave (E),DS-M95,Chicago,IL0045012,6,5',NSC,U,PETERSON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.990278,-87.708611
Devon Ave (E),DS-M96,Chicago,IL0045012,5,6',NSC,U,DEVON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.997222,-87.710556
North Shore Ave (E),DS-M97,Chicago,IL0045012,3,3',NSC,M,NORTH SHORE AVENUE EAST,A,,COOK,CHICAGO CSOS,42.003056,-87.710278
Pratt Ave (E),DS-M97,Chicago,IL0045012,2,13' x 13',NSC,M,PRATT AVENUE EAST,A,,COOK,CHICAGO CSOS,42.004444,-87.710333
Touhy Ave (E),DS-M98,Chicago,IL0045012,1,6',NSC,U,TOUHY AVENUE EAST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
Birchwood Ave (E),DS-M99,Chicago,IL0045012,39,7',NSC,U,BIRCHWOOD AVENUE EAST,A,,COOK,CHICAGO CSOS,42.017222,-87.71
St. Louis Ave (N),DS-N01,Chicago,IL0045012,34,2.5',NBCR,U,,,,,,,
Trumbull Ave (N) (Bernard),DS-N01,Chicago,IL0045012,235,1',NBCR,U,TRUMBULL AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.971944,-87.714444
Foster Ave & Keeler (W),DS-N02,Chicago,IL0045012,30,6.5',NBCR,M,FOSTER AVENUE WEST,A,,COOK,CHICAGO CSOS,41.975278,-87.724167
Kilbourn Ave & Bryn Mawr (N),DS-N03,Chicago,IL0045012,29,7',NBCR,M,KILBOURN AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.980556,-87.740833
"Cicero Ave (N), South of Forest Glen",DS-N04,Chicago,IL0045012,26,4',NBCR,M,CICERO AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.974167,-87.707222
"Forest Glen Ave (S), West of Cicero",DS-N05,Chicago,IL0045012,24,6',NBCR,M,FOREST GLEN AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.982778,-87.752778
Lamon Ave (S),DS-N05,Chicago,IL0045012,25,1.5',NBCR,U,LAMON AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.983333,-87.750833
Ardmore Ave (Indian & Ardmore)  (W),DS-N06,Chicago,IL0045012,234,2' & 2.5',NBCR,M,ARDMORE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.986389,-87.708333
Linder Ave (W),DS-N06,Chicago,IL0045012,22,18“,NBCR,U,LINDER AVENUE WEST,A,,COOK,CHICAGO CSOS,41.986667,-87.757778
Central Ave (5900 - 6100 North) (N),DS-N07,Chicago,IL0045012,21,2.5',NBCR,M,CENTRAL AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.988333,-87.7625
Mango Ave ext. (Leonard & Miltmore) (W),DS-N08,Chicago,IL0045012,20,9.5',NBCR,M,MANGO AVENUE WEST,A,,COOK,CHICAGO CSOS,41.989167,-87.764444
Peterson Ave (W),DS-N08,Chicago,IL0045012,19,1.25',NBCR,U,PETERSON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.989722,-87.765
Miami Ave (Indian & Monitor) (W),DS-N09,Chicago,IL0045012,18,2.5',NBCR,M,MIAMI AVENUE WEST,A,,COOK,CHICAGO CSOS,41.990556,-87.771667
Wildwood Ave ext. (Caldwell & Tonty) (E),DS-N10A,Chicago,IL0045012,16,4.5',NBCR,M,WILDWOOD AVENUE EAST,A,,COOK,CHICAGO CSOS,42.003056,-87.780278
Imlay St & Milwaukee (W),DS-N10B,Chicago,IL0045012,17,7',NBCR,M,IMLAY STREET WEST,A,,COOK,CHICAGO CSOS,42.000278,-87.783889
6872 Touhy Ave  (Franks & Nieman) (W),DS-N13R,Niles / Chicago,ILM580035 / IL0045012,008 / 236,5',NBCR,M,,,,,,,
Fargo Ave at Nordica Ave (W),DS-N15,Chicago,Not Permitted,NP,4',NBCR,U,,,,,,,
Central Park Ave (S),I-10,Chicago,IL0045012,181,2.5' X 2.79',CSSC,U,CENTRAL PARK AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.8275,-87.713889
Berwyn Ave (W),I-116,Chicago,IL0045012,38,6',NSC,U,BERWYN AVENUE WEST,A,,COOK,CHICAGO CSOS,41.9775,-87.705
37th St (W),I-117,Chicago,IL0045012,196,3',SFSBCR,U,37TH STREET WEST,A,,COOK,CHICAGO CSOS,41.826944,-87.658056
37th St (E),I-118,Chicago,IL0045012,197,2',SFSBCR,U,37TH STREET EAST,A,,COOK,CHICAGO CSOS,41.826944,-87.656944
35th St (E),I-119,Chicago,IL0045012,195,4.5',SFSBCR,U,35TH STREET EAST,A,,COOK,CHICAGO CSOS,41.830278,-87.656944
Cermak Rd (W),I-123,Chicago,IL0045012,152,2',SBCR,U,CERMAK ROAD WEST,A,,COOK,CHICAGO CSOS,41.8525,-87.641111
Throop St (S),I-15,Chicago,IL0045012,163,3',SBCR,U,THROOP STREET SOUTH,A,,COOK,CHICAGO CSOS,41.8475,-87.657778
Racine Ave (N),I-17,Chicago,IL0045012,161,4.5',SBCR,U,RACINE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.848889,-87.656667
Senour Ave (S),I-18,Chicago,IL0045012,160,3',SBCR,U,SENOUR AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.8475,-87.6525
Morgan St (N),I-19,Chicago,IL0045012,159,4.5',SBCR,U,MORGAN STREET NORTH,A,,COOK,CHICAGO CSOS,41.848611,-87.651389
Halsted St (S),I-20,Chicago,IL0045012,158,5',SBCR,U,,,,,,,
Cermak Rd (E),I-21,Chicago,IL0045012,153,3',SBCR,U,CERMAK ROAD EAST,A,,COOK,CHICAGO CSOS,41.8525,-87.639722
19th St (E),I-23,Chicago,IL0045012,149,3',SBCR,U,19TH STREET EAST,A,,COOK,CHICAGO CSOS,41.856389,-87.635556
18th St (E),I-24,Chicago,IL0045012,148,3',SBCR,U,18TH STREET EAST,A,,COOK,CHICAGO CSOS,41.8575,-87.634722
16th St (E),I-25,Chicago,IL0045012,146,3',SBCR,U,16TH STREET EAST,A,,COOK,CHICAGO CSOS,41.86,-87.633056
Harrison St (E),I-33,Chicago,IL0045012,133,3',SBCR,U,HARRISON STREET EAST,A,,COOK,CHICAGO CSOS,41.874444,-87.635278
Van Buren St (E),I-35,Chicago,IL0045012,131,3',SBCR,U,VAN BUREN STREET EAST,A,,COOK,CHICAGO CSOS,41.868333,-87.636944
Jackson Blvd (E),I-38,Chicago,IL0045012,130,3',SBCR,U,JACKSON BOULEVARD EAST,A,,COOK,CHICAGO CSOS,41.878056,-87.6375
Adams St (E),I-39,Chicago,IL0045012,128,3',SBCR,U,ADAMS STREET EAST,A,,COOK,CHICAGO CSOS,41.879444,-87.637778
Monroe St (E),I-41,Chicago,IL0045012,127,2 (3.5' X 4'),SBCR,U,MONROE STREET EAST,A,,COOK,CHICAGO CSOS,41.881111,-87.638056
Madison St (E),I-42,Chicago,IL0045012,126,3',SBCR,U,MADISON STREET EAST,A,,COOK,CHICAGO CSOS,41.881944,-87.638056
Washington St (E),I-44,Chicago,IL0045012,124,3',SBCR,U,WASHINGTON STREET EAST,A,,COOK,CHICAGO CSOS,41.883056,-87.638056
Randolph St (E),I-44 & I-45,Chicago,IL0045012,123,10' X 9.5',SBCR,U,RANDOLPH STREET EAST,A,,COOK,CHICAGO CSOS,41.884444,-87.637778
Wells St (S),I-46,Chicago,IL0045012,120,3',CR,U,WELLS STREET SOUTH,A,,COOK,CHICAGO CSOS,41.887222,-87.633889
Wells St (N),I-47A & I-47B,Chicago,IL0045012,119,5' X 7',CR,U,WELLS STREET NORTH,A,,COOK,CHICAGO CSOS,41.888056,-87.633889
LaSalle St (S),I-48,Chicago,IL0045012,118,3',CR,U,LASALLE STREET SOUTH,A,,COOK,CHICAGO CSOS,41.887222,-87.6325
LaSalle St (N),I-49 & I-50,Chicago,IL0045012,117,2 (1.25'),CR,U,LASALLE STREET NORTH,A,,COOK,CHICAGO CSOS,41.887778,-87.6325
Clark St (S),I-51,Chicago,IL0045012,116,3',CR,U,CLARK STREET SOUTH,A,,COOK,CHICAGO CSOS,41.886944,-87.631111
Clark St (N),I-52,Chicago,IL0045012,115,6',CR,U,CLARK STREET NORTH,A,,COOK,CHICAGO CSOS,41.887778,-87.631111
Dearborn St  & Lower Wacker,I-53,Chicago,IL0045012,114,3',CR,U,DEARBORN STREET SOUTH,A,,COOK,CHICAGO CSOS,41.886944,-87.629444
Dearborn St (N),I-54,Chicago,IL0045012,113,2',CR,U,DEARBORN STREET NORTH,A,,COOK,CHICAGO CSOS,41.887778,-87.629444
State St (S),I-55,Chicago,IL0045012,112,3',CR,U,STATE STREET SOUTH,A,,COOK,CHICAGO CSOS,41.886944,-87.628056
Wabash Ave (S),I-56,Chicago,IL0045012,111,3',CR,U,WABASH AVE. SOUTH,A,,COOK,CHICAGO CSOS,41.887778,-87.626389
Rush St. (N),I-58,Chicago,IL0045012,110,5',CR,U,RUSH ST. NORTH,A,,COOK,CHICAGO CSOS,41.887778,-87.626389
Michigan Ave (S),I-59,Chicago,IL0045012,109,4',CR,U,MICHIGAN AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.888611,-87.624444
Kinzie St (W),I-62,Chicago,IL0045012,101,6',NBCR,U,KINZIE STREET WEST,A,,COOK,CHICAGO CSOS,41.89,-87.640833
Grand Ave (W),I-63,Chicago,IL0045012,100,4',NBCR,U,GRAND AVENUE WEST,A,,COOK,CHICAGO CSOS,41.891389,-87.641944
Erie St (E),I-64,Chicago,IL0045012,99,4',NBCR,U,ERIE STREET EAST,A,,COOK,CHICAGO CSOS,41.893889,-87.643333
Erie St (W),I-65(A&B),Chicago,IL0045012,98,3',NBCR,U,ERIE STREET WEST,A,,COOK,CHICAGO CSOS,41.893611,-87.644444
Chicago Ave (E),I-66,Chicago,IL0045012,97,4',NBCR,U,CHICAGO AVENUE EAST,A,,COOK,CHICAGO CSOS,41.896389,-87.644167
Chicago Ave (W),I-67,Chicago,IL0045012,96,3',NBCR,U,CHICAGO AVENUE WEST,A,,COOK,CHICAGO CSOS,41.896389,-87.645
Halsted St (S),I-67,Chicago,IL0045012,237,2',NBCR,U,HALSTED STREET SOUTH,A,,COOK,CHICAGO CSOS,41.848889,-87.646389
Haines St (E),I-68A,Chicago,IL0045012,94,1.5',NBCR,U,HAINES STREET EAST,A,,COOK,CHICAGO CSOS,41.900278,-87.651667
Halsted St (W),I-68B,Chicago,IL0045012,91,2',NBCR,U,HALSTED STREET WEST,A,,COOK,CHICAGO CSOS,41.901667,-87.648333
Division St (W),I-70,Chicago,IL0045012,87,5',NBCR,U,DIVISION STREET WEST,A,,COOK,CHICAGO CSOS,41.903611,-87.658611
Eastman St (E),I-71,Chicago,IL0045012,86,3',NBCR,U,EASTMAN STREET EAST,A,,COOK,CHICAGO CSOS,41.905833,-87.651111
Cortland St (E),I-72,Chicago,IL0045012,80,4',NBCR,U,CORTLAND STREET EAST,A,,COOK,CHICAGO CSOS,41.9175,-87.664444
Cortland St (W),I-73,Chicago,IL0045012,79,2',NBCR,U,CORTLAND STREET WEST,A,,COOK,CHICAGO CSOS,41.917222,-87.665278
McLean Ave (E),I-74,Chicago,IL0045012,78,2.25',NBCR,U,MCLEAN AVENUE EAST,A,,COOK,CHICAGO CSOS,41.918333,-87.663056
Ashland Ave East Bank (N),I-75,Chicago,IL0045012,75,2',NBCR,U,ASHLAND AVENUE EAST,A,,COOK,CHICAGO CSOS,41.922778,-87.666944
Webster Ave (E),I-75,Chicago,IL0045012,76,4',NBCR,U,WEBSTER AVENUE EAST,A,,COOK,CHICAGO CSOS,41.921667,-87.666111
Addison St (W),I-76,Chicago,IL0045012,62,5.5',NBCR,U,ADDISON STREET WEST,A,,COOK,CHICAGO CSOS,41.947222,-87.696389
Irving Park Rd (W),I-77,Chicago,IL0045012,59,6',NBCR,U,IRVING PARK ROAD WEST,A,,COOK,CHICAGO CSOS,41.953889,-87.694722
Montrose Ave (W),I-78,Chicago,IL0045012,52,6',NBCR,U,MONTROSE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.961111,-87.695
Agatite Ave (E),I-79A,Chicago,IL0045012,50,1',NBCR,U,AGATITE AVENUE EAST,A,,COOK,CHICAGO CSOS,41.961944,-87.694778
Sunnyside Ave (W),I-80,Chicago,IL0045012,49,6',NBCR,U,SUNNYSIDE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.963056,-87.695833
Sunnyside Ave (E),I-81,Chicago,IL0045012,48,1.5',NBCR,U,SUNNYSIDE AVENUE EAST,A,,COOK,CHICAGO CSOS,41.963056,-87.695
Wilson Ave (E),I-82,Chicago,IL0045012,46,2.5',NBCR,U,WILSON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.964722,-87.696667
Wilson Ave (W),I-83,Chicago,IL0045012,47,3.5',NBCR,U,WILSON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.964722,-87.6975
