Owner,NPDES Permit number,Outfall Number,Location,Size,Waterway,TARP Connection,Monitored or Unmonitored,TARP Connection
Chicago,IL0045012,10,Ardmore Ave (E),7' x 5.6',NSC,TG-M94,M,TG-M94
Chicago,IL0045012,65,Western Ave East Bank (N),6',NBCR,TG-M81,M,TG-M81
Chicago,IL0045012,226,Wilson Ave ext. (Wilson & East River Rd) (E),6',DPR,DS-D10,M,DS-D10
Melrose Park,ILM580003,1,Division St & 1st Ave (W),5',DPR,DS-D52,M,DS-D52
Franklin Park,ILM580029,1,Robinson Rd (W )),10' x 6',DPR,DS-D13,M ,DS-D13
North Riverside,ILM580030,1,26th St (East abutement of the bridge) (E),5',DPR,DS-D36,M,DS-D36
Chicago,IL0045012,63,Roscoe St (W),4 (8' x 8'),NBCR,DS-M84,M,DS-M84
Evanston,ILM580002,10,Main St (E),2 (10' x 8'),NSC,DS-M104E,M ,DS-M104E
Chicago,IL0045012,183,Pulaski Rd (N),8' x 8',CSSC,TG-I9,M,TG-I9
Niles,ILM580035,2,Cleveland St east of Caldwell Ave (W),4.5',NBCR,DS-N17,M,DS-N17
Chicago,IL0045012,151,Canal St & Grove St (S),8',SBCR,DS-M41,M,DS-M41
Chicago,IL0045012,84,Blackhawk St (W),16.5' x 11',NBCR,DS-M66,M,DS-M66
Chicago,Not Permitted,241,Stewart Ave (also known as Normal Ave or Harvard) (N),2 (12'x12'),LCalR,CDS-12,M,CDS-12
Niles,ILM580035,9,Forestview Lane &amp; Riverside Dr (E of Milwaukee) (W),3.5',NBCR,DS-N11,M,DS-N11
Chicago,IL0045012,132,Harrison St (W),5',SBCR,DS-M51,M,DS-M51
Niles,ILM580035,10,Caldwell Ave &amp; Touhy Ave (Harts Rd &amp; Touhy Ave) (E),2 (5.5' x 3.58'),NBCR,DS-N12,M,DS-N12
Chicago,IL0045012,178,Albany Ave (N),9',CC,TG-I12,M,TG-I12
Chicago,IL0045012,73,Fullerton Ave (W),6',NBCR,DS-M76,M,DS-M76
Chicago,IL0045012,18,Miami Ave (Indian & Monitor) (W),2.5',NBCR,DS-N09,M,DS-N09
Arlington Heights,ILM580006,1,S of Central Rd Bridge (N),8' x 7.5',Weller Creek,UDP-DS1A (K1A),M,UDP-DS1A (K1A)
Brookfield,Not Permitted,NP,Extended Southview Ave (E),1',SC,"DS-D47,50,51",M ,"DS-D47,50,51"
Chicago,IL0045012,173,Western Ave (S),12' x 14',CSSC,DS-M21,M,DS-M21
Blue Island,ILM580031,3,Division Ave (S),5.5',CSC,CDS-8,M ,CDS-8
Chicago,IL0045012,194,35th St. (W),6.5',SFSBCR,DS-M30,M,DS-M30
Chicago,IL0045012,30,Foster Ave & Keeler (W),6.5',NBCR,DS-N02,M,DS-N02
Chicago,IL0045012,136,Taylor St (W),5.5' x 4.33',SBCR,TG-I28 & I29,M,TG-I28 & I29
Chicago,IL0045012,168,Paulina St (N),9',SBCR,DS-M25,M,DS-M25
Chicago,IL0045012,121,Franklin St (S),3',CR,DS-M54,M,DS-M54
Chicago,IL0045012,239,Vernon Ave & E. 134th St (N),6',LCalR,CDS-16,M,CDS-16
Chicago,IL0045012,227,Belmont Ave (E),12' x 6.58',DPR,DS-D11,M,DS-D11
River Grove,ILM580021,5,Fullerton Ave (Maple &amp; Fullerton) (E),5',DPR,DS-D18,M,DS-D18
Chicago,IL0045012,125,Washington St (W),12' X 9',SBCR,Indirect (TG-M53),M,Indirect (TG-M53)
Chicago,IL0045012,172,Oakley Ave (N),10' x 8',CSSC,TG-M22,M,TG-M22
Des Plaines,Not Permitted,NP,N of Columbia and Seegers (N),3',Weller Creek,Indirect (UDP-DS5),M,Indirect (UDP-DS5) (K27)
Evanston,ILM580002,A02,Central St (E),1.25',NSC,DS-M111,U ,DS-M11
Evanston,ILM580002,11,Cleveland St (E),4.5',NSC,DS-M103,U ,DS-M10
MWRD,IL0028088,102,Green Bay Rd &amp; McCormick (W),8.5' x 9.5',NSC,DS-M109N,M,DS-M109 N
Chicago,IL0045012,20,Mango Ave ext. (Leonard & Miltmore) (W),9.5',NBCR,DS-N08,M,DS-D08
Chicago,IL0045012,190,Ashland Ave (W),4',SFSBCR,DS-M33,U,DS-D33
Des Plaines,Not Permitted,NP,Oakton St (W )),2.5',DPR,DS-D03R,U ,DS-M03
Blue Island,ILM580031,4,Division Ave (N),5',CSC,CDS-9,U ,
Blue Island / Posen,ILM580031/IL0043133,005 / 001,California Ave &amp; Edward St (S),4.5',CSC,CDS-6,M,
Brookfield,ILM580032,7,Brookfield Ave (W )),2.5',SC,"DS-D39,42,46",M ,
Brookfield,ILM580032,5,Brookfield Ave (Southwest wing wall of the bridge) (W ) ),4',SC,"DS-D39,42,46",M ,
Brookfield,ILM580032,6,Southview Ave ext. (W )),2',SC,"DS-D47,50,51",M ,
Brookfield,Not Permitted,NP,Southview Ave Ext. (W )),1',DPR,DS-DA6,U,
Calumet City,ILM580025,1,Burnham Ave (S),7' x 7.5',GCalR,CDS-24,U,
Calumet City,ILM580025,3,Woodview Ave (N),3.5',LCalR,CDS-53,M ,
Calumet City,ILM580025,4,Green Bay Ave (N),4',LCalR,CDS-55,M ,
Calumet City,ILM580025,5,Burnham Ave (N),2.5',LCalR,CDS-55,M ,
Calumet City,ILM580025,6,Stanley Blvd (Freeland Ave) (N),3',LCalR,CDS-55,M ,
Chicago,ILM580007,5,Indiana Ave (East of Wabash) (ACME Steel) (W),2 (2.5'),LCalR,CDS-15-4,U,
Chicago,IL0045012,210,Indiana Ave (E),2',LCalR,CDS-15-5,M,
Chicago,IL0045012,216,Peoria Ave (N),2.5',LCalR,CI-6,U,
Chicago,IL0045012,215,Halsted St (N),4.5',LCalR,CI-7,U,
Chicago,IL0045012,214,Parnell Ave (N),4',LCalR,CI-8,U,
Chicago,IL0045012,209,Forest Ave (N),1.5',LCalR,CI-9,U,
Chicago,IL0045012,42,Lawrence Ave (W),15.5' x 19.5' Tunnel,NBCR,DS-LAT,M,
Chicago,IL0028088,101,Sheridan Rd (Wilmette P.S.) (W),8' x 7',NSC,DS-M114N,M,
Chicago,IL0045012,187,Leamington Ave (S),21.5' x 19.33',CSSC,DS-M12,M,
Chicago,IL0045012,180,Kedzie Ave (S),9',CSSC,DS-M17,M,
Chicago,IL0045012,179,Kedzie Ave (N),2.25',CSSC,DS-M18,U,
Chicago,IL0045012,170,Damen Ave (N),3',SBCR,DS-M23,U,
Chicago,IL0045012,169,Wood St (N),0.67',SBCR,DS-M23,U,
Chicago,IL0045012,193,31st St (E),5',SFSBCR,DS-M31,U,
Chicago,IL0045012,192,Archer Ave (E),3',SFSBCR,DS-M31,U,
Chicago,IL0045012,191,Archer Ave (W),3',SFSBCR,DS-M32,U,
Chicago,IL0045012,167,Ashland Ave (N),5.5',SBCR,DS-M34,U,
Chicago,IL0045012,165,Loomis St (S),3',SBCR,DS-M36,U,
Chicago,IL0045012,157,Halsted St (N),4',SBCR,DS-M37,U,
Chicago,IL0045012,155,Wallace St (S),6',SBCR,DS-M39,U,
Chicago,IL0045012,147,18th St (W),4',SBCR,DS-M42,U,
Chicago,IL0045012,145,16th St (W),4',SBCR,DS-M43,U,
Chicago,IL0045012,144,15th St (E),3',SBCR,DS-M44,U,
Chicago,IL0045012,141,14th St (W),4',SBCR,DS-M46,U,
Chicago,IL0045012,139,Roosevelt Rd (E),3',SBCR,DS-M48,U,
Chicago,IL0045012,137,Taylor St (E),8',SBCR,DS-M50,U,
Chicago,IL0045012,129,Quincy St & Lower Wacker Dr (E),9' x 7.17',SBCR,DS-M52,M,
Chicago,IL0045012,107,Michigan Ave (S),7',CR,DS-M55,M,
Chicago,IL0045012,104,Lake Shore Dr (N),3',CR,DS-M59,U,
Chicago,IL0045012,95,Halsted St (N),2',NBCR,DS-M63,U,
Chicago,IL0045012,92,Cortez St & Elston (1030 N. Elston) (W),11' x 9',NBCR,DS-M64,M,
Chicago,IL0045012,88,Division St (E),3',NBCR,DS-M65,U,
Chicago,IL0045012,89,Division St (W),1.25',NBCR,DS-M65,U,
Chicago,IL0045012,90,Halsted St (E),3',NBCR,DS-M67R,U,
Chicago,IL0045012,230,Hobbie St (E),13' x 9.25',NBCR,DS-M67R,U,
Chicago,IL0045012,85,Blackhawk St (E),3.5',NBCR,DS-M69,U,
Chicago,IL0045012,81,Clifton Ave (E),2.5',NBCR,DS-M72,U,
Chicago,IL0045012,72,Damen Ave West Bank (S),1',NBCR,DS-M77,U,
Chicago,IL0045012,69,Diversey Ave (E),5.5',NBCR,DS-M78,U,
Chicago,IL0045012,68,Diversey Ave (W),7.5',NBCR,DS-M79,M,
Chicago,IL0045012,67,"Leavitt St East Bank (N), Southwest of DS-M80",12' x 12',NBCR,DS-M80,M,
Chicago,IL0045012,58,Irving Park Rd (E),6',NBCR,DS-M87,U,
Chicago,IL0045012,51,Montrose Ave (E),6',NBCR,DS-M89,U,
Chicago,IL0045012,13,Balmoral Ave (E),3',NSC,DS-M92,U,
Chicago,IL0045012,233,Berwyn Ave (E),5.5',NSC,DS-M92,U,
Chicago,IL0045012,15,Foster Ave (E),1.25',NSC,DS-M92,U,
Chicago,IL0045012,11,Bryn Mawr Ave (E),4.75',NSC,DS-M93,U,
Chicago,IL0045012,6,Peterson Ave (E),5',NSC,DS-M95,U,
Chicago,IL0045012,5,Devon Ave (E),6',NSC,DS-M96,U,
Chicago,IL0045012,2,Pratt Ave (E),13' x 13',NSC,DS-M97,M,
Chicago,IL0045012,1,Touhy Ave (E),6',NSC,DS-M98,U,
Chicago,IL0045012,39,Birchwood Ave (E),7',NSC,DS-M99,U,
Chicago,IL0045012,34,St. Louis Ave (N),2.5',NBCR,DS-N01,U,
Chicago,IL0045012,235,Trumbull Ave (N) (Bernard),1',NBCR,DS-N01,U,
Chicago,IL0045012,25,Lamon Ave (S),1.5',NBCR,DS-N05,U,
Chicago,IL0045012,234,Ardmore Ave (Indian & Ardmore)  (W),2' & 2.5',NBCR,DS-N06,M,
Chicago,Not Permitted,NP,Fargo Ave at Nordica Ave (W),4',NBCR,DS-N15,U,
Chicago,IL0045012,181,Central Park Ave (S),2.5' X 2.79',CSSC,I-10,U,
Chicago,IL0045012,38,Berwyn Ave (W),6',NSC,I-116,U,
Chicago,IL0045012,196,37th St (W),3',SFSBCR,I-117,U,
Chicago,IL0045012,197,37th St (E),2',SFSBCR,I-118,U,
Chicago,IL0045012,195,35th St (E),4.5',SFSBCR,I-119,U,
Chicago,IL0045012,152,Cermak Rd (W),2',SBCR,I-123,U,
Chicago,IL0045012,163,Throop St (S),3',SBCR,I-15,U,
Chicago,IL0045012,161,Racine Ave (N),4.5',SBCR,I-17,U,
Chicago,IL0045012,160,Senour Ave (S),3',SBCR,I-18,U,
Chicago,IL0045012,159,Morgan St (N),4.5',SBCR,I-19,U,
Chicago,IL0045012,158,Halsted St (S),5',SBCR,I-20,U,
Chicago,IL0045012,153,Cermak Rd (E),3',SBCR,I-21,U,
Chicago,IL0045012,149,19th St (E),3',SBCR,I-23,U,
Chicago,IL0045012,148,18th St (E),3',SBCR,I-24,U,
Chicago,IL0045012,146,16th St (E),3',SBCR,I-25,U,
Chicago,IL0045012,133,Harrison St (E),3',SBCR,I-33,U,
Chicago,IL0045012,131,Van Buren St (E),3',SBCR,I-35,U,
Chicago,IL0045012,130,Jackson Blvd (E),3',SBCR,I-38,U,
Chicago,IL0045012,128,Adams St (E),3',SBCR,I-39,U,
Chicago,IL0045012,127,Monroe St (E),2 (3.5' X 4'),SBCR,I-41,U,
Chicago,IL0045012,126,Madison St (E),3',SBCR,I-42,U,
Chicago,IL0045012,124,Washington St (E),3',SBCR,I-44,U,
Chicago,IL0045012,123,Randolph St (E),10' X 9.5',SBCR,I-44 & I-45,U,
Chicago,IL0045012,120,Wells St (S),3',CR,I-46,U,
Chicago,IL0045012,119,Wells St (N),5' X 7',CR,I-47A & I-47B,U,
Chicago,IL0045012,118,LaSalle St (S),3',CR,I-48,U,
Chicago,IL0045012,117,LaSalle St (N),2 (1.25'),CR,I-49 & I-50,U,
Chicago,IL0045012,116,Clark St (S),3',CR,I-51,U,
Chicago,IL0045012,115,Clark St (N),6',CR,I-52,U,
Chicago,IL0045012,114,Dearborn St  & Lower Wacker,3',CR,I-53,U,
Chicago,IL0045012,113,Dearborn St (N),2',CR,I-54,U,
Chicago,IL0045012,112,State St (S),3',CR,I-55,U,
Chicago,IL0045012,111,Wabash Ave (S),3',CR,I-56,U,
Chicago,IL0045012,110,Rush St. (N),5',CR,I-58,U,
Chicago,IL0045012,109,Michigan Ave (S),4',CR,I-59,U,
Chicago,IL0045012,101,Kinzie St (W),6',NBCR,I-62,U,
Chicago,IL0045012,100,Grand Ave (W),4',NBCR,I-63,U,
Chicago,IL0045012,99,Erie St (E),4',NBCR,I-64,U,
Chicago,IL0045012,98,Erie St (W),3',NBCR,I-65(A&B),U,
Chicago,IL0045012,97,Chicago Ave (E),4',NBCR,I-66,U,
Chicago,IL0045012,96,Chicago Ave (W),3',NBCR,I-67,U,
Chicago,IL0045012,237,Halsted St (S),2',NBCR,I-67,U,
Chicago,IL0045012,94,Haines St (E),1.5',NBCR,I-68A,U,
Chicago,IL0045012,91,Halsted St (W),2',NBCR,I-68B,U,
Chicago,IL0045012,87,Division St (W),5',NBCR,I-70,U,
Chicago,IL0045012,86,Eastman St (E),3',NBCR,I-71,U,
Chicago,IL0045012,80,Cortland St (E),4',NBCR,I-72,U,
Chicago,IL0045012,79,Cortland St (W),2',NBCR,I-73,U,
Chicago,IL0045012,78,McLean Ave (E),2.25',NBCR,I-74,U,
Chicago,IL0045012,75,Ashland Ave East Bank (N),2',NBCR,I-75,U,
Chicago,IL0045012,76,Webster Ave (E),4',NBCR,I-75,U,
Chicago,IL0045012,62,Addison St (W),5.5',NBCR,I-76,U,
Chicago,IL0045012,59,Irving Park Rd (W),6',NBCR,I-77,U,
Chicago,IL0045012,52,Montrose Ave (W),6',NBCR,I-78,U,
Chicago,IL0045012,50,Agatite Ave (E),1',NBCR,I-79A,U,
Chicago,IL0045012,49,Sunnyside Ave (W),6',NBCR,I-80,U,
Chicago,IL0045012,48,Sunnyside Ave (E),1.5',NBCR,I-81,U,
Chicago,IL0045012,46,Wilson Ave (E),2.5',NBCR,I-82,U,
Chicago,IL0045012,47,Wilson Ave (W),3.5',NBCR,I-83,U,
Chicago,IL0045012,45,Leland Ave (E),1.5',NBCR,I-84,U,
Chicago,IL0045012,44,Leland Ave (W),1.25',NBCR,I-85,U,
Chicago,IL0045012,43,Giddings St (W),1',NBCR,I-86,U,
Chicago,IL0045012,41,Lawrence Ave (W),5',NBCR,I-87,U,
Chicago,IL0045012,40,Argyle St (W),6',NBCR,I-88,U,
Chicago,IL0045012,35,Kedzie Ave (S),1.25',NBCR,I-88,U,
Chicago,IL0045012,14,Foster Ave (W),3.5',NSC,I-89,U,
Chicago,IL0045012,12,Bryn Mawr Ave (W),5.5',NSC,I-91,U,
Chicago,IL0045012,9,Ardmore Ave (W),2.75',NSC,I-92,U,
Chicago,IL0045012,8,Thorndale Ave (W),4.5',NSC,I-93,U,
Chicago,IL0045012,7,Peterson Ave (W),5.5',NSC,I-94,U,
Chicago,IL0045012,4,Devon Ave (W),7.5',NSC,I-95,U,
Chicago,IL0045012,23,Forest Glen Ave (N),1.25',NBCR,Indirect (DS-,U,
Chicago,IL0045012,28,Kenton Ave (N),2.25',NBCR,Indirect (DS-,U,
Chicago,IL0045012,162,Throop St (N),2',SBCR,Indirect (DS-M35),U,
Chicago,IL0045012,150,Stewart Ave (S),3',SBCR,Indirect (DS-M41),U,
Chicago,IL0045012,108,St. Clair St (Beaubien Ct) (N),2',CR,Indirect (DS-M60),U,
Chicago,IL0045012,60,Grace St (W),1.5',NBCR,Indirect (DS-M90),U,
Chicago,IL0045012,106,Beaubien Ct (St. Clair Street) (N),9' x 8',CR,TG-M60,M,
