Collect    ,Time,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,ALK,CL   ,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B tot ,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
2012-11-26 00:00:00,945.0,WW_56,6.3,6.9,7.97,4.21,<0.1,<1,1.45,51.75,364.0,6.0,<4,,128.0,,80.0,,0.41,3.4,<5,<0.005,<0.001,<5,<1.40,2.2,350.0,8.0,,0.02,0.022,,0.11,,,,<0.001,43.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,15.0,,0.013,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,Z,,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,1015.0,WW_76,5.2,10.2,7.28,13.625,0.3,1.22,4.09,84.43,574.0,4.0,<4,,144.0,,127.0,,0.87,5.6,<5,<0.005,0.0016,<5,<1.80,4.6,2300.0,0.7,,0.02,0.015,,0.24,,,,<0.001,58.0,,,<0.005,<6,,0.009,Z,,0.1,,<0.02,20.0,,0.026,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,Z,,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,1035.0,WW_57,4.9,5.6,10.86,11.522,0.32,1.2,4.02,124.48,640.0,<4,<4,,158.0,,131.0,,0.86,5.3,<5,0.006,0.0016,,<1.80,5.1,510.0,1.8,,0.02,0.016,,0.28,,,,<0.001,62.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,22.0,,0.033,,<0.2,,,0.006,0.005,,0.001,0.001,,0.04,Z,<8.0,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,1005.0,WW_59,7.7,9.4,6.98,10.075,0.38,1.42,5.75,139.47,678.0,9.0,<4,,165.0,,135.0,,0.88,5.8,<5,<0.005,0.0013,<5,,,5500.0,1.4,,0.02,0.016,,0.25,,,,<0.001,63.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,22.0,,0.035,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.03,Z,,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,935.0,WW_43,7.8,11.0,6.67,9.875,0.82,1.84,2.29,91.15,544.0,5.0,<4,,136.0,,125.0,,0.86,5.4,<5,<0.005,0.0015,<5,,,7900.0,2.7,,0.02,0.015,,0.26,,,,<0.001,55.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,19.0,,0.032,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.03,Z,,<2,<2,<2,<3,<3,<3
2012-11-26 00:00:00,1115.0,WW_92,7.1,14.3,6.58,10.581,0.46,1.22,1.7,97.13,552.0,4.0,<4,,132.0,,128.0,,0.86,4.7,<5,<0.005,0.0013,<5,,,110.0,2.5,,0.02,0.016,,0.21,,,,<0.001,55.0,,,<0.005,<6,,<0.005,,,<0.1,,<0.02,19.0,,0.034,,<0.2,,,0.008,0.007,,0.001,0.001,,0.03,Z,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Limit,,,,,,0.15,0.1,1.0,0.1,5.0,60.0,4.0,,1.0,10.0,,10.0,,0.1,1.0,5.0,0.005,0.001,5.0,,,10.0,,,0.02,0.004,,0.05,,,,0.001,1.0,,,0.005,6.0,,0.005,,,0.1,,0.02,1.0,,0.001,,0.2,,,0.005,0.005,,0.001,0.001,,0.01,,0.5*,2.0,2.0,2.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* LL Hg: Based on the sample matrix some samples need to be diluted x2, x5 and x10.  The reporting limit ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"of 0.5 ng/L for LL Hg will then change by the same factor resulting in reporting limits of 1.0, 2.5, and 5.0 ng/L respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WW86, November 26, 2012: Sample had an odor of hydrocarbons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X=Matrix spike recovery failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z = Method blank failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
