collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),bod(mg/l),cbod(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-02-07 00:00:00,ww_23,11.5,9.5,7.9,5.525,0.3,1.37,0.87,93.39,1292.0,15.0,4.0,22.5,173.0,535.0,0.34,8.0,4.0,0.004,0.0017,,,,<6.56,<6.48,880.0,,5.8,0.0,0.0,0.0504,0.0431,0.184,0.176,0.0,0.0,89.53,84.12,0.0,0.0008,2.0,0.013,0.0,0.665,0.024,0.003,0.0017,36.15,33.77,0.0659,0.0503,0.0,,0.004,0.002,0.014,0.011,0.0,0.0,0.044,0.0255,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_29,12.1,8.2,7.5,6.005,0.27,1.08,0.88,99.08,1258.0,7.0,0.0,15.0,188.0,573.9,0.36,7.0,5.0,0.003,0.002,,,,<6.27,11.77,830.0,,13.2,0.0,0.0,0.0475,0.0424,0.189,0.184,0.0,0.0,89.0,87.57,0.0,0.0013,3.0,0.012,0.0,0.491,0.022,0.002,0.0026,36.81,35.665,0.0634,0.0476,0.0,,0.003,0.0,0.015,0.006,0.0,0.0,0.038,0.025,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_91,10.4,9.5,7.7,6.007,0.13,0.88,0.85,105.34,1218.0,11.0,6.0,14.9,195.0,545.7,0.38,8.0,7.0,0.003,0.0017,,,,<8.70,12.55,2600.0,,12.6,0.0,0.0,0.0459,0.0417,0.209,0.208,0.0,0.0,88.77,88.47,0.0,0.0013,3.0,0.014,0.0,0.416,0.016,0.004,0.001,37.61,37.244,0.0542,0.0416,0.0,,0.003,0.002,0.023,0.01,0.0,0.0,0.043,0.0248,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_80,9.7,6.1,7.58,3.805,0.18,0.85,0.67,94.2,1462.0,3.0,0.0,8.49,180.0,692.3,0.25,8.0,7.0,0.004,0.0007,,,,<7.25,9.25,1100.0,1200.0,9.7,0.0,0.0,0.0505,0.0465,0.128,0.127,0.0,0.0,90.67,90.33,0.0,0.0,3.0,0.013,0.0,0.228,0.037,0.004,0.0,35.65,35.586,0.1203,0.1097,0.0,,0.002,0.0,0.019,0.011,0.0,0.0,0.032,0.0197,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_18,10.2,6.5,7.49,4.05,0.21,1.0,0.73,92.26,1362.0,5.0,4.0,8.95,175.0,669.1,0.26,8.0,7.0,0.005,0.0008,,,,5.87,9.37,2300.0,3000.0,10.1,0.0,0.0,0.0512,0.044,0.13,0.133,0.0,0.0,92.71,87.03,0.0,0.0008,3.0,0.017,0.0,0.619,0.035,0.008,0.0,35.92,33.758,0.1216,0.1117,0.0,,0.002,0.0,0.014,0.02,0.0,0.0,0.121,0.0943,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_90,11.3,3.2,7.76,1.115,0.26,1.4,0.21,56.67,1144.0,36.0,9.0,40.4,170.0,560.5,0.12,10.0,12.0,0.004,0.0015,,,,<6.29,9.0,400.0,,10.0,0.0,0.0,0.0811,0.0652,0.049,0.038,0.0,0.0,75.86,71.06,0.0,0.0,3.0,0.025,0.0,2.47,0.054,0.004,0.002,31.39,29.608,0.1943,0.1032,0.0,,0.003,0.0,0.012,0.007,0.0,0.0,0.043,0.0098,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_110,8.5,3.7,7.98,1.693,0.44,1.56,0.13,78.64,2128.0,22.0,8.0,29.2,139.0,473.2,0.12,13.0,13.0,0.004,0.0014,,,,6.23,7.47,2300.0,,6.2,0.0,0.0,0.0448,0.0398,0.035,0.036,0.0,0.0,70.18,67.84,0.0,0.0007,6.0,0.017,0.0,1.098,0.255,0.005,0.0017,25.05,24.147,0.1088,0.094,0.0,,0.002,0.0,0.01,0.01,0.0,0.0,0.052,0.0303,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_89,9.6,7.0,7.63,4.517,0.21,1.54,0.74,67.37,914.0,15.0,7.0,18.4,161.0,406.2,0.25,10.0,15.0,0.003,0.0019,,,,<5.23,8.6,6600.0,,3.7,0.0,0.0,0.0411,0.0364,0.099,0.097,0.0,0.0,74.89,71.73,0.0,0.0007,3.0,0.017,0.003,0.634,0.061,0.002,0.0,28.63,26.888,0.0488,0.038,0.0,,0.0,na,0.0,0.007,0.0,0.0,0.035,0.0227,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_64,9.5,5.8,7.68,4.126,0.37,1.53,0.87,73.65,1070.0,26.0,8.0,32.6,148.0,499.7,0.25,8.0,10.0,0.005,0.0016,,,,<5.92,9.86,6100.0,,8.1,0.0,0.0,0.048,0.0415,0.091,0.089,0.0,0.0,74.49,72.79,0.0,0.0008,3.0,0.012,0.0,0.949,0.054,0.003,0.0,27.83,26.743,0.191,0.1647,0.0,,0.003,0.0,0.012,0.011,0.0,0.0,0.044,0.0209,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-07 00:00:00,ww_92,6.8,11.1,7.7,6.771,0.73,1.7,1.08,111.88,978.0,16.0,5.0,10.8,158.0,381.5,0.75,8.0,9.0,0.004,0.0017,3.8,0.0,0.0,,,170.0,,1.5,0.0,0.0,0.0255,0.0211,0.26,0.249,0.0,0.0,73.23,68.77,0.0,0.0012,3.0,0.008,0.0,0.409,0.033,0.007,0.002,27.13,25.6,0.043,0.0365,0.0,,0.006,0.005,0.004,0.004,0.0,0.0,0.048,0.0313,,,,,,
2005-02-14 00:00:00,ww_106,11.0,9.5,7.6,1.468,0.27,1.37,0.33,53.7,1200.0,31.0,4.0,27.9,147.0,593.7,0.11,8.0,10.0,0.01,0.0047,,,,<4.21,7.13,400.0,,4.2,0.0,0.0,0.0493,0.0414,0.067,0.062,0.0,0.0,70.23,65.57,0.0,0.0011,3.0,0.024,0.0,1.041,0.068,0.003,0.0012,26.98,25.33,0.0547,0.037,0.0,,0.002,0.0,0.004,0.01,0.0,0.0,0.043,0.0185,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_31,11.3,6.6,7.8,0.814,0.2,1.47,0.22,45.42,605.0,104.0,12.0,75.8,144.0,229.4,0.09,8.0,12.0,0.005,0.0012,,,,5.13,9.47,400.0,,8.2,0.0,0.0,0.0396,0.0222,0.047,0.042,0.0,0.0,57.21,41.11,0.0,0.0015,3.0,0.02,0.002,2.67,0.076,0.006,0.0037,25.47,18.369,0.117,0.0401,0.07,,0.004,0.0,0.0,0.003,0.0,0.0,0.043,0.0087,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_32,11.2,4.8,7.5,1.156,0.35,2.08,0.25,46.92,578.0,112.0,12.0,83.2,142.0,205.7,0.1,8.0,11.0,0.004,0.0012,,,,<3.59,6.91,530.0,,7.3,0.0,0.0,0.04,0.0226,0.046,0.049,0.0,0.0,54.53,42.38,0.005,0.0007,3.0,0.02,0.002,3.359,0.067,0.009,0.0,24.15,18.551,0.17,0.0437,0.07,,0.004,0.0,0.015,0.012,0.0,0.0,0.057,0.0132,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_105,10.5,6.1,7.4,3.041,0.38,2.69,0.41,67.0,876.0,24.0,12.0,14.4,180.0,357.2,0.27,7.0,9.0,0.004,0.0016,,,,3.48,9.09,240.0,,5.4,0.0,0.0,0.0387,0.0342,0.098,0.093,0.0,0.0,72.94,68.01,0.0,0.0,3.0,0.014,0.002,0.496,0.04,0.0,0.0,31.77,29.91,0.0564,0.0436,0.07,,0.0,0.0,0.015,0.01,0.0,0.0,0.035,0.0194,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_104,10.9,3.6,7.2,1.59,0.24,2.08,0.27,52.1,722.0,54.0,9.0,52.3,153.0,285.0,0.19,8.0,15.0,0.004,0.0013,,,,<4.11,7.68,570.0,,5.4,0.0,0.0,0.0382,0.0259,0.059,0.06,0.0,0.0,58.78,49.84,0.0,0.0009,4.0,0.023,0.002,1.998,0.087,0.005,0.0015,25.63,21.81,0.0821,0.0393,0.06,,0.003,0.0,0.003,0.002,0.0,0.0,0.052,0.0165,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_103,11.2,4.2,8.18,1.67,0.36,1.67,0.31,56.18,1194.0,68.0,16.0,66.5,134.0,592.0,0.17,6.0,9.0,0.011,0.0013,,,,<4.44,8.44,1400.0,,5.0,0.0,0.0,0.0484,0.038,0.062,0.064,0.0,0.0,66.25,60.84,0.004,0.0017,4.0,0.019,0.002,2.052,0.049,0.008,0.001,24.74,22.49,0.0734,0.0347,0.08,,0.003,0.0,0.007,0.009,0.0,0.0,0.05,0.0185,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_34,11.9,3.4,7.77,1.629,0.29,1.67,0.35,54.52,982.0,63.0,10.0,56.2,142.0,453.0,0.17,7.0,12.0,0.007,0.0013,,,,6.18,6.86,840.0,,3.3,0.0,0.0,0.0434,0.0299,0.062,0.064,0.0,0.0,62.51,52.72,0.0,0.0013,3.0,0.024,0.002,1.87,0.054,0.008,0.0022,25.15,21.211,0.0828,0.0364,0.06,,0.003,0.0,0.009,0.013,0.0,0.0,0.056,0.0151,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_37,8.2,7.2,7.25,2.984,0.74,2.57,0.64,51.34,846.0,39.0,12.0,24.7,135.0,360.7,0.33,7.0,12.0,0.005,0.0014,11.9,10.0,5.0,,,24000.0,19000.0,1.5,0.0,0.0,0.0349,0.0274,0.104,0.101,0.0,0.0,59.02,55.57,0.0,0.0025,3.0,0.02,0.003,1.009,0.074,0.008,0.0,22.02,20.347,0.0605,0.0335,0.06,,0.003,0.0,0.013,0.014,0.0,0.0,0.074,0.0362,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_73,8.2,7.7,6.92,2.882,1.24,3.0,0.65,52.18,852.0,34.0,11.0,25.2,133.0,420.6,0.36,7.0,16.0,0.007,0.0016,3.5,9.0,4.0,,,23000.0,28000.0,2.6,0.0,0.0,0.0315,0.0236,0.115,0.11,0.0,0.0,57.1,48.3,0.0,0.0011,3.0,0.014,0.0,0.692,0.037,0.004,0.0,21.13,17.834,0.0415,0.023,0.06,,0.002,0.0,0.008,0.005,0.0,0.0,0.047,0.0232,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_46,7.8,8.5,7.28,4.3,2.15,3.73,0.85,67.37,780.0,16.0,4.0,10.4,190.0,296.5,0.65,9.0,14.0,0.005,0.0019,4.3,4.0,3.0,,,13000.0,16000.0,2.2,0.0,0.0,0.0343,0.0305,0.182,0.182,0.0,0.0,77.56,74.84,0.0,0.0,2.0,0.011,0.0,0.302,0.05,0.004,0.0013,30.18,29.461,0.0282,0.0225,0.05,,0.003,0.002,0.02,0.011,0.0,0.0,0.052,0.0365,0.0,0.0,2.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_102,8.0,8.1,7.03,3.411,1.37,2.54,0.58,47.58,690.0,15.0,7.0,10.6,128.0,304.2,0.41,7.0,12.0,0.004,0.0016,4.7,,,<4.78,9.7,42000.0,26000.0,0.8,0.0,0.0,0.027,0.0216,0.141,0.117,0.0,0.0,61.33,49.89,0.0,0.0011,3.0,0.013,0.009,0.206,0.051,0.003,0.0,21.16,17.652,0.0466,0.0152,0.0,,0.004,na,0.015,0.01,0.0,0.0,0.081,0.0533,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_36,9.2,7.8,7.16,3.474,0.26,1.7,0.48,43.39,630.0,21.0,7.0,5.34,126.0,120.6,0.33,7.0,10.0,0.003,0.0009,10.3,,,<4.39,6.12,20000.0,19000.0,2.1,0.0,0.0,0.0253,0.0216,0.092,0.086,0.0,0.0,54.59,50.94,0.0,0.0008,3.0,0.019,0.0,0.153,0.021,0.002,0.001,19.1,18.145,0.0136,0.0079,0.07,,0.0,0.0,0.013,0.01,0.0,0.0,0.039,0.0241,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_101,8.5,8.3,6.97,3.447,0.39,2.28,0.64,42.19,634.0,22.0,14.0,8.26,118.0,260.3,0.34,7.0,10.0,0.004,0.0013,5.0,7.0,4.0,,,21000.0,20000.0,0.4,0.0,0.0,0.0232,0.0201,0.098,0.098,0.0,0.0,49.55,47.03,0.0,0.0007,3.0,0.011,0.0,0.163,0.027,0.002,0.0013,17.07,16.544,0.0175,0.0088,0.07,,0.002,0.002,0.011,0.013,0.0,0.0,0.035,0.0217,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_96,9.9,4.0,6.88,1.789,0.41,2.26,0.47,58.24,1082.0,31.0,12.0,77.3,151.0,497.0,0.2,10.0,15.0,0.007,0.0012,,,,<5.44,10.59,21000.0,,5.8,0.0,0.0,0.0529,0.0357,0.071,0.073,0.0,0.0,71.33,63.23,0.007,0.0012,3.0,0.026,0.002,2.971,0.049,0.012,0.0,28.68,25.159,0.1047,0.0408,0.07,,0.004,0.0,0.0,0.005,0.0,0.0,0.064,0.0159,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-14 00:00:00,ww_92,7.8,9.6,7.67,7.384,1.36,2.63,0.85,109.48,992.0,8.0,0.0,13.0,173.0,364.1,0.62,8.0,9.0,0.005,0.0014,4.5,6.0,0.0,,,190.0,,2.6,0.0,0.0,0.0313,0.026,0.229,0.231,0.0,0.0,79.94,76.97,0.0,0.0009,3.0,0.014,0.0,0.535,0.028,0.004,0.0,30.43,29.537,0.0409,0.033,0.05,,0.005,0.004,0.018,0.017,0.0,0.0,0.042,0.0262,,,,,,
2005-02-22 00:00:00,ww_74,10.9,3.8,7.42,2.145,0.85,1.88,0.26,44.07,516.0,14.0,3.0,6.1,158.0,175.5,0.3,4.0,6.0,0.0,0.0003,,,,<2.90,4.97,170.0,180.0,1.7,0.0,0.0,0.0279,0.0266,0.089,0.086,0.0,0.0,58.15,56.92,0.0,0.0,2.0,0.015,0.0,0.167,0.012,0.0,0.0,21.89,21.484,0.0158,0.012,0.0,,0.0,0.0,0.022,0.01,0.0,0.0,0.027,0.0157,,,,,,
2005-02-22 00:00:00,ww_100,9.2,4.9,7.52,2.645,1.09,2.1,0.29,49.65,624.0,3.0,0.0,5.37,167.0,211.8,0.37,5.0,7.0,0.0,0.0007,,,,<3.17,4.11,790.0,,2.4,0.0,0.0,0.0292,0.0277,0.101,0.098,0.0,0.0,63.47,61.41,0.0,0.0,0.0,0.02,0.0,0.155,0.016,0.003,0.0,23.8,23.384,0.0191,0.0159,0.0,,0.002,0.0,0.011,0.0,0.0,0.0,0.03,0.0193,,,,,,
2005-02-22 00:00:00,ww_39,8.0,5.3,7.47,3.012,1.49,2.57,0.42,53.23,728.0,0.0,0.0,6.61,175.0,274.2,0.42,6.0,7.0,0.002,0.0007,2.6,,,,,1300.0,,3.3,0.0,0.0,0.0299,0.0285,0.111,0.112,0.0,0.0,66.05,64.27,0.0,0.0,2.0,0.014,0.002,0.17,0.021,0.0,0.0,24.98,24.973,0.0249,0.0234,0.0,,0.002,0.002,0.014,0.005,0.0,0.0,0.031,0.0219,,,,,,
2005-02-22 00:00:00,ww_108,8.4,6.3,7.36,4.306,2.47,3.67,0.6,68.78,732.0,11.0,0.0,4.92,204.0,275.8,0.6,10.0,10.0,0.002,0.0008,3.2,,,,,550.0,,1.3,0.0,0.0,0.0343,0.0289,0.153,0.153,0.0,0.0,79.58,73.46,0.0,0.0,2.0,0.021,0.0,0.422,0.036,0.005,0.0,31.69,29.846,0.0348,0.0264,0.0,,0.004,0.003,0.019,0.011,0.0,0.0,0.051,0.029,,,,,,
2005-02-22 00:00:00,ww_99,7.4,4.8,7.2,3.422,1.92,2.72,0.41,63.09,754.0,6.0,0.0,6.76,192.0,288.0,0.47,7.0,8.0,0.003,0.0008,2.2,,,,,190.0,,10.0,0.0,0.0,0.0332,0.0297,0.134,0.129,0.0,0.0,74.24,72.58,0.0,0.0,2.0,0.014,0.0,0.315,0.025,0.003,0.0,29.71,28.439,0.0306,0.0266,0.0,,0.002,0.002,0.012,0.013,0.0,0.0,0.043,0.0219,,,,,,
2005-02-22 00:00:00,ww_40,8.4,6.8,7.37,3.92,2.16,3.42,0.5,67.71,756.0,6.0,0.0,10.7,202.0,278.6,0.58,8.0,10.0,0.003,0.0009,2.6,,,,,420.0,370.0,5.1,0.0,0.0,0.0333,0.0299,0.15,0.151,0.0,0.0,75.89,76.4,0.0,0.0,2.0,0.016,0.0,0.403,0.029,0.005,0.0,30.4,30.297,0.0314,0.0249,0.0,,0.004,0.003,0.023,0.013,0.0,0.0,0.049,0.031,,,,,,
2005-02-22 00:00:00,ww_75,8.3,12.1,8.5,3.6,1.61,2.86,0.43,74.33,796.0,11.0,0.0,14.6,200.0,296.8,0.46,6.0,9.0,0.002,0.0008,2.9,,,<4.01,8.83,230.0,210.0,5.3,0.0,0.0,0.0363,0.0305,0.131,0.14,0.0,0.0,86.11,75.75,0.004,0.0,2.0,0.018,0.0,0.487,0.024,0.012,0.0,32.68,30.345,0.0327,0.0245,0.09,,0.005,0.002,0.008,0.014,0.0,0.0,0.045,0.0303,,,,,,
2005-02-22 00:00:00,ww_41,9.7,8.3,8.28,8.732,1.12,2.08,0.54,94.96,852.0,3.0,0.0,8.13,161.0,319.5,0.63,8.0,8.0,0.004,0.0008,3.6,,,<4.08,8.98,200.0,250.0,2.2,0.0,0.0,0.0263,0.0245,0.187,0.188,0.0,0.0,70.34,70.5,0.0,0.0013,2.0,0.02,0.0,0.189,0.029,0.002,0.0,27.3,27.517,0.0198,0.0158,0.0,,0.005,0.005,0.011,0.024,0.0,0.0,0.064,0.0389,,,,,,
2005-02-22 00:00:00,ww_92,7.5,10.8,7.67,6.013,0.89,2.15,0.66,103.16,752.0,12.0,0.0,13.1,176.0,277.2,0.53,8.0,9.0,0.005,0.0007,2.1,,,4.05,9.37,160.0,,1.6,0.0,0.0,0.0288,0.0247,0.206,0.203,0.0,0.0,74.87,72.88,0.0,0.001,2.0,0.019,0.0,0.548,0.033,0.002,0.001,29.31,28.235,0.0344,0.0279,0.0,,0.005,0.004,0.01,0.01,0.0,0.0,0.051,0.0252,,,,,,
2005-02-22 00:00:00,ww_42,6.0,9.0,7.61,6.268,0.83,2.04,0.48,89.34,1018.0,3.0,0.0,7.22,169.0,394.8,0.55,7.0,10.0,0.004,0.001,2.0,,,,,2100.0,1300.0,1.4,0.0,0.0,0.0267,0.0241,0.175,0.175,0.0,0.0,73.9,71.24,0.0,0.0007,2.0,0.016,0.0,0.224,0.035,0.002,0.0021,29.22,28.162,0.0204,0.0178,0.0,,0.005,0.005,0.008,0.012,0.0,0.0,0.047,0.0233,,,,,,
2005-02-22 00:00:00,ww_48,7.8,4.2,6.76,5.799,0.8,2.01,0.78,104.68,818.0,17.0,4.0,12.6,179.0,283.2,0.52,8.0,8.0,0.004,0.001,2.6,,,,,730.0,620.0,1.5,0.0,0.0,0.0291,0.025,0.178,0.178,0.0,0.0,76.51,74.75,0.0,0.0008,2.0,0.013,0.0,0.576,0.03,0.004,0.0,29.77,29.008,0.0359,0.0268,0.0,,0.006,0.003,0.012,0.007,0.0,0.0,0.038,0.0225,,,,,,
