collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2012-10-15 00:00:00,945.0,ww_92,6.3,16.9,6.43,6.749,0.43,1.09,1.25,89.9,556.0,9.0,<4,,126.0,118.0,0.78,4.4,<5,<0.005,<0.001,<5,1.8,4.0,360.0,2.7,,<0.02,0.018,,0.24,,,,<0.001,50.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.022,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-10-15 00:00:00,950.0,ww_48,5.8,16.0,7.26,7.151,0.66,1.74,1.7,80.98,544.0,13.0,<4,,127.0,113.0,0.82,4.7,<5,<0.005,0.0012,<5,,,4100.0,2.6,,<0.02,0.019,,0.26,,,,<0.001,50.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.027,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,,,,,,,
2012-10-22 00:00:00,1000.0,ww_86,2.8,14.3,6.75,<0.15,2.94,3.2,0.77,38.59,340.0,7.0,<4,,131.0,65.0,0.33,6.2,<5,<0.005,<0.001,<5,,,240.0,5.5,,<0.02,0.016,,0.16,x,,,<0.001,43.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,10.0,,0.165,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,,,,,,,
2012-10-22 00:00:00,1045.0,ww_56,6.0,16.2,7.26,4.267,0.16,<1,2.49,66.24,466.0,10.0,<4,,133.0,86.0,0.52,3.9,<5,<0.005,<0.001,<5,<1.60,2.3,730.0,2.8,,<0.02,0.018,,0.14,,,,<0.001,47.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,16.0,,0.018,,<0.2,,,<0.005,0.009,,0.001,0.001,,0.02,,,,,,,
2012-10-22 00:00:00,1105.0,ww_76,5.8,16.7,7.24,5.231,0.22,1.0,3.44,92.93,566.0,9.0,<4,,147.0,106.0,0.61,4.9,<5,<0.005,0.001,<5,<1.50,2.5,1200.0,2.3,,<0.02,0.016,,0.19,,,,<0.001,54.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,18.0,,0.029,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.02,,,,,,,
2012-10-22 00:00:00,1120.0,ww_57,6.4,13.5,7.63,2.66,0.15,1.07,0.64,272.38,842.0,22.0,<4,,158.0,123.0,0.51,5.3,<5,<0.005,<0.001,,<1.80,3.0,110.0,3.3,,<0.02,0.025,,0.19,,,,<0.001,54.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,20.0,,0.078,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.01,<8.0,,,,,,
2012-10-22 00:00:00,850.0,ww_59,6.5,15.9,6.51,4.765,0.47,1.24,3.19,152.71,606.0,20.0,<4,,130.0,100.0,0.58,5.5,<5,<0.005,<0.001,<5,,,560.0,1.2,,<0.02,0.018,,0.17,,,,<0.001,51.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,18.0,,0.061,,<0.2,,,<0.005,0.008,,0.001,0.001,,0.02,,,,,,,
2012-10-22 00:00:00,915.0,ww_43,5.9,15.9,6.98,5.156,0.35,1.1,1.07,80.87,472.0,4.0,<4,,119.0,92.0,0.57,4.6,<5,<0.005,<0.001,<5,,,580.0,3.2,,<0.02,0.015,,0.19,,,,<0.001,43.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,14.0,,0.026,,<0.2,,,<0.005,0.006,,0.001,0.001,,0.02,,,,,,,
2012-10-22 00:00:00,950.0,ww_92,5.6,17.8,6.62,6.271,0.49,1.36,1.31,108.51,592.0,11.0,<4,,129.0,117.0,0.73,5.5,<5,0.006,0.0011,<5,,,170.0,2.2,,<0.02,0.018,,0.24,,,,<0.001,49.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.043,,<0.2,,,0.005,0.006,,0.001,0.001,,0.02,,,,,,,
2012-10-29 00:00:00,910.0,ww_92,5.3,12.7,6.17,6.41,0.61,1.46,1.11,87.51,508.0,7.0,<4,,139.0,116.0,0.7,4.7,<5,<0.005,<0.001,<5,,,760.0,1.6,,0.02,0.018,,0.2,,,,<0.001,52.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.028,,<0.2,,,0.006,0.007,,0.001,0.001,,0.02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reporting_limit,,,,,,0.15,0.1,1.0,0.1,5.0,60.0,4.0,,1.0,10.0,10.0,0.1,1.0,5.0,0.005,0.001,5.0,,,10.0,,,0.02,0.004,,0.05,,,,0.001,1.0,,,0.005,6.0,,0.005,,0.1,,0.02,1.0,,0.001,,0.2,,,0.005,0.005,,0.001,0.001,,0.01,0.5*,2.0,2.0,2.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*_ll_hg:_based_on_the_sample_matrix_some_samples_need_to_be_diluted_x2,_x5_and_x10.__the_reporting_limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"of_0.5_ng/l_for_ll_hg_will_then_change_by_the_same_factor_resulting_in_reporting_limits_of_1.0,_2.5,_and_5.0_ng/l_respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww_77_10/1/2012:_no_sample;_insufficient_flow_for_sample_collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x=matrix_spike_recovery_failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
