collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,o_xylene,m__and/or_p_xylenes,xylenes_(total),,
2012-02-06 00:00:00,915.0,ww_109,10.1,4.8,7.12,5.08,0.15,<1,0.71,88.55,1038.0,8.0,2.0,4.75,213.0,,409.0,0.35,3.7,<5,0.005,0.0015,,<2.80,3.6,220.0,7.0,a,<0.05,<0.02,0.039,0.037,0.15,0.16,<0.001,<0.001,94.0,91.0,<0.005,<0.005,<6,0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,37.0,0.056,0.042,,<0.2,,0.006,0.006,<0.005,<0.005,0.002,0.002,0.02,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,935.0,ww_22,12.1,4.2,7.5,4.25,0.12,<1,0.41,75.64,824.0,9.0,3.0,6.59,234.0,,276.0,0.3,3.9,<5,<0.005,0.0016,,<2.20,3.0,210.0,8.4,a,<0.05,<0.02,0.039,0.039,0.11,0.12,<0.001,0.001,86.0,84.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,38.0,0.041,0.027,,<0.2,,0.005,<0.005,<0.005,<0.005,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1010.0,ww_23,12.0,3.8,7.42,3.848,0.1,<1,0.38,77.84,838.0,9.0,3.0,7.32,236.0,,291.0,0.29,4.0,<5,<0.005,0.0016,,<2.40,2.1,110.0,8.4,a,<0.05,<0.02,0.04,0.039,0.1,0.11,<0.001,0.001,89.0,86.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,39.0,38.0,0.04,0.029,,<0.2,,0.005,<0.005,0.005,<0.005,0.002,0.002,0.01,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1110.0,ww_29,12.7,4.4,8.34,4.14,0.12,<1,0.38,76.59,882.0,6.0,2.0,5.69,236.0,,299.0,0.29,3.8,<5,0.01,0.001,,<2.60,2.2,70.0,13.0,a,<0.05,<0.02,0.041,0.04,0.11,0.11,<0.001,0.001,90.0,86.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,40.0,38.0,0.039,0.034,,<0.2,,<0.005,<0.005,0.005,<0.005,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1210.0,ww_91,13.4,4.1,8.27,3.866,<0.1,<1,0.35,76.87,844.0,7.0,3.0,4.87,237.0,e,307.0,0.29,3.8,<5,<0.005,0.0014,,<2.30,10.0,30.0,15.7,a,<0.05,<0.02,0.04,0.038,0.11,0.11,<0.001,<0.001,90.0,87.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,39.0,38.0,0.046,0.032,,<0.2,,0.005,<0.005,0.005,0.006,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,900.0,ww_79,8.1,3.0,6.89,0.304,<0.1,<1,<0.1,85.88,968.0,13.0,4.0,14.7,239.0,,464.0,0.18,4.0,<5,0.005,0.0016,,<2.80,1.8,40.0,9.5,a,<0.05,<0.02,0.05,0.047,0.06,0.07,<0.001,<0.001,99.0,95.0,<0.005,<0.005,<6,<0.005,<0.005,0.8,<0.1,<0.02,<0.02,42.0,41.0,0.115,0.092,,<0.2,,0.005,<0.005,0.007,0.005,0.002,0.002,0.01,<0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,930.0,ww_80,9.8,1.1,7.11,5.252,0.14,1.16,0.75,78.45,958.0,7.0,3.0,4.05,189.0,,391.0,0.4,4.5,<5,<0.005,0.0017,,<2.60,4.0,1000.0,8.7,a,<0.05,<0.02,0.036,0.035,0.14,0.15,<0.001,<0.001,83.0,79.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,0.1,<0.02,<0.02,33.0,32.0,0.05,0.026,,<0.2,,0.006,0.005,<0.005,<0.005,0.002,0.002,0.02,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1010.0,ww_18,9.5,2.0,7.26,4.992,0.16,1.19,0.74,79.3,870.0,6.0,3.0,3.58,192.0,,410.0,0.39,4.5,<5,<0.005,0.0019,,<2.30,2.4,880.0,10.8,a,<0.05,<0.02,0.037,0.035,0.14,0.14,<0.001,<0.001,85.0,80.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,0.1,<0.02,<0.02,34.0,32.0,0.066,0.041,,<0.2,,0.005,0.006,0.005,<0.005,0.002,0.002,0.02,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1110.0,ww_90,9.4,1.3,7.36,0.235,<0.1,<1,<0.1,53.87,770.0,9.0,3.0,5.06,269.0,,293.0,0.16,4.8,<5,<0.005,0.0013,,<2.20,1.7,<10,9.0,a,<0.05,<0.02,0.064,0.061,<0.05,<0.05,<0.001,<0.001,88.0,85.0,<0.005,<0.005,<6,0.005,<0.005,0.6,<0.1,<0.02,<0.02,39.0,38.0,0.091,0.066,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.002,0.002,0.02,<0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1150.0,ww_110,7.3,1.7,7.47,0.48,0.21,1.16,<0.1,106.73,964.0,21.0,6.0,17.2,302.0,,475.0,0.21,8.1,<5,<0.005,0.0013,,<2.90,<1.70,6300.0,17.0,a,<0.05,<0.02,0.062,0.057,0.05,0.06,<0.001,<0.001,126.0,121.0,0.011,<0.005,<6,<0.005,<0.005,1.3,0.1,<0.02,<0.02,48.0,47.0,0.129,0.12,,<0.2,,0.005,<0.005,0.007,0.006,0.002,0.003,0.01,0.01,<2.5,,,,,,,,
2012-02-06 00:00:00,1250.0,ww_111,10.4,5.3,7.86,8.351,0.17,1.06,1.47,76.15,996.0,21.0,6.0,13.9,221.0,,300.0,0.44,5.4,<5,<0.005,0.0015,,<2.60,5.1,1100.0,27.7,a,<0.05,<0.02,0.049,0.043,0.15,0.14,<0.001,<0.001,95.0,90.0,<0.005,<0.005,<6,<0.005,<0.005,0.8,<0.1,<0.02,<0.02,38.0,36.0,0.125,0.096,,<0.2,,0.006,0.006,0.005,<0.005,0.002,0.002,0.03,0.02,<2.5,,,,,,,,
2012-02-06 00:00:00,1215.0,ww_89,8.6,9.0,8.01,9.201,<0.10,1.32,1.88,68.96,734.0,21.0,11.0,9.44,212.0,,226.0,0.54,6.4,<5,<0.005,0.0015,,<2.40,4.2,4400.0,5.3,a,<0.05,<0.02,0.044,0.039,0.17,0.18,<0.001,<0.001,86.0,82.0,0.01,<0.005,<6,0.013,0.006,0.5,<0.1,<0.02,<0.02,35.0,33.0,0.128,0.059,,<0.2,,0.009,0.005,<0.005,<0.005,0.002,0.002,0.06,0.04,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1240.0,ww_92,7.1,10.3,7.47,5.886,0.48,1.5,0.77,103.15,852.0,5.0,2.0,5.51,202.0,,309.0,0.58,4.5,<5,<0.005,0.0024,<5,,,90.0,1.8,a,<0.05,<0.02,0.027,0.025,0.21,0.22,<0.001,<0.001,80.0,77.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,30.0,29.0,0.036,0.034,,<0.2,,0.007,0.006,0.007,<0.005,0.002,0.002,0.03,0.02,,,,,,,,,
2012-02-14 00:00:00,915.0,ww_106,9.1,4.1,6.78,9.013,0.5,1.4,1.43,66.59,1726.0,47.0,8.0,31.6,212.0,e,790.0,0.58,3.5,<5,0.006,0.0015,,<4.20,7.2,5900.0,31.0,,<0.05,<0.02,0.095,0.085,0.17,0.18,<0.001,<0.001,100.0,100.0,<0.005,<0.005,<6,0.011,0.007,2.7,<0.1,<0.02,<0.02,45.0,44.0,0.076,0.058,,<0.2,,0.005,<0.005,0.005,<0.005,0.002,0.002,0.03,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1000.0,ww_105,13.4,1.8,8.08,4.472,<0.1,<1,0.37,75.0,940.0,12.0,5.0,8.2,245.0,e,318.0,0.37,3.6,<5,<0.005,0.001,,<2.30,2.1,30.0,25.0,,<0.05,<0.02,0.039,0.037,0.1,0.1,<0.001,<0.001,93.0,90.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,42.0,40.0,0.038,0.017,,<0.2,,<0.005,<0.005,0.008,0.005,0.002,0.002,0.03,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1025.0,ww_104,10.7,1.5,8.61,3.593,<0.1,<1,0.28,75.85,1000.0,12.0,5.0,7.04,252.0,e,355.0,0.33,3.6,<5,<0.005,0.001,,<2.50,2.6,130.0,21.3,,<0.05,<0.02,0.041,0.039,0.09,0.1,<0.001,<0.001,95.0,93.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,43.0,41.0,0.063,0.049,,<0.2,,<0.005,<0.005,0.005,0.005,0.002,0.002,0.02,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1010.0,ww_103,12.6,1.7,7.56,4.926,0.32,<1,0.52,76.43,1594.0,16.0,5.0,11.1,240.0,e,716.0,0.44,2.9,<5,<0.005,0.0021,,<3.70,2.3,1500.0,3.8,,<0.05,<0.02,0.067,0.066,0.12,0.13,<0.001,<0.001,106.0,108.0,<0.005,<0.005,<6,0.006,0.005,0.4,<0.1,<0.02,<0.02,45.0,45.0,0.24,0.113,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.002,0.002,0.02,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1030.0,ww_34,12.8,1.3,7.84,3.775,<0.1,<1,0.52,75.42,1146.0,13.0,4.0,10.3,252.0,e,451.0,0.35,3.3,<5,<0.005,0.0015,,<3.30,2.5,350.0,17.0,,<0.05,<0.02,0.049,0.046,0.1,0.1,<0.001,<0.001,102.0,97.0,<0.005,<0.005,<6,0.005,<0.005,0.4,<0.1,<0.02,<0.02,45.0,42.0,0.104,0.072,,<0.2,,0.005,<0.005,<0.005,0.006,0.002,0.002,0.02,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1120.0,ww_37,9.0,1.9,7.32,7.714,0.96,1.75,1.4,56.23,710.0,8.0,3.0,4.43,167.0,e,222.0,0.69,4.6,<5,<0.005,0.0014,<5,,,3900.0,6.1,,<0.05,<0.02,0.029,0.028,0.15,0.15,<0.001,<0.001,70.0,68.0,<0.005,<0.005,<6,0.005,<0.005,0.2,<0.1,<0.02,<0.02,28.0,26.0,0.036,0.029,,<0.2,,<0.005,<0.005,0.005,0.005,0.001,0.001,0.03,0.03,,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1145.0,ww_73,8.2,7.8,7.01,6.792,1.17,2.18,1.23,56.77,668.0,17.0,6.0,6.48,168.0,e,221.0,0.71,5.0,<5,<0.005,0.0015,<5,,,2100.0,6.3,,<0.05,<0.02,0.029,0.028,0.16,0.17,<0.001,<0.001,68.0,69.0,<0.005,<0.005,<6,0.006,<0.005,0.2,0.1,<0.02,<0.02,27.0,26.0,0.072,0.051,,<0.2,,0.005,<0.005,<0.005,<0.005,0.001,0.001,0.03,0.03,,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1220.0,ww_46,8.9,5.9,7.13,7.698,0.89,1.84,1.12,64.09,816.0,18.0,6.0,12.4,170.0,e,320.0,0.69,4.7,<5,<0.005,0.0021,<5,,,1300.0,3.8,,<0.05,<0.02,0.033,0.029,0.15,0.16,<0.001,<0.001,75.0,73.0,0.005,<0.005,<6,0.007,<0.005,0.5,<0.1,<0.02,<0.02,29.0,27.0,0.058,0.029,,<0.2,,0.008,0.005,<0.005,0.005,0.001,0.001,0.04,0.03,,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1200.0,ww_102,7.5,11.2,7.01,7.005,1.16,2.36,1.38,54.85,562.0,6.0,4.0,2.3,156.0,e,175.0,0.8,4.9,<5,<0.005,0.0018,<5,<1.70,4.5,6000.0,15.2,,<0.05,<0.02,0.025,0.025,0.17,0.19,<0.001,<0.001,62.0,63.0,<0.005,<0.005,<6,0.005,0.005,0.1,<0.1,<0.02,<0.02,23.0,23.0,0.017,n/a,q,<0.2,,0.005,<0.005,<0.005,<0.005,0.001,0.001,0.03,0.03,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1230.0,ww_36,5.9,10.8,6.98,6.918,1.12,2.29,1.41,52.53,550.0,5.0,4.0,3.59,155.0,e,170.0,0.79,4.9,<5,<0.005,0.0015,<5,<1.80,3.9,6700.0,0.8,,<0.05,<0.02,0.025,0.024,0.18,0.18,<0.001,<0.001,62.0,60.0,<0.005,<0.005,<6,0.008,0.006,0.1,<0.1,<0.02,<0.02,23.0,22.0,0.022,0.021,,<0.2,,0.005,<0.005,<0.005,0.005,0.001,0.001,0.04,0.04,,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1300.0,ww_101,5.5,10.3,7.11,8.169,1.41,2.42,1.4,52.81,554.0,6.0,3.0,2.83,152.0,e,172.0,0.79,4.8,<5,<0.005,0.0016,<5,,,4900.0,4.9,,<0.05,<0.02,0.025,0.026,0.16,0.18,<0.001,<0.001,63.0,64.0,<0.005,<0.005,<6,0.006,0.006,0.1,<0.1,<0.02,<0.02,24.0,23.0,0.021,n/a,q,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.001,0.03,0.04,,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,1320.0,ww_96,7.0,2.1,7.3,3.467,<0.1,<1,0.24,74.42,1134.0,5.0,2.0,4.02,258.0,e,476.0,0.68,3.1,<5,<0.005,0.0014,,<3.10,3.1,260.0,12.6,,<0.05,<0.02,0.046,0.046,0.1,0.11,<0.001,<0.001,100.0,99.0,<0.005,<0.005,<6,0.007,0.005,0.2,<0.1,<0.02,<0.02,44.0,42.0,0.071,0.061,,<0.2,,<0.005,<0.005,0.005,<0.005,0.002,0.002,0.02,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-14 00:00:00,930.0,ww_92,5.6,10.2,7.61,7.791,0.49,1.31,1.08,101.18,736.0,11.0,3.0,4.64,168.0,e,231.0,0.68,4.9,<5,<0.005,0.0019,<5,,,170.0,2.1,,<0.05,<0.02,0.026,0.022,0.23,0.23,<0.001,<0.001,79.0,73.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,30.0,27.0,0.066,0.024,,<0.2,,0.008,0.007,<0.005,<0.005,0.001,0.001,0.03,0.02,,,,,,,,,
2012-02-21 00:00:00,935.0,ww_74,11.2,4.9,6.29,2.858,0.37,<1,0.26,40.72,516.0,<4,0.0,<1,138.0,e,171.0,0.37,2.7,<5,<0.005,0.0016,,<1.70,2.5,60.0,1.0,,<0.05,<0.02,0.027,0.026,0.07,0.07,<0.001,<0.001,53.0,52.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,19.0,19.0,0.021,0.015,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.001,0.01,0.02,<2.5,,,,,,,,
2012-02-21 00:00:00,1000.0,ww_100,5.9,6.4,6.33,5.309,0.66,1.3,0.75,49.74,718.0,5.0,2.0,2.21,147.0,e,267.0,0.53,3.6,<5,<0.005,0.0024,,<2.10,2.0,420.0,4.2,,<0.05,<0.02,0.029,0.027,0.1,0.1,<0.001,<0.001,62.0,59.0,<0.005,<0.005,<6,0.006,0.005,0.2,<0.1,<0.02,<0.02,22.0,21.0,0.066,0.067,,<0.2,,0.005,<0.005,0.006,0.009,0.001,0.001,0.02,0.02,<2.5,,,,,,,,
2012-02-21 00:00:00,1035.0,ww_39,8.5,7.2,7.22,8.217,1.4,2.47,1.14,59.39,816.0,20.0,5.0,11.1,160.0,e,299.0,0.74,4.5,<5,<0.005,0.0027,<5,,,860.0,8.5,,<0.05,<0.02,0.034,0.027,0.15,0.14,<0.001,<0.001,71.0,68.0,<0.005,<0.005,<6,0.009,<0.005,0.6,<0.1,<0.02,<0.02,27.0,26.0,0.04,0.03,,<0.2,,0.006,<0.005,<0.005,0.01,0.001,0.001,0.04,0.03,,,,,,,,,
2012-02-21 00:00:00,1110.0,ww_108,7.0,9.1,7.34,6.76,1.17,2.17,1.0,57.51,788.0,7.0,3.0,3.1,162.0,e,292.0,0.7,4.1,<5,<0.005,0.0024,<5,,,300.0,9.0,,<0.05,<0.02,0.031,0.027,0.15,0.14,<0.001,<0.001,71.0,66.0,<0.005,<0.005,<6,0.006,0.005,0.2,<0.1,<0.02,<0.02,26.0,25.0,0.031,0.025,,<0.2,,0.005,<0.005,<0.005,<0.005,0.001,0.001,0.03,0.03,,,,,,,,,
2012-02-21 00:00:00,1135.0,ww_99,6.5,10.3,7.52,7.4,0.96,1.89,1.05,60.4,766.0,8.0,2.0,5.33,165.0,e,273.0,0.7,4.4,<5,<0.005,0.0012,<5,,,150.0,14.8,,<0.05,<0.02,0.03,0.026,0.15,0.15,<0.001,<0.001,71.0,67.0,<0.005,<0.005,<6,0.01,0.005,0.3,<0.1,<0.02,<0.02,26.0,25.0,0.056,0.036,,<0.2,,0.007,<0.005,<0.005,0.005,0.001,0.001,0.04,0.03,,,,,,,,,
2012-02-21 00:00:00,1200.0,ww_40,6.7,9.8,7.41,7.424,0.99,1.96,1.09,61.24,780.0,9.0,2.0,5.47,165.0,e,274.0,0.72,4.6,<5,<0.005,0.0015,<5,,,120.0,10.9,,<0.05,<0.02,0.031,0.026,0.15,0.15,<0.001,<0.001,72.0,66.0,<0.005,<0.005,<6,0.01,0.005,0.3,<0.1,<0.02,<0.02,27.0,25.0,0.062,0.05,,<0.2,,0.005,<0.005,<0.005,0.006,0.001,0.001,0.04,0.03,,,,,,,,,
2012-02-21 00:00:00,850.0,ww_75,6.4,10.9,7.14,8.111,0.97,2.37,1.06,62.75,780.0,20.0,4.0,5.6,169.0,e,276.0,0.72,4.4,<5,<0.005,0.0016,<5,<2.60,4.5,<10,6.5,,<0.05,<0.02,0.033,0.025,0.16,0.15,<0.001,<0.001,74.0,70.0,<0.005,<0.005,<6,0.008,<0.005,0.6,<0.1,<0.02,<0.02,28.0,26.0,0.1,0.073,,<0.2,,0.007,0.005,<0.005,0.006,0.001,0.001,0.04,0.03,,,,,,,,,
2012-02-21 00:00:00,915.0,ww_41,7.6,7.3,6.82,14.095,0.33,1.63,1.12,92.48,750.0,8.0,1.0,3.25,127.0,e,229.0,0.8,5.4,<5,0.005,0.0011,<5,<2.20,5.6,1600.0,1.3,,<0.05,<0.02,0.021,0.019,0.2,0.2,<0.001,<0.001,69.0,64.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,24.0,23.0,0.016,0.011,,<0.2,,0.009,0.007,<0.005,<0.005,0.001,0.001,0.03,0.02,,,,,,,,,
2012-02-21 00:00:00,1135.0,ww_92,5.5,11.8,7.11,7.554,1.74,2.76,1.59,110.94,862.0,4.0,1.0,2.01,177.0,e,287.0,0.77,5.2,<5,<0.005,0.0024,<5,<2.10,4.9,270.0,2.6,,<0.05,<0.02,0.024,0.022,0.28,0.28,<0.001,<0.001,78.0,75.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,28.0,27.0,0.035,n/a,q,<0.2,,0.008,0.007,<0.005,0.007,0.001,0.001,0.03,0.03,,,,,,,,,
2012-02-21 00:00:00,945.0,ww_42,5.9,12.2,6.98,11.88,0.44,1.56,1.04,88.72,834.0,6.0,1.0,2.12,141.0,e,275.0,0.81,5.4,<5,0.006,0.0028,<5,,,380.0,3.2,,<0.05,<0.02,0.021,0.018,0.29,0.29,<0.001,<0.001,70.0,67.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,24.0,24.0,0.02,0.017,,<0.2,,0.01,0.009,0.005,0.008,0.001,0.001,0.03,0.03,,,,,,,,,
2012-02-21 00:00:00,1030.0,ww_48,6.7,8.9,7.43,8.354,0.63,1.37,1.16,99.73,862.0,6.0,0.0,4.0,173.0,e,293.0,0.75,4.9,<5,<0.005,0.0027,<5,,,130.0,2.0,,<0.05,<0.02,0.024,0.021,0.26,0.25,<0.001,<0.001,78.0,74.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,28.0,27.0,0.039,0.037,,<0.2,,0.008,0.006,<0.005,<0.005,0.001,0.001,0.02,0.02,,,,,,,,,
