Collect    ,Time ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
2012-04-02 00:00:00,1135.0,WW_110,8.0,11.3,7.7,0.302,,<0.1,<1,0.26,56.32,658.0,18.0,6.0,,193.0,211.0,,0.52,6.2,<5,<0.005,<0.001,,<2.20,2.0,2800.0,10.8,<0.05,<0.02,0.042,0.038,<0.05,0.05,AY,<0.001,<0.001,74.0,76.0,<0.005,<0.005,<6,<0.005,<0.005,0.8,0.1,<0.02,<0.02,28.0,28.0,0.122,0.101,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.002,0.06,0.05,<5.0,,,,,,,
2012-04-02 00:00:00,1235.0,WW_111,9.4,14.0,7.99,10.702,,0.28,1.56,1.73,67.87,726.0,36.0,9.0,,172.0,239.0,,0.52,5.7,<5,<0.005,0.0014,,<2.60,5.9,360.0,15.1,<0.05,<0.02,0.042,0.035,0.14,0.15,AY,<0.001,<0.001,77.0,76.0,<0.005,<0.005,<6,0.005,<0.005,0.9,<0.1,<0.02,<0.02,30.0,29.0,0.104,0.052,,<0.2,,0.005,<0.005,0.005,<0.005,0.001,0.001,0.04,0.03,<5.0,,,,,,,
2012-04-02 00:00:00,1155.0,WW_89,8.1,15.0,7.64,12.965,,0.14,1.53,2.22,63.12,652.0,17.0,7.0,,166.0,177.0,,0.63,5.6,<5,<0.005,0.0013,,<2.00,5.0,2000.0,3.8,<0.05,<0.02,0.034,0.032,0.21,0.22,AY,<0.001,<0.001,71.0,72.0,<0.005,<0.005,<6,0.006,0.006,0.2,<0.1,<0.02,<0.02,28.0,28.0,0.07,0.053,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.001,0.04,0.04,7.495,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1310.0,WW_92,5.1,16.6,7.47,6.462,,0.69,1.54,0.87,80.77,648.0,8.0,3.0,,154.0,181.0,,0.56,4.9,<5,0.011,0.0021,<5.0,,,50.0,2.3,<0.05,<0.02,0.022,0.02,0.23,0.23,AY,<0.001,<0.001,63.0,64.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,23.0,23.0,0.037,0.035,,<0.2,,0.006,0.006,<0.005,0.006,0.001,0.001,0.02,0.02,,,,,,,,
2012-04-09 00:00:00,955.0,WW_31,4.8,14.4,7.13,<0.15,,0.12,<1,<0.1,67.05,1010.0,4.0,2.0,,263.0,393.0,,0.23,5.1,<5,<0.005,<0.001,,<2.70,2.9,490.0,4.8,<0.05,<0.02,0.041,0.04,0.09,0.09,,<0.001,0.001,86.0,84.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,0.1,<0.02,<0.02,41.0,41.0,0.117,0.113,,<0.2,,<0.005,<0.005,0.006,0.007,0.002,0.002,0.01,0.01,2.665,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1020.0,WW_32,6.6,11.9,7.19,0.275,,0.51,1.43,0.17,70.77,922.0,10.0,3.0,,271.0,332.0,,0.31,4.9,5.0,<0.005,<0.001,,<2.70,<1.60,10000.0,6.2,<0.05,<0.02,0.052,0.048,0.11,0.11,,<0.001,0.001,94.0,91.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,0.1,<0.02,<0.02,41.0,41.0,0.14,0.116,,<0.2,,<0.005,<0.005,0.008,0.006,0.002,0.002,0.01,<0.01,<4.0,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1110.0,WW_105,7.9,14.0,8.02,8.023,,<0.1,<1,0.96,63.92,736.0,17.0,4.0,,188.0,241.0,,0.57,4.1,<5,<0.005,<0.001,,<2.30,4.2,70.0,8.1,<0.05,<0.02,0.031,0.027,0.14,0.13,,<0.001,<0.001,71.0,68.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,35.0,34.0,0.046,0.025,,<0.2,,<0.005,<0.005,0.009,<0.005,0.001,0.001,0.02,0.02,<4.0,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1140.0,WW_104,9.7,13.1,7.93,5.96,,<0.1,1.04,0.67,67.5,760.0,8.0,2.0,,206.0,276.0,,0.5,4.3,<5,<0.005,<0.001,,<2.60,3.3,50.0,8.5,<0.05,<0.02,0.031,0.029,0.13,0.12,,<0.001,<0.001,74.0,71.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,37.0,36.0,0.052,0.034,,<0.2,,<0.005,<0.005,0.006,<0.005,0.001,0.001,0.02,0.01,<4.0,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,920.0,WW_103,8.1,13.8,7.72,2.235,,<0.1,1.23,0.41,63.55,908.0,56.0,10.0,,217.0,361.0,,0.53,3.8,<5,<0.005,0.0011,,<2.50,4.8,1800.0,50.8,<0.05,<0.02,0.059,0.048,0.12,0.11,,<0.001,<0.001,89.0,81.0,<0.005,<0.005,<6,<0.005,<0.005,1.1,<0.1,<0.02,<0.02,38.0,35.0,0.091,0.032,,<0.2,,<0.005,<0.005,0.007,<0.005,0.002,0.002,0.02,0.01,23.976,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1005.0,WW_34,10.2,13.1,8.35,2.998,,<0.1,1.38,0.51,73.5,1062.0,38.0,8.0,,240.0,422.0,,0.45,4.4,<5,0.005,<0.001,,<2.90,4.6,150.0,60.6,<0.05,<0.02,0.061,0.05,0.15,0.13,,<0.001,0.001,99.0,91.0,<0.005,<0.005,<6,<0.005,<0.005,1.1,<0.1,<0.02,<0.02,44.0,41.0,0.103,0.024,,<0.2,,<0.005,<0.005,0.007,0.006,0.002,0.002,0.02,0.01,17.144,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1105.0,WW_37,6.9,15.8,7.69,9.359,,0.93,1.87,1.23,53.67,540.0,5.0,2.0,,152.0,157.0,,0.75,4.6,<5,<0.005,0.0012,<5.0,,,3100.0,1.4,<0.05,<0.02,0.023,0.021,0.16,0.15,,<0.001,<0.001,61.0,59.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,23.0,23.0,0.021,0.016,,<0.2,,<0.005,<0.005,0.005,<0.005,0.001,0.001,0.03,0.02,,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1140.0,WW_73,6.3,16.0,7.36,8.709,,2.24,3.47,1.48,56.66,590.0,11.0,4.0,,162.0,172.0,,0.74,5.1,<5,<0.005,0.0013,<5.0,,,3000.0,6.4,<0.05,<0.02,0.034,0.022,0.17,0.17,,<0.001,<0.001,64.0,61.0,<0.005,<0.005,<6,0.005,<0.005,0.4,<0.1,<0.02,<0.02,25.0,24.0,0.034,0.026,,<0.2,,0.005,0.005,0.006,<0.005,0.001,0.001,0.03,0.03,,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1205.0,WW_46,7.1,15.3,7.56,8.194,,0.89,1.97,1.29,58.78,562.0,10.0,3.0,,167.0,177.0,,0.73,4.6,<5,<0.005,0.0013,<5.0,,,580.0,4.3,<0.05,<0.02,0.026,0.023,0.17,0.16,,<0.001,<0.001,65.0,62.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,25.0,24.0,0.032,0.025,,<0.2,,0.005,0.006,0.005,0.006,0.001,0.001,0.04,0.03,,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,935.0,WW_35,10.6,15.3,7.0,<0.15,,<0.1,<1,0.12,74.48,812.0,9.0,4.0,,168.0,336.0,,0.23,3.4,<5,<0.005,<0.001,,<2.50,<1.60,20.0,21.0,<0.05,<0.02,0.036,0.033,0.06,0.06,,<0.001,0.001,65.0,63.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,25.0,25.0,0.023,0.003,,<0.2,,<0.005,<0.005,0.008,<0.005,0.001,0.001,0.01,<0.01,5.382,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1010.0,WW_102,8.0,14.8,7.01,9.135,,1.32,2.49,1.28,55.91,524.0,9.0,4.0,,151.0,150.0,,0.76,5.0,<5,<0.005,0.0014,<5.0,<1.70,4.2,3200.0,14.0,<0.05,<0.02,0.022,0.021,0.16,0.16,,<0.001,<0.001,62.0,60.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,23.0,22.0,0.02,0.013,,<0.2,,<0.005,0.005,<0.005,0.006,0.001,0.001,0.03,0.02,<4.0,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1040.0,WW_36,8.2,15.3,7.18,8.742,,1.58,2.84,1.71,51.05,494.0,3.0,2.0,,151.0,138.0,,0.79,5.3,<5,<0.005,0.0012,<5.0,<1.90,3.2,6800.0,0.6,<0.05,<0.02,0.021,0.02,0.17,0.17,,<0.001,<0.001,58.0,58.0,<0.005,<0.005,<6,<0.005,0.005,0.1,<0.1,<0.02,<0.02,22.0,21.0,0.016,N/A,Q,<0.2,,<0.005,0.005,0.006,<0.005,0.001,0.001,0.03,0.03,,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1115.0,WW_101,7.3,14.8,6.99,10.006,,1.31,2.3,1.41,51.88,490.0,4.0,2.0,,150.0,146.0,,0.79,4.9,<5,<0.005,0.0012,<5.0,,,3800.0,0.7,<0.05,<0.02,0.021,0.02,0.16,0.16,,<0.001,<0.001,59.0,59.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,22.0,22.0,0.013,0.01,,<0.2,,<0.005,<0.005,0.006,<0.005,0.001,0.001,0.02,0.03,,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1135.0,WW_96,10.9,15.1,6.92,6.47,,<0.1,<1,0.61,76.28,888.0,3.0,1.0,,225.0,331.0,,0.47,4.3,<5,<0.005,<0.001,,<2.40,3.8,50.0,4.3,<0.05,<0.02,0.039,0.038,0.13,0.14,,<0.001,0.001,81.0,82.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,38.0,39.0,0.035,0.027,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.002,0.01,0.01,<4.0,,<2,<2,<2,<3,<3,<3
2012-04-09 00:00:00,1325.0,WW_92,6.2,16.0,7.45,7.583,,0.37,1.46,1.63,103.92,722.0,4.0,2.0,,182.0,204.0,,0.62,5.1,<5,<0.005,0.0014,<5.0,,,20.0,3.8,<0.05,<0.02,0.021,0.02,0.24,0.23,,<0.001,<0.001,74.0,73.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,28.0,28.0,0.035,0.029,,<0.2,,0.006,0.007,0.006,0.006,0.001,0.002,0.02,0.02,,,,,,,,
2012-04-16 00:00:00,850.0,WW_74,7.3,15.2,6.92,4.847,,0.38,<1,0.53,43.25,504.0,3.0,1.0,,140.0,148.0,,0.43,3.2,<5,<0.005,<0.001,,<1.80,2.7,590.0,2.9,<0.05,<0.02,0.025,0.024,0.1,0.1,,<0.001,<0.001,52.0,51.0,<0.005,<0.005,<6,0.005,0.005,0.1,<0.1,<0.02,<0.02,20.0,20.0,0.014,N/A,Q,<0.2,,0.005,0.007,0.005,<0.005,0.001,0.001,0.03,0.02,4.684,,,,,,,
2012-04-16 00:00:00,915.0,WW_100,6.0,15.3,7.42,6.016,,0.51,1.05,0.65,46.42,520.0,9.0,2.0,,145.0,155.0,,0.5,3.5,<5,0.005,<0.001,,<1.60,1.7,460.0,3.6,<0.05,<0.02,0.026,0.023,0.11,0.12,,<0.001,<0.001,57.0,54.0,<0.005,<0.005,<6,0.007,0.005,0.2,<0.1,<0.02,<0.02,22.0,21.0,0.037,0.026,,<0.2,,0.005,0.005,<0.005,<0.005,0.001,0.001,0.03,0.02,7.354,,,,,,,
2012-04-16 00:00:00,930.0,WW_39,5.5,15.2,7.13,2.964,,1.25,2.03,0.83,43.1,486.0,13.0,4.0,,129.0,155.0,,0.5,5.4,<5,<0.005,0.0011,<5.0,,,43000.0,6.7,<0.05,<0.02,0.025,0.02,0.11,0.11,,<0.001,<0.001,50.0,48.0,<0.005,<0.005,<6,0.007,<0.005,0.4,0.1,<0.02,<0.02,19.0,18.0,0.061,0.029,,<0.2,,0.005,<0.005,<0.005,<0.005,0.001,0.001,0.04,0.02,,,,,,,,
2012-04-16 00:00:00,955.0,WW_108,5.3,17.2,7.24,8.024,,1.3,2.55,1.25,47.14,486.0,12.0,4.0,,127.0,145.0,,0.65,5.3,<5,<0.005,0.0012,<5.0,,,50000.0,4.5,<0.05,<0.02,0.023,0.019,0.13,0.13,,<0.001,<0.001,52.0,50.0,<0.005,<0.005,<6,0.007,<0.005,0.4,0.1,<0.02,<0.02,20.0,19.0,0.039,0.026,,<0.2,,0.006,0.006,0.008,<0.005,0.001,0.001,0.05,0.03,,,,,,,,
2012-04-16 00:00:00,1025.0,WW_99,2.6,14.2,6.97,<0.15,,4.64,7.95,0.43,30.45,348.0,47.0,26.0,,152.0,92.0,,0.61,21.7,12.0,0.005,0.0015,6.3,,,570000.0,5.5,<0.05,<0.02,0.033,0.026,0.1,0.1,,<0.001,<0.001,45.0,44.0,<0.005,<0.005,<6,0.006,<0.005,1.2,0.2,<0.02,<0.02,12.0,12.0,0.098,0.085,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.001,0.03,0.01,,,,,,,,
2012-04-16 00:00:00,1040.0,WW_40,4.9,14.3,7.32,8.681,,1.4,2.51,1.25,50.8,532.0,16.0,5.0,,142.0,165.0,,0.72,5.2,<5,<0.005,0.0012,<5.0,,,49000.0,5.8,<0.05,<0.02,0.026,0.02,0.15,0.14,,<0.001,<0.001,59.0,56.0,<0.005,<0.005,<6,0.007,<0.005,0.5,0.1,<0.02,<0.02,22.0,21.0,0.047,0.039,,<0.2,,0.007,0.006,0.005,0.005,0.001,0.001,0.04,0.03,,,,,,,,
2012-04-16 00:00:00,835.0,WW_75,6.0,15.0,6.81,8.134,,1.07,1.72,1.0,53.78,582.0,27.0,6.0,,152.0,171.0,,0.71,4.7,<5,<0.005,0.0012,<5.0,<1.60,2.9,7200.0,18.8,<0.05,<0.02,0.03,0.021,0.15,0.16,,<0.001,<0.001,60.0,59.0,0.006,<0.005,<6,0.011,<0.005,0.7,<0.1,<0.02,<0.02,23.0,22.0,0.039,0.023,,<0.2,,0.007,0.006,0.006,<0.005,0.001,0.001,0.05,0.03,,,,,,,,
2012-04-16 00:00:00,1010.0,WW_41,6.6,14.8,7.29,8.201,,1.06,1.7,0.97,52.93,568.0,21.0,6.0,,151.0,171.0,,0.7,4.6,<5,<0.005,0.0011,<5.0,<2.00,4.9,630.0,12.6,<0.05,<0.02,0.028,0.021,0.15,0.15,,<0.001,<0.001,62.0,58.0,0.005,<0.005,<6,0.009,<0.005,0.6,<0.1,<0.02,<0.02,24.0,22.0,0.036,0.024,,<0.2,,0.007,0.007,<0.005,<0.005,0.001,0.001,0.04,0.03,,,,,,,,
2012-04-16 00:00:00,1050.0,WW_92,6.5,17.0,7.22,9.491,,0.44,1.3,1.71,101.67,706.0,9.0,3.0,,166.0,203.0,,0.8,5.6,<5,0.005,0.0015,<5.0,<2.30,5.6,490.0,8.5,<0.05,<0.02,0.018,0.016,0.34,0.35,,<0.001,<0.001,71.0,72.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,26.0,26.0,0.05,0.043,,<0.2,,0.009,0.009,0.008,<0.005,0.001,0.001,0.03,0.03,,,,,,,,
