collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,bod,cbod,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2006-02-06 00:00:00,ww_22,10.7,2.7,5.9,6.191,0.08,1.12,0.55,132.88,910.0,20.0,6.0,19.2,174.0,353.4,0.35,4.2,0.0,0.0,0.0004,,,,<3.75,7.94,400.0,,17.0,0.0,0.0,0.0444,0.0411,0.139,0.136,0.0,0.0012,79.95,80.63,0.003,0.001,0.0,0.003,0.0,0.559,0.023,0.006,0.005,32.9,34.14,0.0405,0.0201,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.023,0.015,4.3,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_23,9.4,2.7,5.8,5.993,0.06,1.14,0.51,126.46,882.0,21.0,8.0,15.9,166.0,352.3,0.36,4.1,0.0,0.0,0.0007,,,,4.88,10.23,560.0,,19.9,0.0,0.0,0.0428,0.0371,0.142,0.135,0.0,0.001,78.63,73.56,0.002,0.002,0.0,0.003,0.0,0.553,0.022,0.006,0.003,32.53,31.1,0.0371,0.0169,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.015,4.2,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_29,10.1,3..1,7.0,6.047,0.1,0.92,0.61,121.06,866.0,16.0,4.0,14.7,166.0,343.9,0.38,4.1,0.0,0.0,0.0006,,,,<4.65,7.15,350.0,,15.6,0.0,0.0,0.0423,0.0398,0.154,0.148,0.0,0.0011,77.16,76.15,0.013,0.004,0.0,0.002,0.0,0.437,0.02,0.005,0.003,31.57,32.06,0.03,0.0164,0.47,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.024,0.018,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_91,9.7,3.1,6.8,5.535,0.19,1.05,0.59,116.09,878.0,19.0,5.0,15.4,161.0,346.1,0.35,4.1,0.0,0.0,0.0008,,,,<4.57,8.28,260.0,,16.3,0.0,0.0,0.0399,0.0359,0.147,0.137,0.0,0.0008,72.59,72.73,0.002,0.001,0.0,0.003,0.0,0.559,0.019,0.007,0.002,30.55,30.1,0.0361,0.0172,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.029,0.018,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_80,11.3,5.8,6.6,5.493,0.05,0.87,1.07,114.08,1112.0,11.0,4.0,8.8,154.0,528.2,0.39,3.8,0.0,0.0,0.0006,,,,<6.86,10.22,450.0,510.0,14.2,0.0,0.0,0.0445,0.0421,0.159,0.151,0.0,0.001,78.6,79.68,0.001,0.001,0.0,0.003,0.0,0.266,0.033,0.005,0.004,29.37,30.29,0.041,0.0133,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.022,3.1,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_18,11.0,4.0,6.2,5.465,0.04,1.0,1.01,118.68,1182.0,12.0,8.0,9.23,153.0,527.0,0.39,3.8,0.0,0.0,0.0008,,,,<6.64,9.09,560.0,400.0,15.6,0.0,0.0,0.0457,0.0426,0.152,0.144,0.0,0.0008,80.81,78.92,0.001,0.001,0.0,0.002,0.0,0.303,0.027,0.007,0.004,30.33,30.15,0.0434,0.0115,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.018,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_90,13.6,1.1,6.05,1.161,0.06,0.94,0.05,131.89,1166.0,15.0,5.0,11.1,185.0,512.8,0.17,4.6,0.0,0.0,0.0004,,,,<7.05,9.76,40.0,,17.3,0.0,0.0,0.0945,0.0895,0.061,0.057,0.0,0.0009,88.67,86.46,0.001,0.001,3.0,0.0,0.0,0.468,0.032,0.005,0.003,37.62,37.78,0.0785,0.0804,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.007,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_89,8.8,3.0,6.15,11.931,0.04,1.13,1.8,152.5,788.0,9.0,3.0,5.75,180.0,230.7,0.57,6.7,0.0,0.003,0.0008,,,,<5.57,11.02,1300.0,,4.5,0.0,0.0,0.0388,0.0381,0.249,0.25,0.0,0.001,86.37,86.88,0.001,0.001,3.0,0.003,0.0,0.183,0.04,0.005,0.002,31.65,32.91,0.042,0.0306,0.0,,0.002,0.002,0.0,0.0,0.0,0.0,0.041,0.038,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_64,10.8,6.0,6.3,10.775,0.26,0.95,1.17,155.71,850.0,17.0,6.0,13.5,166.0,288.6,0.44,5.7,3.0,0.003,0.0011,,,,<6.04,9.91,430.0,,9.6,0.0,0.0,0.042,0.0393,0.186,0.179,0.0,0.0011,88.95,88.85,0.001,0.001,2.0,0.003,0.0,0.386,0.025,0.006,0.003,32.79,32.97,0.0431,0.0352,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.033,0.027,3.2,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_92,6.8,9.1,6.6,8.647,0.45,1.42,0.88,118.44,682.0,16.0,3.0,7.47,146.0,242.5,0.76,4.3,0.0,0.004,0.0014,0.0,,,,,120.0,,1.7,0.0,0.0,0.0232,0.0202,0.276,0.264,0.0,0.0011,65.47,63.68,0.002,0.002,2.0,0.003,0.0,0.303,0.028,0.007,0.002,24.28,24.14,0.0343,0.0279,0.0,,0.005,0.005,0.0,0.0,0.0,0.0,0.035,0.028,,,,,,,
2006-02-14 00:00:00,ww_32,10.4,9.7,7.32,16.262,0.04,1.27,2.4,90.52,790.0,22.0,4.0,8.39,145.0,268.2,0.76,3.1,0.0,0.0,0.0009,,,,<5.37,15.07,400.0,,6.2,0.0,0.0,0.0294,0.0279,0.241,0.231,0.0,0.0011,68.42,69.3,0.001,0.001,0.0,0.008,0.002,0.438,0.031,0.006,0.004,29.43,30.48,0.0282,0.0166,0.0,,0.0,0.0,0.0,0.0,0.0007,0.0,0.035,0.031,4.4,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_105,13.5,6.0,6.91,5.825,0.12,1.79,0.74,114.19,938.0,15.0,6.0,11.8,178.0,354.9,0.43,3.9,0.0,0.0,0.0014,,,,<4.92,7.03,9.0,,35.7,0.0,0.0,0.0354,0.0345,0.144,0.141,0.0,0.0013,76.1,77.91,0.001,0.001,0.0,0.004,0.0,0.209,0.022,0.004,0.003,32.12,33.53,0.0245,0.0055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.015,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_104,10.8,10.5,7.07,3.549,0.92,2.83,0.59,122.88,1222.0,7.0,0.0,7.47,233.0,543.4,0.45,3.5,3.0,0.003,0.0015,,,,<6.14,6.56,18000.0,,25.1,0.0,0.0,0.0478,0.0468,0.153,0.147,0.0,0.0012,90.58,93.15,0.001,0.001,0.0,0.004,0.0,0.236,0.016,0.0,0.004,40.14,41.97,0.0514,0.0409,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.015,2.2,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_103,12.4,4.8,6.8,6.555,0.4,1.46,0.97,135.65,1726.0,16.0,0.0,24.7,203.0,808.6,0.48,3.0,3.0,0.0,0.0016,,,,<13.20,13.91,520.0,,10.7,0.0,0.0,0.0667,0.0627,0.182,0.181,0.0,0.0013,101.11,101.12,0.001,0.001,0.0,0.005,0.0,0.662,0.011,0.005,0.004,40.94,42.07,0.0723,0.0586,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.016,7.3,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_34,12.4,4.1,6.6,5.246,0.18,1.8,0.73,129.33,1172.0,24.0,6.0,18.3,192.0,519.7,0.41,4.0,3.0,0.0,0.0007,,,,<5.36,6.02,420.0,,25.2,0.0,0.0,0.0458,0.0448,0.149,0.146,0.0,0.0011,84.61,87.18,0.001,0.001,0.0,0.004,0.0,0.403,0.014,0.005,0.003,35.71,37.29,0.0581,0.0431,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.017,6.8,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_37,8.8,5.9,6.7,10.04,0.71,2.33,1.62,83.37,714.0,7.0,5.0,3.79,144.0,215.4,0.76,4.9,3.0,0.003,0.0012,0.0,,,,,3800.0,4700.0,6.6,0.0,0.0,0.0248,0.0238,0.195,0.197,0.0,0.0011,59.45,60.8,0.002,0.001,0.0,0.004,0.0,0.109,0.034,0.004,0.003,22.01,22.41,0.0141,0.0119,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.031,0.031,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_73,8.7,5.8,6.0,9.324,0.74,2.28,1.66,80.78,690.0,7.0,3.0,4.81,141.0,210.8,0.75,4.9,0.0,0.003,0.0015,5.0,,,,,1600.0,1900.0,5.9,0.0,0.0,0.0237,0.0231,0.217,0.218,0.0,0.001,56.79,59.52,0.001,0.001,0.0,0.003,0.0,0.135,0.048,0.003,0.001,20.9,21.77,0.016,0.0142,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.031,0.033,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_46,7.7,8.3,6.0,9.589,0.98,2.79,1.61,85.82,830.0,9.0,6.0,5.86,149.0,249.2,0.77,4.4,3.0,0.003,0.001,0.0,,,,,1100.0,1200.0,5.0,0.0,0.0,0.0256,0.0242,0.192,0.186,0.0,0.0008,61.8,62.86,0.002,0.001,0.0,0.004,0.0,0.179,0.033,0.003,0.004,22.62,23.11,0.0182,0.016,0.0,,0.003,0.003,0.0,0.0,0.0,0.0,0.051,0.034,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_102,17.8,9.7,7.05,9.439,0.78,2.86,1.75,75.48,596.0,5.0,0.0,5.69,141.0,185.6,0.81,5.2,3.0,0.003,0.0012,0.0,,,<5.74,10.16,2300.0,2900.0,58.9,0.0,0.0,0.0213,0.0211,0.208,0.204,0.0,0.001,53.59,55.95,0.001,0.002,0.0,0.004,0.0,0.122,0.041,0.0,0.004,19.36,19.95,0.0109,0.0077,0.0,,0.003,0.002,0.0,0.0,0.0,0.0,0.038,0.038,3.4,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_36,7.6,11.0,7.04,8.223,0.64,2.62,1.86,73.14,568.0,12.0,6.0,3.43,144.0,160.5,0.86,5.3,0.0,0.003,0.0017,0.0,,,<5.57,9.56,7500.0,5900.0,4.8,0.0,0.0,0.0204,0.0207,0.229,0.232,0.0,0.0011,53.91,56.52,0.002,0.002,0.0,0.004,0.0,0.075,0.036,0.0,0.002,18.94,20.06,0.0082,0.006,0.0,,0.003,0.003,0.0,0.0,0.0,0.0,0.039,0.042,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_101,7.4,11.1,6.86,9.822,0.78,2.39,1.88,71.96,582.0,0.0,0.0,2.51,140.0,164.1,0.85,4.9,3.0,0.003,0.0012,0.0,,,,,3500.0,3400.0,2.4,0.0,0.0,0.0208,0.0209,0.219,0.218,0.0,0.0011,55.22,56.96,0.001,0.002,2.0,0.004,0.0,0.092,0.038,0.005,0.002,19.53,20.2,0.0092,0.0097,0.0,,0.003,0.002,0.0,0.0,0.0,0.0,0.037,0.043,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_96,11.6,3.2,6.67,5.344,0.11,1.5,0.62,124.36,1216.0,14.0,3.0,13.7,197.0,521.1,0.42,3.6,0.0,0.0,0.0,,,,<8.95,10.87,140.0,,6.0,0.0,0.0,0.0451,0.0438,0.15,0.15,0.0,0.0012,86.14,90.12,0.001,0.001,0.0,0.002,0.002,0.378,0.037,0.006,0.003,36.03,38.12,0.061,0.0497,0.0,,0.0,0.006,0.0,0.0,0.0,0.0,0.016,0.078,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-14 00:00:00,ww_92,7.1,13.4,7.01,9.083,0.61,2.3,1.36,141.65,774.0,5.0,0.0,6.5,167.0,235.1,0.85,4.9,0.0,0.004,0.0018,0.0,,,,,50.0,,2.6,0.0,0.0,0.0228,0.0221,0.265,0.276,0.0,0.0014,69.98,74.96,0.002,0.001,0.0,0.003,0.0,0.185,0.03,0.005,0.004,25.91,28.0,0.0288,0.0283,0.0,,0.004,0.01,0.0,0.0,0.0,0.0,0.034,0.038,,,,,,,
2006-02-21 00:00:00,ww_100,11.5,3.7,7.07,2.911,0.23,1.44,0.47,45.78,382.0,3.0,4.0,6.32,129.0,136.8,0.32,2.4,0.0,0.0,0.0,,,,<4.25,7.26,1100.0,,2.4,0.0,0.0,0.024,0.0222,0.1,0.088,0.0,0.0008,46.02,43.64,0.001,0.001,0.0,0.004,0.0,0.193,0.01,0.004,0.005,15.26,15.2,0.0162,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.016,1.4,,,,,,
2006-02-21 00:00:00,ww_39,10.6,3.0,6.81,5.152,0.41,2.22,0.63,62.48,582.0,10.0,5.0,7.97,147.0,185.5,0.44,3.1,0.0,0.0,0.0011,0.0,,,,,870.0,,5.1,0.0,0.0,0.0271,0.0243,0.138,0.116,0.0,0.0007,57.88,53.77,0.001,0.001,0.0,0.004,0.0,0.158,0.016,0.004,0.006,20.21,19.75,0.0268,0.0142,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.034,0.02,,,,,,,
2006-02-21 00:00:00,ww_108,11.0,6.2,6.83,5.446,0.31,2.53,0.6,72.19,764.0,14.0,3.0,16.2,148.0,283.7,0.43,3.4,0.0,0.003,0.0006,0.0,,,,,580.0,,6.9,0.0,0.0,0.0313,0.0262,0.13,0.113,0.0,0.0008,62.69,57.22,0.002,0.001,0.0,0.005,0.002,0.445,0.018,0.006,0.004,22.37,21.55,0.033,0.0252,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.029,0.023,,,,,,,
2006-02-21 00:00:00,ww_40,10.4,6.7,6.69,4.963,0.35,2.28,0.64,69.28,722.0,18.0,11.0,21.4,134.0,290.1,0.41,3.3,0.0,0.003,0.0012,0.0,,,,,560.0,,6.2,0.0,0.0,0.032,0.0244,0.12,0.107,0.0,0.0007,59.74,54.04,0.003,0.001,0.0,0.008,0.0,0.656,0.022,0.009,0.004,21.1,20.15,0.0403,0.0294,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.039,0.022,,,,,,,
2006-02-21 00:00:00,ww_75,8.1,11.2,7.2,4.507,1.16,2.99,0.93,59.56,770.0,20.0,8.0,18.2,114.0,339.3,0.48,3.3,0.0,0.004,0.0016,0.0,,,<5.78,6.3,670.0,650.0,5.0,0.0,0.0,0.0245,0.0192,0.124,0.112,0.0,0.0006,48.26,43.26,0.002,0.001,0.0,0.006,0.002,0.46,0.023,0.006,0.006,15.73,14.96,0.033,0.0259,0.0,,0.003,0.002,0.0,0.0,0.0,0.0,0.037,0.027,,,,,,,
2006-02-21 00:00:00,ww_41,8.2,7.4,7.29,8.053,0.52,2.37,0.67,89.27,678.0,5.0,5.0,7.62,128.0,233.0,0.74,4.4,0.0,0.003,0.0012,0.0,,,<5.19,8.15,740.0,700.0,3.2,0.0,0.0,0.0282,0.0192,0.191,0.181,0.0,0.0007,57.9,52.29,0.004,0.001,0.0,0.009,0.0,0.376,0.035,0.005,0.006,20.08,18.87,0.0306,0.0146,0.0,,0.004,0.003,0.0,0.0,0.0,0.0,0.048,0.029,,,,,,,
2006-02-21 00:00:00,ww_92,8.2,11.2,7.3,7.249,0.62,2.24,0.88,114.43,768.0,9.0,4.0,9.93,149.0,257.7,0.84,5.2,3.0,0.006,0.0017,0.0,,,<5.62,10.59,200.0,160.0,5.7,0.0,0.0,0.0224,0.0201,0.243,0.236,0.0,0.0007,64.79,62.04,0.001,0.001,0.0,0.003,0.0,0.162,0.03,0.004,0.007,22.79,22.77,0.0292,0.0262,0.0,,0.005,0.004,0.0,0.0,0.0,0.0,0.037,0.034,,,,,,,
2006-02-21 00:00:00,ww_42,5.3,8.2,6.98,5.602,0.24,1.46,0.54,87.47,704.0,5.0,7.0,3.16,137.0,238.6,0.76,4.2,0.0,0.003,0.0014,0.0,,,,,130.0,180.0,3.8,0.0,0.0,0.021,0.0186,0.216,0.209,0.0,0.0007,57.87,50.58,0.002,0.001,0.0,0.002,0.004,0.13,0.036,0.004,0.007,20.18,18.74,0.0144,0.0154,0.0,,0.004,0.003,0.0,0.0,0.0,0.0,0.032,0.03,,,,,,,
2006-02-21 00:00:00,ww_48,4.3,8.7,7.01,6.629,0.28,1.87,1.1,126.21,768.0,14.0,5.0,9.68,153.0,256.7,0.87,4.5,0.0,0.004,0.0011,0.0,,,,,350.0,320.0,3.9,0.0,0.0,0.0235,0.0199,0.227,0.22,0.0,0.0006,65.47,60.44,0.002,0.001,0.0,0.003,0.0,0.244,0.027,0.005,0.005,23.2,22.41,0.0287,0.0239,0.0,,0.004,0.002,0.0,0.0,0.0,0.0,0.036,0.03,,,,,,,
2006-02-27 00:00:00,ww_49,8.5,3.4,8.01,0.399,0.0,0.44,0.0,33.98,288.0,0.0,0.0,4.96,119.0,52.8,0.16,1.5,0.0,0.0,0.0005,,,,<3.61,4.98,9.0,,*3.6,0.0,0.0,0.0218,0.0203,0.049,0.036,0.0,0.0004,38.27,36.24,0.001,0.001,0.0,0.016,0.0,0.159,0.004,0.007,0.005,11.57,11.46,0.0178,0.0112,0.0,,0.0,0.0,0.0,0.0,0.0025,0.0,0.028,0.004,1.3,,,,,,
2006-02-27 00:00:00,ww_50,12.5,4.8,8.35,0.192,0.16,0.61,0.0,45.32,272.0,3.0,3.0,3.07,128.0,43.6,0.25,3.8,0.0,0.0,0.0006,,,,<3.65,4.65,20.0,,*3.8,0.0,0.0,0.031,0.0288,0.095,0.082,0.0,0.0003,42.79,39.37,0.0,0.001,0.0,0.013,0.0,0.054,0.0,0.007,0.007,12.99,12.21,0.0108,0.002,0.0,,0.0,0.0,0.0,0.0,0.0015,0.0,0.009,0.002,5.0,,,,,,
2006-02-27 00:00:00,ww_86,15.8,4.0,7.64,2.293,2.33,5.08,0.39,305.25,1010.0,0.0,0.0,13.0,294.0,160.8,0.79,9.9,4.0,0.006,0.0018,0.0,,,,,20.0,,*90.8,0.0,0.0,0.03,0.024,1.151,1.099,0.0,0.0004,122.64,109.08,0.002,0.001,0.0,0.011,0.0,1.048,0.014,0.012,0.01,56.84,53.95,0.254,0.2355,0.0,,0.002,0.002,0.0,0.0,0.0008,0.0,0.04,0.02,,,,,,,
2006-02-27 00:00:00,ww_55,12.0,2.4,8.22,0.837,0.2,1.15,0.0,81.39,416.0,3.0,0.0,3.78,119.0,106.9,0.26,3.4,0.0,0.0,0.0006,,,,<4.09,6.33,9.0,,*4.3,0.0,0.0,0.0284,0.0251,0.123,0.117,0.0,0.0003,47.43,41.09,0.001,0.001,0.0,0.01,0.0,0.155,0.006,0.005,0.006,14.95,13.56,0.0186,0.0069,0.0,,0.002,0.0,0.0,0.0,0.0015,0.0,0.014,0.009,2.4,,,,,,
2006-02-27 00:00:00,ww_56,17.9,3.1,8.3,2.429,0.0,1.52,0.6,105.68,518.0,27.0,7.0,21.9,142.0,126.6,0.48,5.0,0.0,0.0,0.0005,0.0,,,<4.44,7.7,20.0,,*133.6,0.0,0.0,0.0276,0.0233,0.156,0.147,0.0,0.0005,57.98,52.95,0.002,0.001,0.0,0.01,0.0,0.457,0.005,0.006,0.006,20.3,19.2,0.0199,0.0017,0.0,,0.002,0.0,0.0,0.0,0.001,0.0,0.023,0.008,,,,,,,
2006-02-27 00:00:00,ww_76,4.0,8.4,8.2,8.769,0.09,1.8,3.93,118.99,676.0,11.0,4.0,9.13,169.0,171.6,0.78,6.1,0.0,0.005,0.0011,0.0,,,<5.14,13.83,1200.0,,*27.5,0.0,0.0,0.0187,0.0143,0.258,0.249,0.0,0.0004,72.33,65.16,0.002,0.001,0.0,0.006,0.0,0.293,0.042,0.008,0.007,24.26,22.98,0.0334,0.0254,0.0,,0.002,0.0,0.0,0.0,0.0007,0.0,0.048,0.036,,,,,,,
2006-02-27 00:00:00,ww_57,11.3,10.2,8.0,6.205,0.13,1.48,1.15,314.86,1070.0,8.0,0.0,16.2,224.0,223.5,1.45,5.0,0.0,0.004,0.0013,,,,<6.85,12.38,150.0,240.0,*4.5,0.0,0.0,0.04,0.0344,0.275,0.264,0.0,0.0005,98.14,94.06,0.002,0.001,0.0,0.005,0.0,0.709,0.01,0.01,0.007,40.21,39.87,0.1067,0.0958,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.02,4.5,,,,,,
